metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
decision_loss,lower,40,0.3004873674600841,0.3014000312372165,-0.0009126637771323623,-0.002224368183730397,0.00041445014531029994,16,0,24,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9507729975411365,0.9386751873708494,0.012097810170287193,0.008882982132589189,0.015455116791487042,33,0,7,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,40,1.79020113747681,1.7871525732505087,0.0030485642263013367,-0.007537030699750884,0.014399851813298595,19,0,21,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9643750000000001,0.96328125,-0.0010937500000000073,-0.0034375000000000018,0.001093749999999985,10,16,14,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.00828125,1.0150000000000001,-0.006718750000000007,-0.011562499999999998,-0.0020312499999999957,11,8,21,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,40,0.44310331709125456,0.4417200988474585,0.0013832182437960624,0.00021548626728623322,0.002552391137575154,23,0,17,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,40,0.3004873674600841,0.30082407943731065,-0.00033671197722659474,-0.001415159754361229,0.000714833175917394,18,0,22,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9507729975411365,0.9393067960676523,0.011466201473484306,0.008653072921772503,0.014236960476260047,33,0,7,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,40,1.79020113747681,1.787683808375791,0.002517329101019222,-0.0073493858248009905,0.011597106748411244,25,0,15,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9643750000000001,0.9640625,-0.00031250000000000445,-0.0018750000000000073,0.0012499999999999983,9,21,10,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.00828125,1.01328125,-0.004999999999999999,-0.009218750000000003,-0.00046874999999999554,6,13,21,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,40,0.5221996135670055,0.5205561611433118,0.0016434524236936892,-0.0030890445617959986,0.006117958603073148,23,0,17,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
