scenario,arm,runs,integrated_loss_mean,integrated_loss_std,integrated_loss_max,decision_loss_mean,decision_loss_std,decision_loss_max,movement_per_step_mean,movement_per_step_std,movement_per_step_max,position_rmse_mean,position_rmse_std,position_rmse_max,abstention_rate_mean,abstention_rate_std,abstention_rate_max,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,wrong_mode_action_rate_max,mean_nees_mean,mean_nees_std,mean_nees_max,p95_nees_mean,p95_nees_std,p95_nees_max,coverage95_rate_mean,coverage95_rate_std,coverage95_rate_max,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_delivery_ratio_max,mean_topology_components_mean,mean_topology_components_std,mean_topology_components_max,quarantine_rate_mean,quarantine_rate_std,quarantine_rate_max,strategic_alert_rate_mean,strategic_alert_rate_std,strategic_alert_rate_max,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,nonstrategic_alert_rate_max,mean_raw_trust_mean,mean_raw_trust_std,mean_raw_trust_max,minimum_raw_trust_mean,minimum_raw_trust_std,minimum_raw_trust_max,trust_recovery_cycles_mean,trust_recovery_cycles_std,trust_recovery_cycles_max,post_stop_false_alert_rate_mean,post_stop_false_alert_rate_std,post_stop_false_alert_rate_max,post_stop_decision_loss_mean,post_stop_decision_loss_std,post_stop_decision_loss_max,trust_verification_rate_mean,trust_verification_rate_std,trust_verification_rate_max,action_difference_rate_mean,action_difference_rate_std,action_difference_rate_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_max
stable_control,m9c_receding,150,1.0293266506596888,0.12466329081270466,1.40007564245713,0.2770587219327031,0.013820538017983486,0.31124690655082576,0.9403349109087321,0.15558595955158028,1.4092572488837214,0.31255069877921254,0.015163442648750233,0.35701135423321695,0.0010416666666666667,0.0032609324671871933,0.01875,0.0,0.0,0.0,1.766609631072976,0.1664976895009738,2.2382482978741516,5.21557741332614,0.6586788801583496,7.684353165524659,0.9653333333333334,0.015655581184428197,0.99375,1.0,0.0,1.0,1.0104166666666667,0.012176365996835385,1.0375,0.004583333333333333,0.010120798167909267,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135235876624162,0.029046470154419746,1.2551962910220027
stable_control,closed_loop_trust,150,1.0293266506596888,0.12466329081270466,1.40007564245713,0.2770587219327031,0.013820538017983486,0.31124690655082576,0.9403349109087321,0.15558595955158028,1.4092572488837214,0.31255069877921254,0.015163442648750233,0.35701135423321695,0.0010416666666666667,0.0032609324671871933,0.01875,0.0,0.0,0.0,1.766609631072976,0.1664976895009738,2.2382482978741516,5.21557741332614,0.6586788801583496,7.684353165524659,0.9653333333333334,0.015655581184428197,0.99375,1.0,0.0,1.0,1.0104166666666667,0.012176365996835385,1.0375,0.004583333333333333,0.010120798167909267,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.9963979759166413,0.0011838512942947896,0.99931405507388,0.7811220762031404,0.08652921593184225,0.9355962234990185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1696261052927002,0.03227275221267108,1.3409177500288934
failure_partition,m9c_receding,150,1.1071730420092976,0.11421119570215414,1.3912252231228948,0.37073360241068504,0.04027997727200151,0.5234950333183634,0.9205492994982652,0.13106550931781016,1.2987197843639007,0.40705740790780653,0.036907738942472915,0.546693373646756,0.025333333333333336,0.030659306181901044,0.15625,0.0,0.0,0.0,1.7412829294625964,0.17267313257247707,2.2811451914539256,5.13525621201828,0.6037405222314449,7.3410938907050225,0.9683750000000001,0.014759001490615825,0.99375,1.0,0.0,1.0,1.6697083333333333,0.09708709756650927,1.93125,0.4109583333333334,0.2663213291255926,0.70625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521338261260341,0.0890108422747314,0.9088103750254959
failure_partition,closed_loop_trust,150,1.1071730420092976,0.11421119570215414,1.3912252231228948,0.37073360241068504,0.04027997727200151,0.5234950333183634,0.9205492994982652,0.13106550931781016,1.2987197843639007,0.40705740790780653,0.036907738942472915,0.546693373646756,0.025333333333333336,0.030659306181901044,0.15625,0.0,0.0,0.0,1.7412829294625964,0.17267313257247707,2.2811451914539256,5.13525621201828,0.6037405222314449,7.3410938907050225,0.9683750000000001,0.014759001490615825,0.99375,1.0,0.0,1.0,1.6697083333333333,0.09708709756650927,1.93125,0.4109583333333334,0.2663213291255926,0.70625,0.0,0.0,0.0,0.0,0.0,0.0,0.9965147711991881,0.0018031917238314223,1.0,0.7996994565003874,0.08705358310453021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7789357041489954,0.09028379508851393,0.9986390839330852
flapping_reconnect,m9c_receding,150,1.082544646993945,0.12578945022057608,1.4438549223293329,0.3149198389588233,0.02483979500966178,0.3888291635172726,0.9595310100439023,0.1510126524117352,1.420490975094649,0.3542942305416777,0.02590777115219007,0.4361531339593879,0.011375000000000001,0.017456344357663585,0.08125,0.0,0.0,0.0,1.754472338208981,0.16332401403322586,2.306192683015645,5.202820672223708,0.6489313600827287,7.1906534220322325,0.9671666666666667,0.01495107762745622,1.0,1.0,0.0,1.0,1.4921666666666666,0.0794518547437517,1.60625,0.004291666666666667,0.009132607179162415,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0700153997261077,0.037044743431079226,1.3047483749687672
flapping_reconnect,closed_loop_trust,150,1.082544646993945,0.12578945022057608,1.4438549223293329,0.3149198389588233,0.02483979500966178,0.3888291635172726,0.9595310100439023,0.1510126524117352,1.420490975094649,0.3542942305416777,0.02590777115219007,0.4361531339593879,0.011375000000000001,0.017456344357663585,0.08125,0.0,0.0,0.0,1.754472338208981,0.16332401403322586,2.306192683015645,5.202820672223708,0.6489313600827287,7.1906534220322325,0.9671666666666667,0.01495107762745622,1.0,1.0,0.0,1.0,1.4921666666666666,0.0794518547437517,1.60625,0.004291666666666667,0.009132607179162415,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.9966831529668866,0.0013390279990326797,0.9992642417655082,0.7884303161150806,0.08254536633696712,0.926815730709544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976270854783554,0.033506340639309976,1.3037877501919866
admission_censoring_control,m9c_receding,150,1.1110396623025045,0.12658795491063682,1.4997868589806127,0.3396781602376514,0.027722941607818793,0.40793735685858656,0.9642018775810661,0.15151623617555843,1.4163285281169036,0.3789231361247149,0.027706138202210788,0.44519682893377593,0.014,0.018309833423600555,0.08125,0.0,0.0,0.0,1.750368281552372,0.17668353470202514,2.356421278335824,5.129532673591196,0.6183588471825975,7.754142618921756,0.967875,0.014105812927064261,1.0,1.0,0.0,1.0,1.58975,0.08634740876251006,1.79375,0.07029166666666666,0.07354114730694798,0.25625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6914190478560825,0.03873604593109112,0.8349117499310523
admission_censoring_control,closed_loop_trust,150,1.1110396623025045,0.12658795491063682,1.4997868589806127,0.3396781602376514,0.027722941607818793,0.40793735685858656,0.9642018775810661,0.15151623617555843,1.4163285281169036,0.3789231361247149,0.027706138202210788,0.44519682893377593,0.014,0.018309833423600555,0.08125,0.0,0.0,0.0,1.750368281552372,0.17668353470202514,2.356421278335824,5.129532673591196,0.6183588471825975,7.754142618921756,0.967875,0.014105812927064261,1.0,1.0,0.0,1.0,1.58975,0.08634740876251006,1.79375,0.07029166666666666,0.07354114730694798,0.25625,0.0,0.0,0.0,0.0,0.0,0.0,0.9966155515072936,0.0013112318555893049,0.9993867791905366,0.7922197090006172,0.08677273720657885,0.9390009849973472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171604014312227,0.041757972658155694,0.9309717498254031
source_assignment_competition,m9c_receding,150,1.8189093591966161,0.16543902047651746,2.2759761074494964,1.0454141917370157,0.07768659001667837,1.2505552731279892,0.9668689593245,0.14492885009417217,1.4045055868216978,1.1795997514603407,0.08505141785677728,1.4380471453042383,0.008416666666666668,0.011318924664276,0.0625,0.0,0.0,0.0,1.6345538851569095,0.19642996204746696,2.0755766810937453,4.801186205891779,0.6512922432795586,6.802152978347724,0.9748333333333333,0.01425121827151006,1.0,1.0,0.0,1.0,1.0026666666666666,0.0055126118028470785,1.025,0.9679166666666666,0.008559432743405884,0.975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3836110799868281,0.030726745534554557,0.48177229217253625
source_assignment_competition,closed_loop_trust,150,1.8189093591966161,0.16543902047651746,2.2759761074494964,1.0454141917370157,0.07768659001667837,1.2505552731279892,0.9668689593245,0.14492885009417217,1.4045055868216978,1.1795997514603407,0.08505141785677728,1.4380471453042383,0.008416666666666668,0.011318924664276,0.0625,0.0,0.0,0.0,1.6345538851569095,0.19642996204746696,2.0755766810937453,4.801186205891779,0.6512922432795586,6.802152978347724,0.9748333333333333,0.01425121827151006,1.0,1.0,0.0,1.0,1.0026666666666666,0.0055126118028470785,1.025,0.9679166666666666,0.008559432743405884,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.997259939957324,0.0011943155827948875,0.9998913116717881,0.7996798454885489,0.0844585076713941,0.9819904458175583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40777485608123243,0.032482542103878194,0.5146068749018013
