algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,p95_nees,max_nees,coverage95_rate,rejoin_window_nees,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,partition_selection_rate,mean_topology_components,mean_observer_component_size,mean_topology_visibility_fraction,mean_topology_live_support,mean_topology_retained_support,mean_topology_unknown_support,mean_topology_probation_agents,topology_rejoin_events,topology_merge_grace_rate,topology_epoch_changes,mean_duplicate_support_suppressed,topology_selection_blocked_rate,max_primary_support_jump,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_topology_resilient,11002,1.3720431080873645,0.6969844249558306,0.5014322916666855,1.0437237722860304,0.6155987722860304,0.4375,0.0,0.5625,0.0625,0.0,0.0,0.0028645833333520777,108,0.6969844249558306,1.8256515268106164,5.592878104793809,12.389110972189712,0.95625,3.21841107370382,1.9815668767002408,3.664904045746875,16.562686882454265,4.686278294098865,7.0625,1.0,0.0,0.4375,0.0,1.8375,4.93125,0.61640625,4.448958333333333,0.15133187774846457,0.4438802083333333,0.05,2,0.15,12,26.38125,0.15625,0.5,,2621,503232,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.7,0.675,4.025,0.5014322916666666,0.05468750000001875,0.28125,0.18125,0.35,1.6936828990038801,165.47169281452997,0.600863124942407,failure_partition,0.17434847318938362,0.006250000000000089
flocking_topology_resilient,11003,1.472658362949285,0.6643540715526125,0.5908854166666667,1.0079621019664153,0.5892121019664153,0.45,0.0,0.55,0.0625,0.0,0.0,0.19583333333333336,24,0.6643540715526125,1.7635727896944644,5.1874123314370575,9.43105248029606,0.96875,0.6498706729646715,2.1593243948797167,3.701054660023199,10.484598874733342,3.5173148898446387,7.0625,1.0,0.0,0.4375,0.0,1.7,5.575,0.696875,5.377083333333333,0.11835560201377875,0.3278645833333333,0.05,2,0.2125,20,31.88125,0.2125,0.5,,2559,491328,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.4625,0.4375,4.7625,0.5940104166666667,0.07734375,0.05,0.05,0.25625,1.6981377770887789,122.4621365272373,0.6338996659033,failure_partition,0.2364272103055356,0.018750000000000044
flocking_topology_resilient,11004,1.228120890200952,0.711970752537784,0.49908854166669164,1.0662076100742035,0.6380826100742032,0.4375,0.0,0.5625,0.0625,0.0,0.0,-0.00026041666664166073,114,0.711970752537784,1.8950210785660873,5.7575473149132765,10.510094711417032,0.95625,1.490850672365489,2.08523648747123,3.6617029141177824,13.985393050517493,3.1494942978371463,7.0625,1.0,0.0,0.4375,0.0,1.93125,4.85,0.60625,4.367708333333334,0.34857801428916985,0.4540364583333333,0.05,2,0.1,9,26.1875,0.1125,0.625,,2590,497280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.74375,0.7125,4.00625,0.4990885416666667,0.046875000000025,0.26875,0.2,0.41875,1.6814739822073643,153.26829794983166,0.5630678329616785,failure_partition,0.10497892143391274,0.006250000000000089
flocking_robust_active,11000,3.702545337278449,0.5967295391429364,0.7200595238095239,2.435093147694749,2.3350931476947485,0.875,0.0,0.125,0.0625,0.8524590163934426,0.325,0.6051190476190477,79,3.5521668941892357,38.45232393059437,138.87582951039738,170.58033169068452,0.64796875,0.0,2.071426153081773,3.7122163247807123,18.046831558251746,4.7058643757516565,6.66875,1.0,0.0,0.0,0.0,1.0,6.66875,1.0,5.7,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3140,602880,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.64375,0.49375,4.3375,0.7600595238095238,0.21040922619047614,0.83125,0.31875,0.66875,1.6690402786524785,161.61524348668047,0.5584950000047684,staggered_rejoin,36.45232393059437,0.30203125
flocking_robust_active,11001,1.4575129374870337,0.6604871659436788,0.7649999999999999,0.7769496731530839,0.676324673153084,0.875,0.0,0.125,0.06875,0.05,0.01875,0.6175,78,0.9372621279591238,3.3458976252986488,5.493943621972699,143.21746583837304,0.9513020833333332,0.0,1.9467835861438374,3.7100073302764285,10.26519264174498,3.6464635171247024,6.66875,1.0,0.0,0.0,0.0,1.0,6.66875,1.0,6.29375,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3089,593088,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.56875,0.48125,5.00625,0.7762499999999999,0.20624999999999996,0.175,0.1375,0.3,1.6190177692985077,121.5173481558416,0.6391756669618189,staggered_rejoin,1.3458976252986488,0.0013020833333332593
flocking_robust_active,11002,1.3156695818067825,0.6518724308971924,0.7787499999999999,0.6903369338733597,0.5897119338733596,0.875,0.0,0.125,0.06875,0.016666666666666666,0.00625,0.62875,78,0.6781870572597665,1.6753048807000908,5.744713032940736,11.15534842438189,0.9615550595238094,0.0,1.9473075147924597,3.6613358437366452,18.66819466406286,4.412983344595685,6.66875,1.0,0.0,0.0,0.0,1.0,6.66875,1.0,5.95,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3136,602112,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5375,0.48125,4.7,0.7849999999999999,0.20374999999999996,0.5,0.275,0.55625,1.655349672741489,165.81095203722322,0.6112359170801938,staggered_rejoin,0.32469511929990924,0.011555059523809419
flocking_robust_active,11003,1.2208961919561783,0.6472929858621598,0.78296875,0.6592703223960064,0.5639578223960064,0.88125,0.0,0.11875,0.0625,0.0,0.0,0.665,25,0.6786804687519254,1.755498659503727,5.6054149256586,12.659123645436397,0.96125,0.0,2.750204421777159,3.7415911430484514,10.847815653038374,4.5928386882855765,6.66875,1.0,0.0,0.0,0.0,1.0,6.66875,1.0,6.0625,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3095,594240,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.51875,0.44375,4.88125,0.7945833333333333,0.19088541666666664,0.3375,0.2625,0.4625,1.6321031247734283,122.60266047286133,0.6097334581427276,staggered_rejoin,0.24450134049627303,0.011250000000000093
flocking_robust_active,11004,1.3602764293110146,0.6452692668013418,0.7643749999999999,0.6899823780095656,0.5793573780095655,0.8625,0.0,0.1375,0.075,0.0,0.0,0.61875,79,0.6604598337801387,1.654759988309602,4.77285177877021,10.551288352953701,0.9596354166666667,0.0,2.0753365682160454,3.683229418793199,15.360451975468958,2.9364356550250412,6.66875,1.0,0.0,0.0,0.0,1.0,6.66875,1.0,5.96875,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,3112,597504,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.575,0.4875,4.6625,0.7706249999999999,0.21187499999999998,0.46875,0.2875,0.5125,1.6393871407553244,152.76360843556083,0.6077731249388307,staggered_rejoin,0.345240011690398,0.009635416666666785
flocking_topology_support,11000,2.4188621431461494,0.6729962728322172,0.5171875,0.9884881679507739,0.6075506679507738,0.50625,0.0,0.49375,0.10625,0.2,0.00625,0.1421875,79,0.6840907717895224,1.857698010000125,5.302844725005885,7.973670035020506,0.975,0.0,2.171447490813585,3.7128785796117265,18.179511461443486,5.360273145006614,6.66875,1.0,0.0,0.0,0.0,1.0125,6.66875,0.83359375,5.7,0.0,0.2875,0.0,0,0.0,6,32.23125,0.0,0.0,,3145,603840,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.6375,0.49375,4.34375,0.54296875,0.1515625,0.83125,0.31875,0.6625,1.6661981852583696,161.71562983659697,0.57558958302252,staggered_rejoin,0.14230198999987498,0.025000000000000022
flocking_topology_support,11001,1.9215989723646105,0.7086361632952689,0.61875,0.9993369360314646,0.6449619360314646,0.5375,0.0,0.4625,0.075,0.0,0.0,0.2953125,78,0.7197830513001465,1.9963616479489024,5.387472941739048,7.852132145072933,0.96875,0.0,2.0055510237804257,3.7029509174433954,10.577233608699952,6.033776386430377,6.66875,1.0,0.0,0.0,0.0,1.04375,6.66875,0.83359375,6.29375,0.0,0.21328125,0.0,0,0.0,8,37.4375,0.0,0.0,,3098,594816,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.58125,0.48125,4.99375,0.62421875,0.15,0.175,0.1375,0.3,1.618145125666948,119.1584994239119,0.6649098340421915,staggered_rejoin,0.0036383520510976375,0.018750000000000044
