scenario,movement_cost_scale,policy,first_action,planning_sequences_evaluated
four_mode_skewed_cost,0.0,myopic_voi,hold,6
four_mode_skewed_cost,0.0,receding_horizon_voi,spread,36
four_mode_skewed_cost,0.05,myopic_voi,hold,6
four_mode_skewed_cost,0.05,receding_horizon_voi,spread,36
four_mode_skewed_cost,0.1,myopic_voi,hold,6
four_mode_skewed_cost,0.1,receding_horizon_voi,spread,36
four_mode_skewed_cost,0.15,myopic_voi,hold,6
four_mode_skewed_cost,0.15,receding_horizon_voi,spread,36
four_mode_skewed_cost,0.2,myopic_voi,hold,6
four_mode_skewed_cost,0.2,receding_horizon_voi,spread,36
four_mode_skewed_cost,0.25,myopic_voi,hold,6
four_mode_skewed_cost,0.25,receding_horizon_voi,spread,36
four_mode_skewed_cost,0.5,myopic_voi,hold,6
four_mode_skewed_cost,0.5,receding_horizon_voi,spread,36
four_mode_skewed_cost,0.75,myopic_voi,hold,6
four_mode_skewed_cost,0.75,receding_horizon_voi,spread,36
four_mode_skewed_cost,1.0,myopic_voi,hold,6
four_mode_skewed_cost,1.0,receding_horizon_voi,spread,36
four_mode_skewed_cost,1.5,myopic_voi,hold,6
four_mode_skewed_cost,1.5,receding_horizon_voi,hold,36
four_mode_skewed_cost,2.0,myopic_voi,hold,6
four_mode_skewed_cost,2.0,receding_horizon_voi,hold,36
four_mode_skewed_cost,3.0,myopic_voi,hold,6
four_mode_skewed_cost,3.0,receding_horizon_voi,hold,36
four_mode_skewed_cost,4.0,myopic_voi,hold,6
four_mode_skewed_cost,4.0,receding_horizon_voi,hold,36
