scenario,policy,runs,resolved_mean,resolved_std,resolution_steps_mean,resolution_steps_std,wrong_selection_mean,wrong_selection_std,total_decision_loss_mean,total_decision_loss_std,decision_cost_mean,decision_cost_std,movement_cost_mean,movement_cost_std,movement_distance_mean,movement_distance_std,final_truth_probability_mean,final_truth_probability_std,final_entropy_mean,final_entropy_std,brier_score_mean,brier_score_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,hold_actions_mean,hold_actions_std,spread_actions_mean,spread_actions_std,probe_actions_mean,probe_actions_std,unique_probe_actions_mean,unique_probe_actions_std,planning_sequences_evaluated_mean,planning_sequences_evaluated_std,runtime_seconds_mean,runtime_seconds_std,hold_actions_fraction,spread_actions_fraction,probe_actions_fraction
triad_uniform,passive,100,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,1.1102230246251565e-16,1.0986122886681091,4.440892098500626e-16,0.666666666666667,2.220446049250313e-16,1.0986122886681096,2.220446049250313e-16,0.3333333333333335,1.1102230246251565e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022345834644511343,0.00039268750821568494,1.0,0.0,0.0
triad_uniform,round_robin,100,1.0,0.0,1.99,0.22338307903688676,0.0,0.0,1.6149366719999998,0.2745422586563745,0.2475,0.05584576975922169,1.3674366719999997,0.21905976907717134,1.3674366719999997,0.21905976907717134,0.9995118638940543,0.001732915338290323,0.0032419986363514874,0.011014949223056267,5.481494515456348e-06,2.340200743881578e-05,0.0004897651976081637,0.0017397713568436384,0.8756871141464033,0.09018769755761576,0.0,0.0,1.99,0.22338307903688676,0.0,0.0,0.0,0.0,0.0,0.0,8.42516403645277e-05,1.0063547252697185e-05,0.0,1.0,0.0
triad_uniform,myopic_voi,100,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,1.1102230246251565e-16,1.0986122886681091,4.440892098500626e-16,0.666666666666667,2.220446049250313e-16,1.0986122886681096,2.220446049250313e-16,0.3333333333333335,1.1102230246251565e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.003292518756352365,0.0001647524624411185,1.0,0.0,0.0
triad_uniform,receding_horizon_voi,100,1.0,0.0,2.28,0.5491812087098392,0.0,0.0,1.1803024430252311,0.2645326013758823,0.32,0.1372953021774598,0.8603024430252312,0.12899071921248828,0.9493780537815389,0.16123839901561035,0.998668265636117,0.0022745779547156406,0.009212747080365508,0.014371028456236253,1.2072978795537165e-05,3.126094842060043e-05,0.0013352241885350633,0.002283222224839721,0.8775282990862417,0.08651938734244767,1.02,0.6477653896280658,1.0,0.0,0.26,0.4608687448721165,0.26,0.4608687448721165,57.0,13.729530217745982,0.006117277073208242,0.0014706233992975554,0.4473684210526316,0.43859649122807015,0.11403508771929824
triad_uniform,computational_oracle,100,1.0,0.0,2.28,0.5491812087098392,0.0,0.0,1.1803024430252311,0.2645326013758823,0.32,0.1372953021774598,0.8603024430252312,0.12899071921248828,0.9493780537815389,0.16123839901561035,0.998668265636117,0.0022745779547156406,0.009212747080365508,0.014371028456236253,1.2072978795537165e-05,3.126094842060043e-05,0.0013352241885350633,0.002283222224839721,0.8775282990862417,0.08651938734244767,1.02,0.6477653896280658,1.0,0.0,0.26,0.4608687448721165,0.26,0.4608687448721165,285.0,68.6476510887299,0.042439184170216325,0.010432538068583736,0.4473684210526316,0.43859649122807015,0.11403508771929824
near_pair_rare_distractor,passive,100,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.4360000000000001,0.06858571279792897,0.9489154358953991,1.9133237149764433e-16,0.5429999999999999,0.13717142559585793,0.8586707920888227,0.29473777246044053,0.45000000000000023,2.238414470851597e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019011707976460457,4.4675418310931346e-05,1.0,0.0,0.0
near_pair_rare_distractor,round_robin,100,1.0,0.0,2.38,0.5055689863905816,0.0,0.0,2.29136639232,0.735174149860475,0.345,0.1263922465976454,1.9463663923200005,0.608884856934275,1.802191104,0.5637822749391432,0.998550939042584,0.0024279347795465194,0.00932677797778675,0.014355339646809408,1.5984624039898083e-05,3.885011116781148e-05,0.0014530771763741606,0.002437206498319462,0.8529411063749086,0.06521310840790233,0.0,0.0,2.38,0.5055689863905816,0.0,0.0,0.0,0.0,0.0,0.0,9.425085736438631e-05,1.2997824056009271e-05,0.0,1.0,0.0
near_pair_rare_distractor,myopic_voi,100,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.4360000000000001,0.06858571279792897,0.9489154358953991,1.9133237149764433e-16,0.5429999999999999,0.13717142559585793,0.8586707920888227,0.29473777246044053,0.45000000000000023,2.238414470851597e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0033247821172699334,0.00027640815297037076,1.0,0.0,0.0
near_pair_rare_distractor,receding_horizon_voi,100,1.0,0.0,2.92,0.8328265125462806,0.0,0.0,1.8216774748696207,0.42349533871910644,0.48,0.20820662813657015,1.3416774748696207,0.32996268684227154,1.400572203587026,0.31787840856658806,0.9981506761200853,0.002488452415719432,0.012042405683301383,0.014654071419500933,1.9169161435109925e-05,3.9797154339107384e-05,0.0018541517812549837,0.0024979412475190123,0.8572893064262479,0.05929443590789233,0.81,1.0168087332433766,1.33,0.47021271782034985,0.78,0.5929586832149438,0.69,0.462493243193887,73.0,20.820662813657012,0.008074451701249928,0.002513820007271192,0.2773972602739726,0.4554794520547945,0.2671232876712329
near_pair_rare_distractor,computational_oracle,100,1.0,0.0,3.25,0.5722761571129799,0.01,0.09949874371066199,1.0275301020569598,0.30303289598138883,0.5825,0.259939896899264,0.44503010205696003,0.07763883490435453,0.5562876275712,0.09704854363044316,0.9887036202896249,0.09903595134073227,0.009127145534266459,0.012945880478839183,0.019871436618825608,0.1975860984677648,0.0577454165504573,0.5611448721363256,0.798720932246615,0.05301571392378401,1.03,0.7135124385741288,0.0,0.0,2.22,0.4142463035441596,1.0,0.0,406.25,71.53451963912248,0.062155140046961606,0.011343798755251489,0.3169230769230769,0.0,0.683076923076923
