policy,runs,resolved_mean,resolved_std,resolution_steps_mean,resolution_steps_std,wrong_selection_mean,wrong_selection_std,total_decision_loss_mean,total_decision_loss_std,decision_cost_mean,decision_cost_std,movement_cost_mean,movement_cost_std,movement_distance_mean,movement_distance_std,final_truth_probability_mean,final_truth_probability_std,final_entropy_mean,final_entropy_std,brier_score_mean,brier_score_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,hold_actions_mean,hold_actions_std,spread_actions_mean,spread_actions_std,probe_actions_mean,probe_actions_std,unique_probe_actions_mean,unique_probe_actions_std,planning_sequences_evaluated_mean,planning_sequences_evaluated_std,runtime_seconds_mean,runtime_seconds_std,hold_actions_fraction,spread_actions_fraction,probe_actions_fraction
passive,500,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.35448666666666667,0.09516945611790464,1.1354873657662388,0.16113198900596096,0.6332533333333333,0.15606257947090044,1.0809566781255389,0.31602015330363104,0.39066666666666666,0.08877937698462283,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019977616705000402,0.00017762923973348188,1.0,0.0,0.0
round_robin,500,1.0,0.0,2.152,0.4109695852493223,0.0,0.0,2.012410404864,0.6337808796504879,0.288,0.10274239631233058,1.724410404864,0.5338870769631067,1.5475848192000001,0.45023846940558565,0.9992071792894064,0.0018742685931855791,0.005316277744556262,0.011614870478637379,7.790554325940935e-06,2.6289841118270684e-05,0.0007949009077853651,0.0018809669690707561,0.8540553873012333,0.08593161509722833,0.0,0.0,2.152,0.4109695852493223,0.0,0.0,0.0,0.0,0.0,0.0,9.201392065733672e-05,1.388365640217746e-05,0.0,1.0,0.0
myopic_voi,500,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.35448666666666667,0.09516945611790464,1.1354873657662388,0.16113198900596096,0.6332533333333333,0.15606257947090044,1.0809566781255389,0.31602015330363104,0.39066666666666666,0.08877937698462283,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,4.898979485566356,0.003927572418004274,0.0008175249152613791,1.0,0.0,0.0
receding_horizon_voi,500,1.0,0.0,2.584,0.7006739612687202,0.0,0.0,1.4386900848503088,0.3934505220279369,0.396,0.17516849031718004,1.0426900848503085,0.2568169276158815,1.1386239778947926,0.28761699573965044,0.9982973009373323,0.0024902487859266857,0.011408154541254024,0.015327213797877473,1.6838323653431103e-05,3.616732201037467e-05,0.001707269929669522,0.0024995292244057842,0.8588346438898239,0.08092507983552957,0.648,0.7590098813586026,1.066,0.24828209762284514,0.87,0.7078841713161835,0.774,0.5923883861116793,76.744,27.10856809202581,0.009438301509711892,0.004215116282339076,0.25077399380804954,0.41253869969040247,0.336687306501548
computational_oracle,500,1.0,0.0,2.646,0.6875201815219681,0.002,0.044676615807377355,1.2753431310771182,0.3368779714678607,0.4155,0.20058601646176635,0.8598431310771182,0.25542187013082307,0.9644833181686503,0.2966164084429681,0.9963695182140926,0.04451331560785429,0.011064928566352068,0.015246304727305343,0.003987788757866256,0.08871937134981234,0.012924041242235621,0.2519605337582135,0.846490641592166,0.08376424288919215,0.71,0.7084490101623405,0.8,0.4,1.136,0.8726419655276728,0.814,0.5616084044955169,430.85,171.62673305752807,0.07494250349933282,0.03741122283912154,0.26832955404383974,0.30234315948601664,0.4293272864701436
