movement_cost_scale,candidate,baseline,pairs,improvement_mean,ci95_lower,ci95_upper
0.0,receding_horizon_voi,passive,100,2.104,2.0894999999999997,2.1185
0.0,receding_horizon_voi,round_robin,100,-0.10800000000000003,-0.12050000000000001,-0.09600000000000002
0.0,receding_horizon_voi,myopic_voi,100,2.104,2.0894874999999997,2.1184999999999996
0.05,receding_horizon_voi,passive,100,2.0518654957574842,2.036536011847337,2.0666735701568806
0.05,receding_horizon_voi,round_robin,100,-0.07391398399931538,-0.08694444425341674,-0.06102143631810799
0.05,receding_horizon_voi,myopic_voi,100,2.0518654957574842,2.0361436875227357,2.0667926957149167
0.1,receding_horizon_voi,passive,100,1.9997309915149695,1.9839943973314709,2.0153477656443317
0.1,receding_horizon_voi,round_robin,100,-0.039827967998630795,-0.05347997330969937,-0.025533444784668364
0.1,receding_horizon_voi,myopic_voi,100,1.9997309915149695,1.9832997387463551,2.0152632381546236
0.15,receding_horizon_voi,passive,100,1.9475964872724538,1.9310746371562377,1.964182467191438
0.15,receding_horizon_voi,round_robin,100,-0.005741951997946217,-0.02122958382469045,0.00988251359561759
0.15,receding_horizon_voi,myopic_voi,100,1.9475964872724538,1.9313850181960397,1.96405804829531
0.2,receding_horizon_voi,passive,100,1.8954619830299384,1.8786505451265458,1.912756768451742
0.2,receding_horizon_voi,round_robin,100,0.028344064002738395,0.011913504019726245,0.04458526139281456
0.2,receding_horizon_voi,myopic_voi,100,1.8954619830299384,1.8780020786374518,1.9126651100688103
0.25,receding_horizon_voi,passive,100,1.8433274787874228,1.824853345604535,1.860729904627443
0.25,receding_horizon_voi,round_robin,100,0.06243008000342295,0.04444302992246917,0.08028044557081059
0.25,receding_horizon_voi,myopic_voi,100,1.8433274787874228,1.8254585620982087,1.8605243015664406
0.5,receding_horizon_voi,passive,100,1.5826549575748459,1.5610389597719276,1.603542149632466
0.5,receding_horizon_voi,round_robin,100,0.23286016000684578,0.20557034999464943,0.2605435625834644
0.5,receding_horizon_voi,myopic_voi,100,1.5826549575748459,1.5611889061664912,1.6039307244834766
0.75,receding_horizon_voi,passive,100,1.3219824363622685,1.2955998378583715,1.3467585297901157
0.75,receding_horizon_voi,round_robin,100,0.40329024001026886,0.3673121659005358,0.44079134240311113
0.75,receding_horizon_voi,myopic_voi,100,1.3219824363622685,1.296508316436451,1.3471180824432838
1.0,receding_horizon_voi,passive,100,1.0613099151496916,1.0314341806654637,1.0910271362328259
1.0,receding_horizon_voi,round_robin,100,0.5737203200136917,0.5289060252582906,0.6214177785413133
1.0,receding_horizon_voi,myopic_voi,100,1.0613099151496916,1.0306050941834473,1.0906326244283284
1.5,receding_horizon_voi,passive,100,0.5399648727245372,0.502319258479487,0.5778529948823625
1.5,receding_horizon_voi,round_robin,100,0.914580480020538,0.8526491925515168,0.9829035480849994
1.5,receding_horizon_voi,myopic_voi,100,0.5399648727245372,0.5019598940248468,0.5771638991747585
2.0,receding_horizon_voi,passive,100,0.018619830299383015,-0.02871204532975851,0.06490689843702109
2.0,receding_horizon_voi,round_robin,100,1.2554406400273836,1.173267627189595,1.3443077470269147
2.0,receding_horizon_voi,myopic_voi,100,0.018619830299383015,-0.026620984266597578,0.06533445872390019
3.0,receding_horizon_voi,passive,100,-1.0240702545509255,-1.0887140817548497,-0.9595877997277028
3.0,receding_horizon_voi,round_robin,100,1.9371609600410755,1.815933164821284,2.0661827093498726
3.0,receding_horizon_voi,myopic_voi,100,-1.0240702545509255,-1.0878684709358986,-0.95907240790745
4.0,receding_horizon_voi,passive,100,-2.0667603394012333,-2.1497165895967245,-1.9848096915366606
4.0,receding_horizon_voi,round_robin,100,2.618881280054768,2.4528102247079735,2.7858304943619707
4.0,receding_horizon_voi,myopic_voi,100,-2.0667603394012333,-2.1500431666584294,-1.987638945611816
