scenario,algorithm,runs,position_rmse_mean,position_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std,mean_momentum_change_score_mean,mean_momentum_change_score_std,mean_momentum_corroborating_agents_mean,mean_momentum_corroborating_agents_std,mean_momentum_biased_agents_mean,mean_momentum_biased_agents_std,momentum_fallback_rate_mean,momentum_fallback_rate_std,momentum_change_events_mean,momentum_change_events_std
no_change,flocking_fixed_momentum,10,0.6412030962021233,0.02643963546094261,0.6509459602598546,0.019123728925760752,,,3.726325861294275,0.007429196654490792,0.3978121924773339,0.08885836544204406,0.02742187500000005,0.007916880822213064,0.3630941628518546,0.026996936416620237,0.771784279239364,0.006553068403790507,737280.0,0.0,1.6021878075226659,0.08885836544204406,0.9774218750000001,0.007916880822213064,1.6934513948238803,0.07551362432826747,4.771694161536366,0.008439154294173313,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_change,flocking_guarded_momentum,10,0.6461812388846406,0.026643833214764757,0.6541493477048423,0.021174439393426635,,,3.7262404149162975,0.007292088955175385,0.37873651723784,0.11251600036394077,0.02726562500000005,0.00799360401059028,0.3629064319837549,0.02717410327619308,0.7810174791375175,0.006283419350556601,737280.0,0.0,1.62126348276216,0.11251600036394077,0.977265625,0.00799360401059028,1.6977997625402144,0.0740095930589792,4.773208615410267,0.010381539662275494,3840.0,0.0,0.7198249999999998,0.0005249999999999755,0.10681058877432933,0.013458976922904625,0.9799999999999999,0.107812047100498,0.0,0.0,0.99875,0.0037499999999999873,0.1,0.30000000000000004
no_change,flocking_adaptive_momentum,10,0.6558109433018919,0.025752291557074942,0.6599554195616121,0.024049106097330675,,,3.7367799617933883,0.0019446916104610644,0.30524315351611075,0.10843378825369443,0.02273437500000004,0.007674165900319407,0.3287418719386304,0.014306563144213894,0.7806013211142272,0.005173060380460828,737280.0,0.0,1.6947568464838891,0.10843378825369443,0.9727343749999999,0.007674165900319406,1.7014080382619277,0.08368166492619859,4.763434580115738,0.012277188380863979,3840.0,0.0,0.8523323239309052,0.007045024171793311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt_change,flocking_fixed_momentum,10,0.6569785112100088,0.03516727084928205,0.6757877887876107,0.02951187469330464,0.6,0.9165151389911681,3.695452776712011,0.013790254470079436,0.30095532462800406,0.14566477782683077,0.02257812500000006,0.009964842984368855,0.43131612431924743,0.03226534722559988,0.7802501331781968,0.006842900987162611,737280.0,0.0,1.6994514210456142,0.14650217271353566,0.9725781250000001,0.009964842984368855,1.7580876059859953,0.08730280386983197,4.770183755537738,0.010624057950794104,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt_change,flocking_guarded_momentum,10,0.6585510617169927,0.0343375826589405,0.6783776377219464,0.02652132493877842,0.6,0.9165151389911681,3.6953744519219627,0.013540372739594754,0.29147684382266403,0.12997129073229682,0.022109375000000053,0.009851497447247556,0.4340635258040759,0.029099080894754756,0.7837587041314691,0.004198483233922013,737280.0,0.0,1.7089299018509543,0.1308796579417359,0.9721093749999999,0.009851497447247556,1.7639052830012805,0.08284099205714623,4.769772841538778,0.011420099482105832,3840.0,0.0,0.7192999999999998,0.000857321409974113,0.11024821599707808,0.012953958796754938,1.02375,0.10018732454756939,0.0,0.0,0.9950000000000001,0.006123724356957924,0.4,0.48989794855663565
abrupt_change,flocking_adaptive_momentum,10,0.6658762388579667,0.03189832812289845,0.6791286637087335,0.033083582246013515,1.2,1.469693845669907,3.7188739709469063,0.010837791009948052,0.24238492262326164,0.15379570141998913,0.018750000000000044,0.010047494634857984,0.35867409300334213,0.021803581004116862,0.7805484376382082,0.0024459321923110742,737280.0,0.0,1.7576150773767385,0.15379570141998913,0.9659375000000001,0.01408938402441711,1.7449861388149788,0.08600630502130087,4.7702150609610054,0.018008981352180944,3840.0,0.0,0.848336978086806,0.007578587263081965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual_change,flocking_fixed_momentum,10,0.6437124607680517,0.04672539731374359,0.6612455517647946,0.03672379414425171,0.4,0.4898979485566356,3.7017196788321023,0.011703217076865193,0.3672398365301116,0.1792922387963471,0.028750000000000053,0.013481034131326867,0.42638131882331454,0.025983499757738986,0.7817868041340261,0.0024998104641155297,737280.0,0.0,1.6327601634698883,0.17929223879634712,0.97875,0.013481034131326867,1.7124040391341044,0.09489009664634601,4.76999526702257,0.009851934913649515,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual_change,flocking_guarded_momentum,10,0.6360966419628526,0.04402938440250288,0.6562120017329501,0.03444558465635245,0.3,0.45825756949558405,3.701985611846692,0.01211730288690424,0.3909633189788118,0.16364812451533362,0.028984375000000052,0.01348850241003889,0.42250132542751684,0.030481651170172465,0.7925892042228952,0.010252660345326752,737280.0,0.0,1.6090366810211882,0.16364812451533362,0.9789843749999999,0.013488502410038888,1.7036645222784792,0.09700356035317978,4.770726658923408,0.010999232906307747,3840.0,0.0,0.7198249999999998,0.0005249999999999755,0.10216532561494521,0.01736550941812576,0.96125,0.1298075498574717,0.0,0.0,0.99875,0.0037499999999999873,0.1,0.30000000000000004
gradual_change,flocking_adaptive_momentum,10,0.6636259838667065,0.028923570877475217,0.6689978057511923,0.027991755707147244,0.2,0.4000000000000001,3.724342757830617,0.009668746191382757,0.28627404299546344,0.12245572851755818,0.022031250000000037,0.008177415067580964,0.3452432315544315,0.025072918137083535,0.7855504121864214,0.0024729997875202318,737280.0,0.0,1.7137259570045367,0.12245572851755819,0.9720312499999999,0.008177415067580966,1.7184695956578273,0.08002181811909441,4.760509633506322,0.01623522192969941,3840.0,0.0,0.8511865864174112,0.007100812645040038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_changes,flocking_fixed_momentum,10,0.6635798295359951,0.033426894074695075,0.6724202563552873,0.024321193856165775,0.8,0.8717797887081348,3.7246252482476008,0.01043253607921988,0.27964878996776216,0.14363810052026324,0.02445312500000004,0.009651204689214968,0.3726228555290612,0.024012346040375807,0.7890368042048067,0.009764228915537913,737280.0,0.0,1.7205057715497116,0.14393861856527862,0.9744531249999999,0.009651204689214968,1.7909597745794805,0.07263276512737214,4.766730392648795,0.012801666469444358,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
