scenario,algorithm,runs,position_rmse_mean,position_rmse_std,best_hypothesis_rmse_mean,best_hypothesis_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_truth_consistent_flock_weight_mean,mean_truth_consistent_flock_weight_std,decision_loss_mean,decision_loss_std,mean_decision_base_error_mean,mean_decision_base_error_std,selection_rate_mean,selection_rate_std,mixture_rate_mean,mixture_rate_std,abstention_rate_mean,abstention_rate_std,investigation_rate_mean,investigation_rate_std,wrong_mode_rate_mean,wrong_mode_rate_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_output_confidence_mean,mean_output_confidence_std,ambiguity_resolution_steps_mean,ambiguity_resolution_steps_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std,mean_momentum_change_score_mean,mean_momentum_change_score_std,mean_momentum_corroborating_agents_mean,mean_momentum_corroborating_agents_std,mean_momentum_biased_agents_mean,mean_momentum_biased_agents_std,momentum_fallback_rate_mean,momentum_fallback_rate_std,momentum_change_events_mean,momentum_change_events_std,mean_hypothesis_flocks_mean,mean_hypothesis_flocks_std,multiflock_rate_mean,multiflock_rate_std,mean_primary_flock_size_mean,mean_primary_flock_size_std,mean_primary_flock_weight_mean,mean_primary_flock_weight_std,mean_alternative_flock_weight_mean,mean_alternative_flock_weight_std,mean_quarantined_agents_mean,mean_quarantined_agents_std,quarantine_rate_mean,quarantine_rate_std,mean_suspected_bias_agents_mean,mean_suspected_bias_agents_std,mean_bias_estimate_norm_mean,mean_bias_estimate_norm_std,movement_distance_mean,movement_distance_std,decision_loss_defer_0_25_mean,decision_loss_defer_0_25_std,decision_loss_defer_0_50_mean,decision_loss_defer_0_50_std,decision_loss_defer_1_00_mean,decision_loss_defer_1_00_std,decision_loss_defer_1_50_mean,decision_loss_defer_1_50_std
no_change,flocking_robust_multiflock,10,0.6363529086985442,0.038780857526669654,0.6363529086985442,0.038780857526669654,0.648174293361863,0.03012181956649593,,,3.730288886052694,0.007650722449008083,0.3990516988548138,0.14415871287306345,0.025569196428571483,0.008881635842431493,0.36672260442739957,0.027802431649037524,1.1495755207026377,0.009646081231941307,737280.0,0.0,1.0,0.0,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6009483011451864,0.14415871287306345,0.9755691964285715,0.008881635842431493,1.6706969034834294,0.0718013582953381,4.730566285692511,0.027909886195359866,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.930625000000001,0.034960915677367525,1.0,0.0,0.0,0.0,0.005625,0.0090355201842506,0.005625,0.0090355201842506,0.06812499999999999,0.034283970379756196,0.29576628669173616,0.011433362937062978,133.13144074803648,17.951787506908364,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689
no_change,flocking_robust_temporal,10,0.6363529086985442,0.038780857526669654,0.6363529086985442,0.038780857526669654,0.648174293361863,0.03012181956649593,,,3.730288886052694,0.007650722449008083,0.3990516988548138,0.14415871287306345,0.025569196428571483,0.008881635842431493,0.36672260442739957,0.027802431649037524,1.1417277543572708,0.015594281547390126,737280.0,0.0,1.0,0.0,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6009483011451864,0.14415871287306345,0.9755691964285715,0.008881635842431493,1.6706969034834294,0.0718013582953381,4.730566285692511,0.027909886195359866,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.930625000000001,0.034960915677367525,1.0,0.0,0.0,0.0,0.005625,0.0090355201842506,0.005625,0.0090355201842506,0.06812499999999999,0.034283970379756196,0.29576628669173616,0.011433362937062978,133.13144074803648,17.951787506908364,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689
no_change,flocking_robust_mixture,10,0.6363529086985442,0.038780857526669654,0.6363529086985442,0.038780857526669654,0.648174293361863,0.03012181956649593,,,3.730288886052694,0.007650722449008083,0.3990516988548138,0.14415871287306345,0.025569196428571483,0.008881635842431493,0.36672260442739957,0.027802431649037524,1.1440962001681327,0.010373577127683954,737280.0,0.0,1.0,0.0,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6009483011451864,0.14415871287306345,0.9755691964285715,0.008881635842431493,1.6706969034834294,0.0718013582953381,4.730566285692511,0.027909886195359866,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.930625000000001,0.034960915677367525,1.0,0.0,0.0,0.0,0.005625,0.0090355201842506,0.005625,0.0090355201842506,0.06812499999999999,0.034283970379756196,0.29576628669173616,0.011433362937062978,133.13144074803648,17.951787506908364,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689
no_change,flocking_robust_defer,10,0.6363529086985442,0.038780857526669654,0.6363529086985442,0.038780857526669654,0.648174293361863,0.03012181956649593,,,3.730288886052694,0.007650722449008083,0.3990516988548138,0.14415871287306345,0.025569196428571483,0.008881635842431493,0.36672260442739957,0.027802431649037524,1.1444926956202834,0.010209571297700691,737280.0,0.0,1.0,0.0,1.3106231444824135,0.03491050577542698,0.5606231444824132,0.03491050577542689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6009483011451864,0.14415871287306345,0.9755691964285715,0.008881635842431493,1.6706969034834294,0.0718013582953381,4.730566285692511,0.027909886195359866,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.930625000000001,0.034960915677367525,1.0,0.0,0.0,0.0,0.005625,0.0090355201842506,0.005625,0.0090355201842506,0.06812499999999999,0.034283970379756196,0.29576628669173616,0.011433362937062978,133.13144074803648,17.951787506908364,0.8106231444824132,0.03491050577542688,1.0606231444824132,0.03491050577542689,1.5606231444824132,0.03491050577542689,2.0606231444824132,0.03491050577542688
no_change,flocking_robust_active,10,0.6363529086985442,0.038780857526669654,0.6363529086985442,0.038780857526669654,0.648174293361863,0.03012181956649593,,,3.730288886052694,0.007650722449008083,0.3990516988548138,0.14415871287306345,0.025569196428571483,0.008881635842431493,0.36672260442739957,0.027802431649037524,1.1516513040754943,0.01132585433430215,737280.0,0.0,1.0,0.0,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6009483011451864,0.14415871287306345,0.9755691964285715,0.008881635842431493,1.6706969034834294,0.0718013582953381,4.730566285692511,0.027909886195359866,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.930625000000001,0.034960915677367525,1.0,0.0,0.0,0.0,0.005625,0.0090355201842506,0.005625,0.0090355201842506,0.06812499999999999,0.034283970379756196,0.29576628669173616,0.011433362937062978,133.13144074803648,17.951787506908364,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689,0.5606231444824132,0.03491050577542689
mixed_dropout,flocking_robust_multiflock,10,0.6840797590026144,0.02722299423640881,0.6840797590026144,0.02722299423640881,0.7027589567415307,0.015602836603237186,2.5,2.0615528128088303,3.704487381901199,0.016862324461967698,0.23239373363876936,0.09543562535409957,0.012979910714285748,0.010026776024435585,0.49527438514461464,0.029234965680250673,1.054555712454021,0.013355881334922838,626918.4,6033.078736433,1.0,0.0,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.7676062663612306,0.09543562535409957,0.9626674107142856,0.010418782337232332,1.7570385044859926,0.0545814517868354,4.516013683029547,0.03931641315709453,3265.2,31.42228508558854,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.9575000000000005,0.03292984968079875,1.0,0.0,0.0,0.0,0.000625,0.0018750000000000001,0.000625,0.0018750000000000001,0.042499999999999996,0.03292984968079873,0.2944155664088938,0.01298437982895612,194.8263527249193,22.29525972010924,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187
mixed_dropout,flocking_robust_temporal,10,0.6840797590026144,0.02722299423640881,0.6840797590026144,0.02722299423640881,0.7027589567415307,0.015602836603237186,2.5,2.0615528128088303,3.704487381901199,0.016862324461967698,0.23239373363876936,0.09543562535409957,0.012979910714285748,0.010026776024435585,0.49527438514461464,0.029234965680250673,1.0500501291826367,0.00995607734212755,626918.4,6033.078736433,1.0,0.0,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.7676062663612306,0.09543562535409957,0.9626674107142856,0.010418782337232332,1.7570385044859926,0.0545814517868354,4.516013683029547,0.03931641315709453,3265.2,31.42228508558854,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.9575000000000005,0.03292984968079875,1.0,0.0,0.0,0.0,0.000625,0.0018750000000000001,0.000625,0.0018750000000000001,0.042499999999999996,0.03292984968079873,0.2944155664088938,0.01298437982895612,194.8263527249193,22.29525972010924,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187
mixed_dropout,flocking_robust_mixture,10,0.6840797590026144,0.02722299423640881,0.6840797590026144,0.02722299423640881,0.7027589567415307,0.015602836603237186,2.5,2.0615528128088303,3.704487381901199,0.016862324461967698,0.23239373363876936,0.09543562535409957,0.012979910714285748,0.010026776024435585,0.49527438514461464,0.029234965680250673,1.0490192123688757,0.010188154245432209,626918.4,6033.078736433,1.0,0.0,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.7676062663612306,0.09543562535409957,0.9626674107142856,0.010418782337232332,1.7570385044859926,0.0545814517868354,4.516013683029547,0.03931641315709453,3265.2,31.42228508558854,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.9575000000000005,0.03292984968079875,1.0,0.0,0.0,0.0,0.000625,0.0018750000000000001,0.000625,0.0018750000000000001,0.042499999999999996,0.03292984968079873,0.2944155664088938,0.01298437982895612,194.8263527249193,22.29525972010924,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187
mixed_dropout,flocking_robust_defer,10,0.6840797590026144,0.02722299423640881,0.6840797590026144,0.02722299423640881,0.7027589567415307,0.015602836603237186,2.5,2.0615528128088303,3.704487381901199,0.016862324461967698,0.23239373363876936,0.09543562535409957,0.012979910714285748,0.010026776024435585,0.49527438514461464,0.029234965680250673,1.0418799792882054,0.010543684163716817,626918.4,6033.078736433,1.0,0.0,1.3536073886267412,0.027464959279551848,0.6036073886267415,0.02746495927955187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.7676062663612306,0.09543562535409957,0.9626674107142856,0.010418782337232332,1.7570385044859926,0.0545814517868354,4.516013683029547,0.03931641315709453,3265.2,31.42228508558854,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.9575000000000005,0.03292984968079875,1.0,0.0,0.0,0.0,0.000625,0.0018750000000000001,0.000625,0.0018750000000000001,0.042499999999999996,0.03292984968079873,0.2944155664088938,0.01298437982895612,194.8263527249193,22.29525972010924,0.8536073886267413,0.027464959279551875,1.1036073886267412,0.02746495927955185,1.6036073886267412,0.02746495927955185,2.1036073886267412,0.02746495927955186
mixed_dropout,flocking_robust_active,10,0.6840797590026144,0.02722299423640881,0.6840797590026144,0.02722299423640881,0.7027589567415307,0.015602836603237186,2.5,2.0615528128088303,3.704487381901199,0.016862324461967698,0.23239373363876936,0.09543562535409957,0.012979910714285748,0.010026776024435585,0.49527438514461464,0.029234965680250673,1.0522611499996857,0.010952751753916256,626918.4,6033.078736433,1.0,0.0,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.7676062663612306,0.09543562535409957,0.9626674107142856,0.010418782337232332,1.7570385044859926,0.0545814517868354,4.516013683029547,0.03931641315709453,3265.2,31.42228508558854,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.9575000000000005,0.03292984968079875,1.0,0.0,0.0,0.0,0.000625,0.0018750000000000001,0.000625,0.0018750000000000001,0.042499999999999996,0.03292984968079873,0.2944155664088938,0.01298437982895612,194.8263527249193,22.29525972010924,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187,0.6036073886267415,0.02746495927955187
