scenario,algorithm,runs,position_rmse_mean,position_rmse_std,best_hypothesis_rmse_mean,best_hypothesis_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_truth_consistent_flock_weight_mean,mean_truth_consistent_flock_weight_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std,mean_momentum_change_score_mean,mean_momentum_change_score_std,mean_momentum_corroborating_agents_mean,mean_momentum_corroborating_agents_std,mean_momentum_biased_agents_mean,mean_momentum_biased_agents_std,momentum_fallback_rate_mean,momentum_fallback_rate_std,momentum_change_events_mean,momentum_change_events_std,mean_hypothesis_flocks_mean,mean_hypothesis_flocks_std,multiflock_rate_mean,multiflock_rate_std,mean_primary_flock_size_mean,mean_primary_flock_size_std,mean_primary_flock_weight_mean,mean_primary_flock_weight_std,mean_alternative_flock_weight_mean,mean_alternative_flock_weight_std,mean_quarantined_agents_mean,mean_quarantined_agents_std,quarantine_rate_mean,quarantine_rate_std,mean_suspected_bias_agents_mean,mean_suspected_bias_agents_std,mean_bias_estimate_norm_mean,mean_bias_estimate_norm_std
no_change,flocking_fixed_momentum,100,0.6519033636674643,0.03766278820899269,0.6519033636674643,0.03766278820899269,0.6611693078475976,0.030881980637982174,,,3.7177960426464933,0.011152068802937242,0.35339575906789866,0.1457149607892664,0.023640625000000047,0.011336268624557428,0.377028825862054,0.06189852561037984,1.0361412411835045,0.14379729383831422,737280.0,0.0,1.0,0.0,1.6466901953181587,0.14592324777318114,0.9736093750000002,0.01140120821790941,1.669586054403256,0.06715018611995092,4.77459437085685,0.024142683233372625,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_change,flocking_robust_multiflock,100,0.6516244830903054,0.03889108805810107,0.6516244830903054,0.03889108805810107,0.6599451322508658,0.0317558396854649,,,3.7205842871662673,0.011087995303884107,0.3578984613630688,0.13983323082886917,0.02493303571428575,0.010667389462433636,0.3797319679346572,0.052129038519736395,1.2919854433555156,0.036619618863338095,737280.0,0.0,1.0,0.0,1.6469672678910465,0.1516988172326329,0.9746428571428569,0.011321619129339298,1.6587646864568342,0.06976613759977675,4.736535107512527,0.028676378470720063,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.925250000000001,0.03311815967109284,1.0,0.0,0.0,0.0,0.0010625,0.004244021530341239,0.0010625,0.004244021530341239,0.07450000000000001,0.03277146243303768,0.2961901345608343,0.009248161033881314
abrupt_change,flocking_fixed_momentum,100,0.6661230328752993,0.04100446435502489,0.6661230328752993,0.04100446435502489,0.6809149783960613,0.031028301805302683,1.01,1.3601102896456596,3.6929664715775,0.013790121931149268,0.28992736967177213,0.14814093091977434,0.018648437500000038,0.010684378541787951,0.44115115954137857,0.04426230861676693,1.0529226245358587,0.018382790841150878,737280.0,0.0,1.0,0.0,1.7150634440679746,0.15752705860316638,0.9675078125000001,0.012465819968235892,1.74110158112016,0.06793415114095336,4.774243331312234,0.0208525919161496,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt_change,flocking_robust_multiflock,100,0.6641237289052817,0.041119820749694704,0.6641237289052817,0.041119820749694704,0.6783724688938056,0.03281309927582317,1.04,1.295530779256132,3.695475030298421,0.013931174308297935,0.29726091995210757,0.15822188047678146,0.019920758928571477,0.01066729015033281,0.441786262182157,0.0440669287961375,1.2669644103641622,0.02639921260026762,737280.0,0.0,0.9999921875,7.773339352395028e-05,1.7055598232380769,0.1634111388516393,0.9693604910714285,0.01165328712916574,1.7233697541710817,0.07288295679906696,4.732388493455346,0.027400653133835405,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000624999999999,0.0006218671481916466,6.25e-05,0.0006218671481916371,7.915125,0.037230070171838256,0.9999921875,7.773339352395028e-05,7.8125e-06,7.773339352395464e-05,0.0019375000000000004,0.006713733592420837,0.0019375000000000004,0.006713733592420837,0.08437499999999998,0.036651867278489375,0.3002537466085529,0.009534487563557048
mixed_dropout,flocking_fixed_momentum,100,0.6808056449322158,0.033139849503275615,0.6808056449322158,0.033139849503275615,0.7001433977492316,0.026155770889240003,1.2,1.4560219778561034,3.7027914572598264,0.015905757807329557,0.2659614683472567,0.1208353161216301,0.01708593750000003,0.009126026670625554,0.49945562301474494,0.03260435496230162,0.9020927762938663,0.016792184368475842,626415.36,4138.22851838803,1.0,0.0,1.7391383071988256,0.13148328219415847,0.9653828125000001,0.011772115469902542,1.7475289729403187,0.07094128829464767,4.545637971672918,0.02231408276897117,3262.58,21.553273533270996,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_dropout,flocking_robust_multiflock,100,0.6771897405985845,0.0340331158961606,0.6770416188241551,0.03399099987183419,0.6971574886203125,0.02465467851073925,1.19,1.412055239712668,3.7045201778228836,0.015176297488263586,0.27415598421706755,0.1204252406397836,0.017061011904761943,0.009306489203868947,0.4979736308422076,0.03088401163675971,1.1358749871165492,0.019324416430032697,626641.92,4011.846317295816,0.9999296874999999,0.000519340307956878,1.7272814450169478,0.1236459948123454,0.9656413690476191,0.01153414248361539,1.7319375494610956,0.06656349359252076,4.517420316954174,0.02814950705783505,3263.76,20.895032902582376,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000125,0.0008750000000000125,0.000125,0.0008750000000000001,7.936624999999998,0.03241599720816867,0.9999609375,0.00027896204798995435,3.90625e-05,0.00027896204798995506,0.0026249999999999997,0.008393635982099771,0.0026249999999999997,0.008393635982099771,0.06200000000000001,0.030843354227450683,0.2963524736062511,0.011381767925745105
communication_delay,flocking_fixed_momentum,100,2.527470071298066,0.40969876664376914,2.527470071298066,0.40969876664376914,3.0521678098789318,0.4115325911321617,17.07,7.018910171814425,3.6121533837598996,0.04884144802973772,28.65326428373196,6.854650768549032,0.6888125,0.045172180364758244,1.2478303376703566,0.12909624479801118,0.9951685633743181,0.01570549021979636,737280.0,0.0,1.0,0.0,30.653264283731957,6.854650768549033,0.2611875,0.045172180364758244,5.86655057099622,0.9751102029651612,4.062658851270978,0.41083322303392933,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication_delay,flocking_robust_multiflock,100,0.6847448007514907,0.03146605850571921,0.6847448007514907,0.03146605850571921,0.741245520739091,0.01751401341968249,1.31,1.6413104520473873,3.685208929600385,0.04298200329854182,0.31868778521565916,0.06138853968454756,0.020989285714285794,0.0049316432531607115,0.9009545606158161,0.022488479360847843,1.2232705245376565,0.01812107054494473,737280.0,0.0,0.9999765625000001,0.00023320018057186177,1.6813122147843407,0.061388539684547556,0.9709892857142859,0.0049316432531607115,1.7214139201046266,0.05356209719454052,3.7067278045006136,0.4853913904093616,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000624999999999,0.0006218671481916466,6.25e-05,0.0006218671481916371,7.900562500000001,0.04229818812608884,0.9999765625000001,0.00023320018057186177,2.34375e-05,0.00023320018057186394,0.0054375,0.013188980959497972,0.0054375,0.013188980959497972,0.0975625,0.04047467379423829,0.3027480402924895,0.012269571616151954
biased_agents,flocking_fixed_momentum,100,1.280627717329118,0.44076190556703526,1.280627717329118,0.44076190556703526,1.3354987360627502,0.4291170458547129,7.23,16.16097459932414,3.6777996145254543,0.021211326893497685,5.268632751559169,4.580498666467699,0.21828124999999995,0.1575264269743731,0.7290746972095217,0.17113996226520373,0.983998069576919,0.021796916489830388,737280.0,0.0,1.0,0.0,7.240705375138432,4.612425205389183,0.7329843749999999,0.1592654947021933,4.5433120814894865,0.7236019202955776,4.838149687505452,0.0663203988766819,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biased_agents,flocking_robust_multiflock,100,0.667377403781215,0.04002989990464018,0.6618150082136741,0.03844923525347741,0.6900423523111222,0.03374837643042531,1.46,1.6638509548634455,3.735955666552487,0.026146701875592232,0.33803882919062367,0.14610653543700636,0.020287127976190523,0.011309690440452849,0.6926103057330704,0.025077844442881598,0.5325646820804104,0.030213620917301644,737280.0,0.0,0.9888494791666664,0.00869562125088265,1.66323383958845,0.1490165190159632,0.9699787946428572,0.011845861049317745,1.584549473098158,0.05603017055463815,3.1349581638428727,0.0858699486742502,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0225625,0.017452950144603057,0.022437499999999996,0.017322650453957672,5.091,0.17429169156904753,0.9892057291666664,0.008210330416821567,0.010773437499999998,0.008192741030211295,2.2186250000000003,0.13932028073830457,0.9701875,0.003628769591748684,2.7335624999999992,0.10945052749416055,1.051941838644781,0.014530356957812409
