algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_fixed_momentum,3000,0.5962495000567527,0.5962495000567527,1.0,0.6221850750544418,1.451887903949076,0.984375,1.5993616548011853,3.7291393623964533,4.776310598540301,0.35580603476746,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9314369589556009,no_change,0.548112096050924,0.034375000000000044
flocking_fixed_momentum,3001,0.6242822117920402,0.6242822117920402,1.0,0.6415567295855537,1.5539290162062334,0.99375,1.5860861425657578,3.725613926791353,4.774618002528802,0.38578763859652615,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9259644581470639,no_change,0.44607098379376664,0.04375000000000007
flocking_fixed_momentum,3002,0.5769704273834088,0.5769704273834088,1.0,0.6133113358526298,1.4387359128354587,0.98515625,1.667985925634636,3.723595430518052,4.775504553066687,0.37604227182587924,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9282120000571012,no_change,0.5612640871645413,0.03515625
flocking_fixed_momentum,3003,0.6697504576749627,0.6697504576749627,1.0,0.6735273832205317,1.6966558145572948,0.96796875,1.656745902228436,3.722639726146691,4.784028967675733,0.38974908868482155,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.930096291936934,no_change,0.30334418544270525,0.01796875000000009
flocking_fixed_momentum,3004,0.6413820405815585,0.6413820405815585,1.0,0.6604752294635121,1.623636117121713,0.9578125,1.679446768478193,3.7176375923062537,4.76098211352523,0.3322444504846545,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9275473330635577,no_change,0.3763638828782869,0.0078125
flocking_fixed_momentum,3005,0.6227712796732334,0.6227712796732334,1.0,0.6502830042164406,1.6014229467991015,0.98359375,1.648860091353346,3.7209290121499072,4.783390365934499,0.324821237437927,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9346461249515414,no_change,0.39857705320089853,0.03359375000000009
flocking_fixed_momentum,3006,0.6879002413020217,0.6879002413020217,1.0,0.695728716220659,1.8506931270398859,0.975,1.8316166900337543,3.7200477218036383,4.777011175551429,0.4001147309371941,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9340280410833657,no_change,0.14930687296011413,0.025000000000000022
flocking_fixed_momentum,3007,0.6761972857669475,0.6761972857669475,1.0,0.68908872873963,1.754228184866705,0.9703125,1.649700222098587,3.7188928247810757,4.7639537661118485,0.39467896044089573,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9345670419279486,no_change,0.24577181513329505,0.020312500000000067
flocking_fixed_momentum,3008,0.5851760316083173,0.5851760316083173,1.0,0.5953064750506211,1.3377208447503315,0.98515625,1.5447207644405154,3.712166176539623,4.770157773850312,0.37967528854804744,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9348283750005066,no_change,0.6622791552496685,0.03515625
flocking_fixed_momentum,3009,0.6999287541916165,0.6999287541916165,1.0,0.7026417279289171,1.8870049061316791,0.95625,1.7050054636745684,3.72166953782227,4.776457607792583,0.3885905836614615,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9449269168544561,no_change,0.11299509386832085,0.006250000000000089
flocking_fixed_momentum,3010,0.6589681762903615,0.6589681762903615,1.0,0.6775204555011222,1.684033120621227,0.98828125,1.697142789385595,3.7102854378577517,4.7731370725290985,0.4306714542003357,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9327307499479502,no_change,0.3159668793787731,0.038281250000000044
flocking_fixed_momentum,3011,0.6413425163895979,0.6413425163895979,1.0,0.655166092343044,1.6524792678251568,0.97421875,1.5837233766206729,3.72943404544242,4.760652413804709,0.35634905632274066,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9424948338419199,no_change,0.34752073217484325,0.024218750000000067
flocking_fixed_momentum,3012,0.6349982719728355,0.6349982719728355,1.0,0.6360481438464324,1.522359951869705,0.9671875,1.6580220711335383,3.7262310494106914,4.767478630502597,0.366100841861453,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9474969999864697,no_change,0.4776400481302949,0.017187500000000022
