scenario,seed,runtime_seconds,motion_distance_difference,baseline_decision_loss,baseline_mean_base_error,baseline_position_rmse,baseline_best_hypothesis_rmse,baseline_selection_rate,baseline_mixture_rate,baseline_abstention_rate,baseline_wrong_mode_action_rate,baseline_mean_nees,baseline_p95_nees,baseline_max_nees,baseline_coverage95_rate,baseline_mean_residual_mass,baseline_max_residual_mass,baseline_mean_model_nis,baseline_mean_assignment_entropy,baseline_mean_predicted_risk,baseline_mean_predicted_wrong_risk,baseline_mean_credible_modes,baseline_mean_visible_agents,baseline_movement_distance,baseline_mean_quarantined_agents,baseline_quarantine_rate,candidate_decision_loss,candidate_mean_base_error,candidate_position_rmse,candidate_best_hypothesis_rmse,candidate_selection_rate,candidate_mixture_rate,candidate_abstention_rate,candidate_wrong_mode_action_rate,candidate_mean_nees,candidate_p95_nees,candidate_coverage95_rate,candidate_mean_residual_mass,candidate_max_residual_mass,candidate_mean_model_residual_mass,candidate_mean_admission_residual_mass,candidate_mean_model_nis,candidate_mean_assignment_entropy,candidate_mean_measurement_eligible_agents,candidate_mean_belief_admitted_agents,candidate_mean_belief_censored_measurement_agents,candidate_belief_censoring_rate,candidate_mean_robust_excluded_measurement_agents,candidate_mean_unreachable_measurement_agents,candidate_mean_covariance_floored_agents,candidate_mean_model_rejected_measurement_agents,candidate_covariance_floor_rate,candidate_mean_excluded_secondary_probability,candidate_mean_unreachable_secondary_probability,candidate_mean_quarantined_agents,candidate_quarantine_rate,candidate_movement_distance,observer_loss,global_loss,hindsight_floor_loss
failure_only,31218,2.1465344930184074,0.0,0.3061172535006932,0.3061172535006932,0.3485691700174376,0.3485691700174376,1.0,0.0,0.0,0.0,1.821123151553477,5.49452344237303,11.174542149967895,0.95625,0.011823879931376537,0.04503949493569015,1.968772901836434,0.12500000000070202,0.4359370834403837,0.011823879931376537,1.0,6.5,167.48863490997888,0.45625,0.24375,0.2976752288089548,0.2976752288089548,0.33753802036987585,0.33753802036987585,1.0,0.0,0.0,0.0,1.7637096264275836,5.351367189322867,0.9625,0.012409713596824579,0.04503949533228346,0.012409713596824577,0.0,1.9810400120789518,0.12499999999999996,7.125,6.5,0.625,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45625,0.24375,167.48863490997888,0.2976752288089548,0.2976752288089548,0.5964528897733355
failure_only,31219,2.155459769011941,0.0,0.32422317131129547,0.32422317131129547,0.36443937956121736,0.36443937956121736,1.0,0.0,0.0,0.0,1.9691976624406764,5.452896163652745,10.094984220991606,0.95625,0.014603869141528844,0.05194087604953368,1.876722055749188,0.12500000000294764,0.4567424096707972,0.014603869141528844,1.0,6.48125,174.75935581726688,0.19375,0.16875,0.31398462747147504,0.31398462747147504,0.3545423930582452,0.3545423930582452,1.0,0.0,0.0,0.0,1.9427239456024588,5.453150673253128,0.95625,0.01400540327830429,0.04976201296509286,0.01400540327830429,0.0,1.9210060026421931,0.12499999999999996,7.025,6.48125,0.54375,0.31875,0.0,0.1,0.0,0.0,0.0,0.0,0.025,0.19375,0.16875,174.75935581726688,0.31398462747147504,0.3096616377907889,0.5698765845412963
failure_only,31220,1.8908611120423302,0.0,0.3808586979401056,0.3574211979401056,0.4133931535194224,0.4133931535194224,0.96875,0.0,0.03125,0.0,1.7411359363905945,5.372683510902315,7.720211852033268,0.9625,0.023077478865526985,0.15893594092513863,1.765644737718791,0.1250000000378264,0.5925926307392942,0.023077478865526985,1.0,5.25,165.47068140211098,1.4125,0.61875,0.3007619462179885,0.2866994462179885,0.32693854704275316,0.32693854704275316,0.98125,0.0,0.01875,0.0,1.6116354702016735,4.913788741696257,0.96875,0.019400735946760984,0.16098447778029767,0.019400735946760977,0.0,1.872728492557691,0.12499999999999996,7.0875,5.25,1.8375,0.69375,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,1.4125,0.61875,165.47068140211098,0.2866994462179885,0.28600724053400306,0.6232911167532211
failure_only,31221,2.152600147004705,0.0,0.30472013934472475,0.30472013934472475,0.34689093513865166,0.34689093513865166,1.0,0.0,0.0,0.0,1.783475039209786,4.882626004115427,9.255778737976557,0.975,0.016708878414579683,0.08768137170090717,1.9291896874924688,0.12661618616682765,0.4627853029880396,0.016708878414579683,1.0,6.525,144.23476119925624,0.275,0.2,0.30322813116943165,0.30322813116943165,0.3416806831670081,0.3416806831670081,1.0,0.0,0.0,0.0,1.83560189592826,4.830727423238038,0.975,0.014439624680952848,0.053224498551773136,0.014439624680952848,0.0,1.990157229140486,0.12499999999999996,7.125,6.525,0.6,0.31875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.2,144.23476119925624,0.30322813116943165,0.30322813116943165,0.5798132113428206
failure_only,31222,1.8085447429912165,0.0,0.3467202648230238,0.3467202648230238,0.4038182252917543,0.4038182252917543,1.0,0.0,0.0,0.0,1.626577299659641,4.789597384074046,8.333738807284425,0.975,0.01594799240836019,0.08528520904880255,1.926660578533135,0.12500006759600907,0.5261124293458165,0.01594799240836019,1.0,4.9875,155.38379368651354,1.80625,0.69375,0.28920957287873283,0.28920957287873283,0.3258975065183099,0.3258975065183099,1.0,0.0,0.0,0.0,1.6242331895978548,4.396732708451249,0.98125,0.012312958287543432,0.04849053956513083,0.012312958287543429,0.0,2.0204717873678577,0.12499999999999996,7.125,4.9875,2.1375,0.75625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80625,0.69375,155.38379368651354,0.28920957287873283,0.28920957287873283,0.6002589886733333
failure_only,31223,1.849063671019394,0.0,0.35094710868804163,0.35094710868804163,0.41351365425206904,0.41351365425206904,1.0,0.0,0.0,0.0,1.775657539821544,5.3403981155378,8.283122728166148,0.9625,0.013786670773374522,0.09576480475825555,1.7893252121017587,0.1266161785324212,0.49076144726921267,0.013786670773374522,1.0,5.2125,130.39222499887632,1.6125,0.63125,0.2864663619050643,0.2817788619050643,0.3190974701649649,0.3190974701649649,0.99375,0.0,0.00625,0.0,1.7276799686522686,5.400163321541587,0.96875,0.014167451974489213,0.10192436000164051,0.014167451974489209,0.0,1.9304831620015874,0.12499999999999996,7.125,5.2125,1.9125,0.68125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6125,0.63125,130.39222499887632,0.2817788619050643,0.2817788619050643,0.5428088929023617
failure_only,31224,2.2140249329968356,0.0,0.2930472810608097,0.2930472810608097,0.32491074877770837,0.32491074877770837,1.0,0.0,0.0,0.0,1.710742574896745,5.224851115366625,8.408191678634541,0.975,0.011997533974088193,0.042736008464540065,1.811440687728414,0.12601970396793072,0.4290999351059514,0.011997533974088193,1.0,6.79375,119.23366695361771,0.11875,0.11875,0.28399196891253914,0.28399196891253914,0.31665533507512234,0.31665533507512234,1.0,0.0,0.0,0.0,1.6722602535613356,5.233059210443254,0.975,0.013122842638748394,0.05480701623257955,0.013122842638748392,0.0,1.8570607233101288,0.12499999999999996,7.125,6.79375,0.33125,0.23125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11875,0.11875,119.23366695361771,0.28399196891253914,0.28399196891253914,0.5467013386721478
failure_only,31225,1.852307090011891,0.0,0.31172825189339715,0.30704075189339713,0.34708886931283767,0.34708886931283767,0.99375,0.0,0.00625,0.0,1.4895586604265507,4.173129929760548,7.629018547232514,0.975,0.018193263753146498,0.11527724528797056,1.7752308676565716,0.12601969726859888,0.5213680504742632,0.018193263753146498,1.0,5.20625,140.05848310365315,1.48125,0.69375,0.2838536339780357,0.2838536339780357,0.3160421966876104,0.3160421966876104,1.0,0.0,0.0,0.0,1.7131743559850463,4.293581995126352,0.9875,0.011811899036557638,0.034950841775609365,0.011811899036557633,0.0,1.906956728879393,0.12499999999999996,7.1,5.20625,1.89375,0.7375,0.0,0.025,0.0,0.0,0.0,0.0,0.0,1.48125,0.69375,140.05848310365315,0.2838536339780357,0.28566865189689616,0.5796848858211582
failure_only,31226,1.85979347495595,0.0,0.33293102235484506,0.3282435223548451,0.3804242786259884,0.3804242786259884,0.99375,0.0,0.00625,0.0,1.5330703487250947,4.780242824805168,9.228101573083366,0.9875,0.017444049608488464,0.10412482374230847,1.8438438051736536,0.12500000000080172,0.5396421289464925,0.017444049608488464,1.0,5.34375,152.0721166681659,1.45625,0.61875,0.2705964325206769,0.2705964325206769,0.30568462692359727,0.30568462692359727,1.0,0.0,0.0,0.0,1.4621848355391793,4.768444083634179,1.0,0.01187322944441687,0.03625648898346545,0.011873229444416867,0.0,1.9160757114062363,0.12499999999999996,7.125,5.34375,1.78125,0.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45625,0.61875,152.0721166681659,0.2705964325206769,0.2705964325206769,0.789127397572319
failure_only,31227,2.129221534996759,0.0,0.30639187757996666,0.30639187757996666,0.3432426880130247,0.3432426880130247,1.0,0.0,0.0,0.0,1.70136255932441,4.796238151512728,8.714705074049373,0.98125,0.010875679817219108,0.024655702397320844,1.8811813903780155,0.12499999999999996,0.43524724010027194,0.010875679817219108,1.0,6.35,174.36321356638967,0.4375,0.225,0.3090727932081023,0.2996977932081023,0.33636145528618466,0.33636145528618466,0.9875,0.0,0.0125,0.0,1.7082316052710909,4.843919960383723,0.98125,0.01806720069751197,0.10321990215521493,0.01806720069751197,0.0,1.9984215882301821,0.12499999999999996,7.05,6.35,0.7,0.3625,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.4375,0.225,174.36321356638967,0.2996977932081023,0.29878270434240894,0.5306015008312566
