algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error,decision_loss_defer_0_25,decision_loss_defer_0_50,decision_loss_defer_1_00,decision_loss_defer_1_50
flocking_robust_multiflock,4000,0.6462509003209449,0.6462509003209449,1.0,0.5690740854620341,0.5690740854620341,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6655238298735373,1.688441557282884,0.9741071428571428,1.646857820184891,3.7249038616826686,4.7368580441305514,0.3818810978530417,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.9,1.0,0.0,0.0,0.0,0.1,0.2980528870332705,143.25972909180925,1.1404612499754876,no_change,0.3115584427171161,0.024107142857142883,0.5690740854620341,0.5690740854620341,0.5690740854620341,0.5690740854620341
flocking_robust_multiflock,4001,0.6632753095900774,0.6632753095900774,1.0,0.6029060515597529,0.6029060515597529,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6735955870993966,1.7497234915235225,0.9756696428571429,1.7524520924152198,3.7282077144740287,4.7710807878679855,0.3529406902732649,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.975,1.0,0.0,0.0,0.0,0.025,0.2823987693121935,141.58470736691388,1.1500321249477565,no_change,0.25027650847647753,0.025669642857142905,0.6029060515597529,0.6029060515597529,0.6029060515597529,0.6029060515597529
flocking_robust_multiflock,4002,0.5691429809748361,0.5691429809748361,1.0,0.5153087018541537,0.5153087018541537,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6100619472490252,1.3635635851842447,0.99296875,1.5823955748077339,3.7179286875981434,4.738106922786811,0.38090696434162014,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.9375,1.0,0.0,0.0,0.0,0.0625,0.30041137230541615,163.86738645955842,1.1403851660434157,no_change,0.6364364148157553,0.04296875,0.5153087018541537,0.5153087018541537,0.5153087018541537,0.5153087018541537
flocking_robust_multiflock,4003,0.5908044662949281,0.5908044662949281,1.0,0.5263621745296073,0.5263621745296073,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6128770423043257,1.4289202591016905,0.9859375,1.6477457683354875,3.7257517681472407,4.7334870573755925,0.34271923544824745,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.95,1.0,0.0,0.0,0.0,0.05,0.30877136048278186,134.11301503157412,1.1477338750846684,no_change,0.5710797408983095,0.03593750000000007,0.5263621745296073,0.5263621745296073,0.5263621745296073,0.5263621745296073
flocking_robust_multiflock,4004,0.6691055652967103,0.6691055652967103,1.0,0.5827907342627763,0.5827907342627763,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6917646867372853,1.774064906403958,0.9689732142857143,1.7613956744449297,3.718003729820956,4.73825014054313,0.40320603552374357,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.9,1.0,0.0,0.0,0.0,0.1,0.306970076755218,156.47702236424124,1.1407752078957856,no_change,0.22593509359604202,0.0189732142857143,0.5827907342627763,0.5827907342627763,0.5827907342627763,0.5827907342627763
flocking_robust_multiflock,4005,0.7360221641529014,0.7360221641529014,1.0,0.6484599989381786,0.6484599989381786,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.737029778822226,1.998474223323953,0.9459821428571429,1.8612975794052187,3.7259145054520872,4.694237267052357,0.3495660074576227,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.9,1.0,0.0,0.0,0.0,0.1,0.30843576841053866,149.5968387015686,1.1349054998718202,no_change,0.0015257766760470304,0.004017857142857073,0.6484599989381786,0.6484599989381786,0.6484599989381786,0.6484599989381786
flocking_robust_multiflock,4006,0.701720248946357,0.701720248946357,1.0,0.6235591197769221,0.6235591197769221,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7013754224166046,1.8324281510428335,0.9612723214285716,1.769468077476494,3.7227844524462896,4.755408908410113,0.37962542809912897,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.975,1.0,0.0,0.0,0.0,0.025,0.28732861168636353,148.883289205961,1.1510427908506244,no_change,0.16757184895716648,0.011272321428571597,0.6235591197769221,0.6235591197769221,0.6235591197769221,0.6235591197769221
flocking_robust_multiflock,4007,0.6280213335030459,0.6280213335030459,1.0,0.55371690060372,0.55371690060372,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.644825684844491,1.519750675953571,0.9792410714285715,1.5339768902991167,3.7110726179655735,4.730344695406742,0.41372215713814253,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.95625,1.0,0.0,0.0,0.0,0.04375,0.2954364207029048,170.3823815565561,1.1407196659129113,no_change,0.48024932404642895,0.029241071428571574,0.55371690060372,0.55371690060372,0.55371690060372,0.55371690060372
flocking_robust_multiflock,4008,0.6517399976053811,0.6517399976053811,1.0,0.569335358321597,0.569335358321597,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6615754829783485,1.6021144200725153,0.9765625,1.6133447999455857,3.711055017455908,4.7619661849712305,0.4316238456132651,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.96875,1.0,0.0,0.0,0.0,0.03125,0.29049164378155484,172.94334414454727,1.1537524580489844,no_change,0.39788557992748474,0.026562500000000044,0.569335358321597,0.569335358321597,0.569335358321597,0.569335358321597
flocking_robust_multiflock,4009,0.6590645594227204,0.6590645594227204,1.0,0.5899310283620085,0.5899310283620085,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6557047937737074,1.5590468873045489,0.98515625,1.6915266483337632,3.702295154671424,4.728178865906028,0.4786451925134691,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.925,1.0,0.0,0.0,0.0,0.075,0.29588160898168514,192.83621101370946,1.133825041120872,no_change,0.4409531126954511,0.03515625,0.5899310283620085,0.5899310283620085,0.5899310283620085,0.5899310283620085
