metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
decision_loss,lower,40,0.3004873674600841,0.3011329753628855,-0.0006456079028014386,-0.001975969594171463,0.0006729588382817784,17,0,23,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9507729975411365,0.9384029926878851,0.012370004853251437,0.009295826845975954,0.01558148289712137,34,0,6,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,40,1.79020113747681,1.7852969259777445,0.004904211499065447,-0.005423728993091313,0.01592902630661984,20,0,20,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9643750000000001,0.9637499999999999,-0.0006250000000000061,-0.0029687500000000005,0.0015624999999999973,9,18,13,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.00828125,1.01421875,-0.005937500000000007,-0.010468749999999999,-0.0014062499999999921,11,8,21,failure_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,40,1.0611057654929934,1.0522695162914326,0.008836249201560833,0.006349199201690238,0.011338420387965535,30,0,10,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,40,0.3004873674600841,0.30082407943731065,-0.00033671197722659474,-0.001415159754361229,0.000714833175917394,18,0,22,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9507729975411365,0.9393067960676523,0.011466201473484306,0.008653072921772503,0.014236960476260047,33,0,7,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,40,1.79020113747681,1.787683808375791,0.002517329101019222,-0.0073493858248009905,0.011597106748411244,25,0,15,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9643750000000001,0.9640625,-0.00031250000000000445,-0.0018750000000000073,0.0012499999999999983,9,21,10,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.00828125,1.01328125,-0.004999999999999999,-0.009218750000000003,-0.00046874999999999554,6,13,21,failure_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,40,1.143204013380604,1.1409227525247134,0.0022812608558905934,-0.0025788659947688863,0.00690828448034494,23,0,17,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,40,0.3788909059177135,0.3771388255827919,0.0017520803349216408,-0.002905385544895959,0.006236483881496027,22,0,18,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,40,0.955391384328613,0.9547299086774019,0.0006614756512111769,-0.0014638871491485987,0.002863071270174177,19,0,21,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
