algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_robust_multiflock,5000,6.336201409716883,0.7217700504754339,0.5047619047619047,6.189733681136701,6.189733681136701,1.0,0.0,0.0,0.0,0.9559748427672956,0.95,0.015476190476190477,159,6.329077075778886,124.80399291711744,0.04732142857142857,1.7715459082264018,3.6348524419979524,5.855371029178802,3.7260879860372618,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.99375,4.01875,0.5077380952380952,0.49226190476190473,0.0,0.0,0.06875,3.1478622964534915,109.45844097592902,0.9445382081903517,persistent_equal_reference,122.80399291711744,0.9026785714285714
flocking_robust_multiflock,5001,6.356866073726951,0.7140343498925094,0.5066964285714286,6.291552136146049,6.291552136146049,1.0,0.0,0.0,0.0,0.9873417721518988,0.975,0.013392857142857142,159,6.357067648009279,122.20687332443515,0.0171875,1.7641382034488209,3.6235052228805764,5.841143434835421,3.682192582046781,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.9875,4.025,0.5066964285714286,0.49252232142857144,0.0,0.0,0.03125,3.110843425862432,111.03730833519921,0.9087923329789191,persistent_equal_reference,120.20687332443515,0.9328124999999999
flocking_robust_multiflock,5002,6.426369521956931,0.6703507763798416,0.5004464285714285,6.354879497232014,6.354879497232014,1.0,0.0,0.0,0.0,0.98125,0.98125,0.003459821428571429,160,6.429505104218462,129.21391340058412,0.01875,1.7675389312732874,3.6492776796864006,5.85236844071086,3.733377147166652,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.00625,1.0,3.99375,0.5013392857142857,0.49787946428571433,0.0,0.0,0.03125,3.132400781776459,136.81171871465494,0.9323236669879407,persistent_equal_reference,127.21391340058412,0.9312499999999999
flocking_robust_multiflock,5003,0.8381701897998497,0.8381701897998497,0.5075892857142857,0.6332738102956164,0.6332738102956164,1.0,0.0,0.0,0.0,0.0,0.0,0.015178571428571427,159,0.8516076488051112,2.417181115230909,0.9609375,1.840894186779872,3.6357734802506174,5.78106412138191,3.6722083986283693,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.9875,0.9875,4.025,0.5075892857142857,0.49241071428571426,0.0,0.0,0.04375,3.121901066372101,173.27202796807168,0.9053654579911381,persistent_equal_reference,0.41718111523090906,0.010937500000000044
flocking_robust_multiflock,5004,6.4701271725343945,0.7699911686378801,0.5040848214285714,6.372676860985413,6.372676860985413,1.0,0.0,0.0,0.0,0.9873417721518988,0.975,0.01720982142857143,160,6.4755761002234,132.26740806870387,0.025,1.9394469697839232,3.636822652540002,5.873065059757966,3.7523971720631346,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.9875,3.99375,0.5082142857142857,0.49100446428571426,0.0,0.0,0.0875,3.13409876585001,159.86622644472274,0.9563249170314521,persistent_equal_reference,130.26740806870387,0.9249999999999999
flocking_robust_multiflock,5005,6.356232703382434,0.7253055332266604,0.5027901785714286,6.298278780021775,6.298278780021775,1.0,0.0,0.0,0.0,0.9874213836477987,0.98125,0.009709821428571427,159,6.3556218092798495,120.88406993065887,0.013750000000000002,1.7854979347907147,3.6241135805925175,5.741091454485163,3.634260067305945,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.0,0.99375,4.00625,0.5044642857142857,0.49475446428571435,0.0,0.0,0.0375,3.116175210136491,163.12305751704125,0.9332079580053687,persistent_equal_reference,118.88406993065887,0.9362499999999999
flocking_robust_multiflock,5006,0.890981989478249,0.7084031644059651,0.5026785714285714,0.6607968825930562,0.6607968825930562,1.0,0.0,0.0,0.0,0.006289308176100629,0.00625,0.007142857142857143,159,0.9071834409198154,3.0016714735021806,0.9334374999999999,1.8862738759121753,3.635090927874876,5.837907052603687,3.7005486098800544,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.99375,4.00625,0.5035714285714286,0.49642857142857144,0.0,0.0,0.025,3.1000333059764267,190.14587743330665,0.9180139999371022,persistent_equal_reference,1.0016714735021806,0.016562500000000036
flocking_robust_multiflock,5007,1.0743118140417367,0.7264957651304147,0.5021205357142857,0.7008181619774136,0.7008181619774136,1.0,0.0,0.0,0.0,0.012578616352201259,0.0125,0.012276785714285714,159,1.0637466933936712,3.3060657076515723,0.9303125,1.9234931781713023,3.6278808798431625,5.821192194270494,3.6614654731484975,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.00625,0.99375,4.0,0.5045758928571429,0.49229910714285713,0.0,0.0,0.05,3.102612989380538,108.38660670622032,0.925239082891494,persistent_equal_reference,1.3060657076515723,0.01968749999999997
flocking_robust_multiflock,5008,6.309591587893397,0.7306117997842374,0.5050223214285714,6.1967678144368445,6.1967678144368445,1.0,0.0,0.0,0.0,0.9622641509433962,0.95625,0.011607142857142856,159,6.3137563971285475,124.6115825094389,0.0296875,1.7410090928609208,3.6259181005524157,5.809388972139038,3.6824193355700077,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.0,0.99375,4.0125,0.5058035714285714,0.49341517857142864,0.0,0.0,0.05,3.122881251559684,134.83169232155615,0.9590772921219468,persistent_equal_reference,122.6115825094389,0.9203125
flocking_robust_multiflock,5009,0.7058451432203902,0.7058451432203902,0.5068080357142857,0.6202072969417033,0.6202072969417033,1.0,0.0,0.0,0.0,0.0,0.0,0.015178571428571427,159,0.7045268361347623,1.842421320485574,0.9662499999999999,1.8295102018191365,3.6335706275208937,5.863968946458625,3.7376371607891072,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.9875,4.0,0.5068080357142857,0.4916294642857143,0.0,0.0,0.0625,3.144171484044561,143.8515150307234,0.9291476658545434,persistent_equal_reference,0.15757867951442606,0.016249999999999987
