scenario,comparison,pairs,left_mean,right_mean,effect_mean,ci95_lower,ci95_upper
stable_control,current_minus_candidate_loss,30,0.9428872461251901,0.2814701203211542,0.661417125804036,0.6471916583294562,0.6763253992427447
stable_control,candidate_minus_observer_regret,30,0.2814701203211542,0.2781022704895355,0.003367849831618664,0.0022356138505326855,0.004558094880300283
failure_only,current_minus_candidate_loss,30,1.1159054534039325,0.32226654272193933,0.7936389106819931,0.7090177172720784,0.9207618341711811
failure_only,candidate_minus_observer_regret,30,0.32226654272193933,0.2932987786137989,0.028967764108140483,0.01945196825434321,0.03916040792163361
partition_only,current_minus_candidate_loss,30,1.0609775722054966,0.38792900271146763,0.6730485694940291,0.6438639468337937,0.7056080641265272
partition_only,candidate_minus_observer_regret,30,0.38792900271146763,0.35898153679504835,0.02894746591641933,0.02088825848627698,0.03761776600786194
asymmetric_partition,current_minus_candidate_loss,30,1.0625331616057165,0.4160066151995329,0.6465265464061833,0.615060312067037,0.6788425807105998
asymmetric_partition,candidate_minus_observer_regret,30,0.4160066151995329,0.37821133120350914,0.03779528399602386,0.02781583348163517,0.0480405379216307
failure_partition,current_minus_candidate_loss,30,1.167340921471077,0.44418267126853905,0.7231582502025382,0.6756471247116327,0.780933854876817
failure_partition,candidate_minus_observer_regret,30,0.44418267126853905,0.3694108935524733,0.0747717777160656,0.05516851176753473,0.0963445086999345
staggered_rejoin,current_minus_candidate_loss,30,0.9953964644259922,0.32161383626038603,0.673782628165606,0.6416140875696172,0.7136877319343198
staggered_rejoin,candidate_minus_observer_regret,30,0.32161383626038603,0.3105871628012087,0.011026673459177277,0.006980197278210108,0.015795272643637774
flapping_reconnect,current_minus_candidate_loss,30,0.9681871709883947,0.3217059192463905,0.646481251742004,0.6309750459072515,0.6633477755264529
flapping_reconnect,candidate_minus_observer_regret,30,0.3217059192463905,0.30873271992296236,0.012973199323428124,0.00860968800235424,0.017728489061938007
false_split_dropout,current_minus_candidate_loss,30,1.0074540030742896,0.28721306759211085,0.7202409354821787,0.7023707065741897,0.7387170659930827
false_split_dropout,candidate_minus_observer_regret,30,0.28721306759211085,0.28360447673223466,0.0036085908598762224,0.0017271406132101652,0.005829036650786483
unmodelled_count,current_minus_candidate_loss,30,0.6444552961295673,0.8947679190666605,-0.2503126229370933,-0.26976029028208265,-0.23160328793978927
unmodelled_offset,current_minus_candidate_loss,30,0.947298764150924,0.9925530245291277,-0.04525426037820373,-0.0598582459543151,-0.030412331824754897
failure_only,candidate_stable_minus_dynamic_transfer,30,0.2814701203211542,0.32226654272193933,-0.0407964224007851,-0.05101489248932029,-0.030813577063576344
partition_only,candidate_stable_minus_dynamic_transfer,30,0.2814701203211542,0.38792900271146763,-0.10645888239031341,-0.1258406271803632,-0.08888565214256662
asymmetric_partition,candidate_stable_minus_dynamic_transfer,30,0.2814701203211542,0.4160066151995329,-0.13453649487837877,-0.15774237491548432,-0.1127676774958771
failure_partition,candidate_stable_minus_dynamic_transfer,30,0.2814701203211542,0.44418267126853905,-0.1627125509473847,-0.18549643823406828,-0.13954807668873825
staggered_rejoin,candidate_stable_minus_dynamic_transfer,30,0.2814701203211542,0.32161383626038603,-0.04014371593923176,-0.04570492054372422,-0.03474056091655426
flapping_reconnect,candidate_stable_minus_dynamic_transfer,30,0.2814701203211542,0.3217059192463905,-0.040235798925236245,-0.04784433988828594,-0.03283179833746106
false_split_dropout,candidate_stable_minus_dynamic_transfer,30,0.2814701203211542,0.28721306759211085,-0.005742947270956633,-0.008873264330167118,-0.0030045802819467344
