scenario,candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper
source_assignment_competition,decentralized_negotiated,centralized_trust,planner_conflict_rate,lower,40,0.0,0.012532552083333332,-0.012532552083333332,-0.014384677269345239,-0.010669773065476191
source_assignment_competition,decentralized_negotiated,centralized_trust,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
source_assignment_competition,decentralized_negotiated,decentralized_no_negotiation,integrated_loss,lower,40,1.8148001489322518,1.8141717458190392,0.0006284031132128554,-0.004474872009512683,0.005752127007654841
source_assignment_competition,decentralized_negotiated,decentralized_no_negotiation,movement_per_step,lower,40,0.9768990351958958,0.9755911956222537,0.0013078395736421083,-0.0018669010440466255,0.004423156278938587
source_assignment_competition,decentralized_negotiated,decentralized_no_negotiation,planner_conflict_rate,lower,40,0.019401041666666667,0.012532552083333332,0.006868489583333334,0.00530678478422619,0.008515141369047617
source_assignment_competition,decentralized_negotiated,decentralized_no_negotiation,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,centralized_trust,integrated_loss,lower,40,1.2124101497398947,1.2124101497398947,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,centralized_trust,movement_per_step,lower,40,1.1701841601080225,1.1701841601080225,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,centralized_trust,planner_conflict_rate,lower,40,0.0,0.0,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,centralized_trust,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,decentralized_no_negotiation,integrated_loss,lower,40,1.2124101497398947,1.2124101497398947,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,decentralized_no_negotiation,movement_per_step,lower,40,1.1701841601080225,1.1701841601080225,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,decentralized_no_negotiation,planner_conflict_rate,lower,40,0.0,0.0,0.0,0.0,0.0
genuine_target_maneuver,decentralized_negotiated,decentralized_no_negotiation,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
raw_channel_colluding_ramp,decentralized_negotiated,centralized_trust,integrated_loss,lower,40,1.2130511220913036,1.211678724603936,0.001372397487367355,-0.0030553063587323453,0.005269645078076582
raw_channel_colluding_ramp,decentralized_negotiated,centralized_trust,movement_per_step,lower,40,0.982044743587619,0.9684972339382879,0.013547509649330908,0.010116451793666175,0.016991207113977197
raw_channel_colluding_ramp,decentralized_negotiated,centralized_trust,planner_conflict_rate,lower,40,0.0,0.010442708333333332,-0.010442708333333332,-0.0126796875,-0.008244596354166666
raw_channel_colluding_ramp,decentralized_negotiated,centralized_trust,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
raw_channel_colluding_ramp,decentralized_negotiated,decentralized_no_negotiation,integrated_loss,lower,40,1.2123903588729625,1.211678724603936,0.0007116342690263761,-0.002890948274879461,0.00415856650700207
raw_channel_colluding_ramp,decentralized_negotiated,decentralized_no_negotiation,movement_per_step,lower,40,0.9706689254148625,0.9684972339382879,0.002171691476574575,-0.0007424034570329996,0.005223048838629128
raw_channel_colluding_ramp,decentralized_negotiated,decentralized_no_negotiation,planner_conflict_rate,lower,40,0.033429687500000006,0.010442708333333332,0.022986979166666664,0.01912200520833333,0.026966145833333333
raw_channel_colluding_ramp,decentralized_negotiated,decentralized_no_negotiation,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
raw_attack_then_honest_recovery,decentralized_negotiated,centralized_trust,integrated_loss,lower,40,1.2009126295144426,1.1970092939017583,0.00390333561268425,-0.0011498933901825622,0.008124253242022338
raw_attack_then_honest_recovery,decentralized_negotiated,centralized_trust,movement_per_step,lower,40,0.98953034304979,0.9770603280710539,0.012470014978736062,0.008587354823100536,0.016548139005357815
raw_attack_then_honest_recovery,decentralized_negotiated,centralized_trust,planner_conflict_rate,lower,40,0.0,0.010442708333333332,-0.010442708333333332,-0.0127111328125,-0.0081796875
raw_attack_then_honest_recovery,decentralized_negotiated,centralized_trust,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
raw_attack_then_honest_recovery,decentralized_negotiated,decentralized_no_negotiation,integrated_loss,lower,40,1.199036973995773,1.1970092939017583,0.0020276800940144334,-0.0010309593922496812,0.005137634030216518
raw_attack_then_honest_recovery,decentralized_negotiated,decentralized_no_negotiation,movement_per_step,lower,40,0.9796427998743191,0.9770603280710539,0.0025824718032649934,-0.000405347194499141,0.005360434355986428
raw_attack_then_honest_recovery,decentralized_negotiated,decentralized_no_negotiation,planner_conflict_rate,lower,40,0.033429687500000006,0.010442708333333332,0.022986979166666664,0.01914837239583333,0.026976562500000002
raw_attack_then_honest_recovery,decentralized_negotiated,decentralized_no_negotiation,mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0
