algorithm,seed,position_rmse,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_fixed_momentum,2000,0.7684382313126639,0.737617025800617,2.0307590619034155,0.93203125,1.807218487061632,3.714531253743819,4.763569413058187,0.4125148148125314,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9785654582083225,no_change,0.030759061903415486,0.017968749999999978
flocking_fixed_momentum,2001,0.6826322035201877,0.6995158803799135,1.8488774687406564,0.97265625,1.6828100088696227,3.723670609746968,4.778895256756036,0.36277070834376446,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9723567080218345,no_change,0.1511225312593436,0.022656250000000044
flocking_fixed_momentum,2002,0.6198877694520356,0.6262420338389925,1.4967154277291859,0.9859375,1.574370157986961,3.7225478596813972,4.770367434679045,0.3351818245717753,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.953333375044167,no_change,0.5032845722708141,0.03593750000000007
flocking_fixed_momentum,2003,0.6519000240563251,0.6644769398644379,1.6225137016966986,0.98828125,1.6155186477071304,3.6915997443590314,4.741746346575936,0.447248258788405,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9513167089316994,no_change,0.3774862983033014,0.038281250000000044
flocking_fixed_momentum,2004,0.6969300064490864,0.6968853884710848,1.8562218793804015,0.94453125,1.6817964650992496,3.72097125803928,4.772628906899989,0.3356870074380837,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9689102079719305,no_change,0.1437781206195985,0.005468749999999911
flocking_fixed_momentum,2005,0.6138926905261641,0.6480096587246291,1.5739444001390688,0.97578125,1.7153632564594812,3.7088978542308686,4.7573568864588704,0.4190115351101776,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9548762920312583,no_change,0.4260555998609312,0.02578125000000009
flocking_fixed_momentum,2006,0.6954110874715157,0.7142703107453446,1.8926280446797914,0.96875,1.7957468207360072,3.6993561176924707,4.788359023774116,0.3976524828001819,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9579377910122275,no_change,0.1073719553202086,0.018750000000000044
flocking_fixed_momentum,2007,0.6521709041515225,0.6619838856631284,1.6313705852633027,0.96640625,1.7454473769894379,3.7170607138999814,4.754183913991582,0.3932440186988333,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9587856668513268,no_change,0.3686294147366973,0.016406250000000067
flocking_fixed_momentum,2008,0.6072984808419271,0.6198403627006662,1.4788204581321076,0.9859375,1.5988631427555309,3.729469362767536,4.784734432239994,0.3251438968259127,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9785468340851367,no_change,0.5211795418678924,0.03593750000000007
flocking_fixed_momentum,2009,0.7066620743276423,0.696062346353976,1.8723454231541994,0.95546875,1.689502844353072,3.7252674146602347,4.775978902056807,0.34669636724634734,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9343802500516176,no_change,0.12765457684580062,0.005468750000000022
flocking_fixed_momentum,2010,0.6802012359871488,0.7008243965830938,1.8392412272691108,0.95,1.7996810829963235,3.6988187750092734,4.928408990675729,0.22882359037424163,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9308463749475777,no_change,0.16075877273088923,0.0
flocking_fixed_momentum,2011,0.6578128992735396,0.652269319080993,1.591700426498487,0.975,1.6648650807953964,3.713216367095879,4.7885851612105,0.40043092770888755,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9430067499633878,no_change,0.4082995735015129,0.025000000000000022
flocking_fixed_momentum,2012,0.6503018798573701,0.650640004704992,1.5868359266609988,0.98671875,1.6171255031626042,3.7205444516089843,4.795683520470209,0.34102489132591496,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9843245840165764,no_change,0.4131640733390012,0.03671875000000002
flocking_fixed_momentum,2013,0.6259815295519552,0.6387020472740246,1.56162532801691,0.96875,1.6164940668919843,3.7296804274248077,4.785869683012076,0.3671372995331902,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9492103750817478,no_change,0.4383746719830901,0.018750000000000044
flocking_fixed_momentum,2014,0.664993452727545,0.6567079814105451,1.5879716173761493,0.98515625,1.6207725531163502,3.6972441866325356,4.7736944253527245,0.4536363020229528,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9508890421129763,no_change,0.41202838262385066,0.03515625
flocking_fixed_momentum,2015,0.6607394289971528,0.6458068876025786,1.609176252785106,0.98046875,1.6165299078412925,3.734798786339185,4.775422017968497,0.3150450679171998,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9568160830531269,no_change,0.3908237472148941,0.030468750000000044
flocking_fixed_momentum,2016,0.6355994825954557,0.6644028573556016,1.7011010534844857,0.97734375,1.6621283139454264,3.726569494596931,4.776813759326356,0.3405652985567235,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9736154170241207,no_change,0.2988989465155143,0.02734375
flocking_fixed_momentum,2017,0.6869920825932472,0.7034594448208666,1.8173368525844438,0.9671875,1.7915911118463779,3.6966289462502075,4.907899639307425,0.26944286157002106,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9641258749179542,no_change,0.18266314741555623,0.017187500000000022
flocking_fixed_momentum,2018,0.75210717827902,0.721660097884839,1.967881749121301,0.94296875,1.7779752826333681,3.7099649955556986,4.7691432301551036,0.4413811401708861,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.960456624859944,no_change,0.03211825087869902,0.007031249999999933
flocking_fixed_momentum,2019,0.6934622965136258,0.6926064216992743,1.8068179864760219,0.9734375,1.7612395767872144,3.731157627018173,4.788989763693789,0.3415803740736716,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9549049590714276,no_change,0.19318201352397812,0.0234375
flocking_fixed_momentum,2020,0.6848239411173697,0.6842245822464905,1.8460567890401767,0.95703125,1.7086285868948061,3.733384015464739,4.75376608264415,0.34530965957114085,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9655961249954998,no_change,0.15394321095982333,0.007031250000000044
flocking_fixed_momentum,2021,0.6449864787986994,0.6482383729606608,1.6152273222464537,0.97421875,1.5956542986065974,3.7256095381243086,4.769288573183769,0.3647416148463436,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9512667919043452,no_change,0.3847726777535463,0.024218750000000067
flocking_fixed_momentum,2022,0.6372754972113943,0.6514882931090279,1.6428827309343668,0.9671875,1.6504455448223745,3.7344039212902715,4.751214208165561,0.2781745945807759,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9483350841328502,no_change,0.35711726906563324,0.017187500000000022
flocking_fixed_momentum,2023,0.6358188047493,0.6578322340595225,1.63295630532682,0.98125,1.6464005591900517,3.7263930259962352,4.775998249719189,0.3842988790079291,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9597756250295788,no_change,0.3670436946731801,0.03125
flocking_fixed_momentum,2024,0.6531243553433638,0.6637677214480507,1.6795885677971214,0.9609375,1.6138404203097416,3.7249743256295504,4.8119545010692395,0.24980657810639267,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9578652910422534,no_change,0.3204114322028786,0.010937500000000044
flocking_fixed_momentum,2025,0.6219773714826149,0.6295319424119834,1.4626226809060003,0.99375,1.6227027930348314,3.707109944745111,4.8806950858562725,0.24222630794797556,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9482992079574615,no_change,0.5373773190939997,0.04375000000000007
flocking_fixed_momentum,2026,0.6637540794247976,0.6578479263316238,1.608624960697836,0.97890625,1.6716287045615388,3.713702830702919,4.770709996742566,0.3977038212400098,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9477924578823149,no_change,0.391375039302164,0.028906250000000022
flocking_fixed_momentum,2027,0.640858408083611,0.6624843049565347,1.595830706279942,0.97109375,1.6199256069484769,3.701131268459288,4.767381491920392,0.46107016289726965,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9513014168478549,no_change,0.40416929372005805,0.021093750000000022
flocking_fixed_momentum,2028,0.6127452527242039,0.6215552740322594,1.483896542762874,0.99375,1.5879962849269105,3.732880663474687,4.7577491640673575,0.3330222074234343,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9625984588637948,no_change,0.5161034572371259,0.04375000000000007
flocking_fixed_momentum,2029,0.6548169207305713,0.6556990152417155,1.6568873552192787,0.97265625,1.7149874881186782,3.728558252794552,4.7665425945230435,0.3537907229445012,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9441600840073079,no_change,0.34311264478072134,0.022656250000000044
flocking_fixed_momentum,2030,0.6245088180890834,0.6437577866125596,1.5481951660111668,0.98359375,1.6431929714193765,3.7339570584892927,4.768705907865903,0.3397195863837409,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9500655417796224,no_change,0.4518048339888332,0.03359375000000009
flocking_fixed_momentum,2031,0.6262620652106801,0.6544516387941719,1.6243901630236663,0.97734375,1.6844218987646946,3.7291321648315767,4.774298648680466,0.3445871454110876,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9480038748588413,no_change,0.37560983697633366,0.02734375
flocking_fixed_momentum,2032,0.6326705573787498,0.6519345782205164,1.574341914609205,0.98984375,1.6812240911384932,3.7177532504068567,4.770507518726125,0.41310643539502756,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9616987081244588,no_change,0.42565808539079497,0.03984375000000007
flocking_fixed_momentum,2033,0.6294625933731656,0.6487822255218139,1.638069523652355,0.96640625,1.6723269307478312,3.727280040465735,4.767510259454032,0.3654886496694589,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9767476248089224,no_change,0.36193047634764497,0.016406250000000067
flocking_fixed_momentum,2034,0.6867032431300489,0.6868940591641826,1.7853262566974462,0.96484375,1.7028436819014439,3.726391197439024,4.770167425181386,0.3638474751169726,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9513981658965349,no_change,0.21467374330255384,0.014843750000000044
flocking_fixed_momentum,2035,0.6933556918429099,0.6810140803995257,1.8012058593900768,0.96796875,1.7389220100712486,3.7282715291468045,4.766126592321402,0.36155566652682436,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,0.9559130838606507,no_change,0.19879414060992318,0.01796875000000009
