scenario,algorithm,runs,position_rmse_mean,position_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std,mean_momentum_change_score_mean,mean_momentum_change_score_std,mean_momentum_corroborating_agents_mean,mean_momentum_corroborating_agents_std,mean_momentum_biased_agents_mean,mean_momentum_biased_agents_std,momentum_fallback_rate_mean,momentum_fallback_rate_std,momentum_change_events_mean,momentum_change_events_std
no_change,flocking_fixed_momentum,100,0.6566950616028562,0.03873194902237232,0.6644345523190844,0.029086810062708794,,,3.719501894479512,0.01241261931448432,0.3330337820252353,0.14449474696777195,0.02325781250000004,0.010892684413424862,0.36920938456536523,0.05450503734484754,0.9703251007967628,0.018102191981728636,737280.0,0.0,1.668440160891461,0.14784554427385377,0.9719609374999999,0.01331516579456368,1.675686519332074,0.06452826843325629,4.775579528397304,0.030597322992232917,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_change,flocking_guarded_momentum,100,0.6562218515518287,0.03793586230922177,0.6641825405671057,0.028699137440093857,,,3.719492592678651,0.012434196401246461,0.3341535737328815,0.14246905213443706,0.02318750000000004,0.010991429544763507,0.3692335004184757,0.05471383671197319,1.0131657428806649,0.015242036242739163,737280.0,0.0,1.6673203691838145,0.14587770526899535,0.97203125,0.013156584021888053,1.6754923024037063,0.06393340093538202,4.7756637703223115,0.03078901820265753,3840.0,0.0,0.719895,0.0004156019730463121,0.10146060269695732,0.012317212444442057,0.9449374999999999,0.10010422303154848,0.0,0.0,0.9992500000000001,0.0029685855217594687,0.06,0.2374868417407583
no_change,flocking_adaptive_momentum,100,0.6498946649536101,0.04026091351537255,0.6561525048271949,0.03133822370611671,,,3.7344771035364333,0.004788994677224291,0.3310921388397864,0.1513898694741334,0.023507812500000034,0.010410340201235926,0.32349067343382243,0.019517511618668756,1.0162510225037114,0.014976942326711975,737280.0,0.0,1.671957597933644,0.15788945318619152,0.9730859375,0.011315119150354483,1.6772767311463699,0.06763752680707207,4.765776176408401,0.016271138985027873,3840.0,0.0,0.8537875978574079,0.0057024918879148975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt_change,flocking_fixed_momentum,100,0.6682852326458948,0.039136445713342405,0.684164453535956,0.03007549908187553,1.49,1.6702993743637693,3.6942722020412266,0.015343181887077485,0.27011960086406916,0.1408951531284986,0.01683593750000003,0.010210417450414008,0.42999743816598696,0.0394543438872304,1.0160831241472623,0.012472149901705492,737280.0,0.0,1.7345609705592024,0.14952646787640841,0.9645546875,0.013261315462387912,1.748578136011316,0.06944394971691482,4.773648571262374,0.02718071242539644,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt_change,flocking_guarded_momentum,100,0.666770044365046,0.040988754196972066,0.6831466238728119,0.03196082138232862,1.43,1.704435390385919,3.69384200818065,0.015880857483127953,0.2791767669953991,0.14385216768913345,0.01796093750000003,0.009947674994337562,0.43072218141352986,0.04058141320660223,1.0433717858907767,0.03495120795740601,737280.0,0.0,1.7285482828503327,0.15794644230042937,0.9648515625,0.014176833390446144,1.7468224637953618,0.07013411066196965,4.7745087121588226,0.028925888597751897,3840.0,0.0,0.7189674999999996,0.0008955829107346892,0.10905658924357618,0.01202757631027726,1.010375,0.09678915551341483,0.0,0.0,0.992625,0.006397020790961972,0.59,0.5117616632769594
abrupt_change,flocking_adaptive_momentum,100,0.6636158139361626,0.041357110774772575,0.6754189649199531,0.03202122864849274,1.06,1.6900887550658397,3.717728573314582,0.01435745688245436,0.27164885727581284,0.14932668039596772,0.018648437500000038,0.01132766971067832,0.34774525440177007,0.02914130062594277,1.022051035396289,0.01370191409773289,737280.0,0.0,1.7384378908969245,0.16636352430411286,0.9667578125,0.013973404827760086,1.7435149811388504,0.07790062984834804,4.766796628217881,0.017376005171936975,3840.0,0.0,0.8480517226592588,0.006541811314404776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual_change,flocking_fixed_momentum,100,0.6558268953770967,0.037438719387422596,0.6690960273047295,0.028178238993601806,0.28,0.44899888641287283,3.7007357129453284,0.014187972650071176,0.3366295318837698,0.13344095743796297,0.022203125000000042,0.009610442013930744,0.42093530980938854,0.042201864186430835,1.0033748929109425,0.014352660611511336,737280.0,0.0,1.6660942545524355,0.14011739369311998,0.971375,0.011333522421063544,1.691593981352753,0.0620881467339632,4.773640491393305,0.02886759426227962,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual_change,flocking_guarded_momentum,100,0.6567608306663776,0.038400333327797534,0.669565633267289,0.028753589216824676,0.28,0.44899888641287283,3.700687404071485,0.01416576248220573,0.3365216745280922,0.13137741577374681,0.022289062500000036,0.009398054335497799,0.4210476499685981,0.042106336060200124,0.9959955845493823,0.010810452331491428,737280.0,0.0,1.668717645419279,0.1440793682177728,0.9712265625000001,0.011599947278133158,1.6919154897153037,0.06248156592175617,4.773719641835782,0.028916844022145817,3840.0,0.0,0.7198774999999997,0.0005105083251035132,0.10124539042249013,0.011201918514948365,0.950375,0.09006863702199562,0.0,0.0,0.9991249999999999,0.0036464880364536992,0.07,0.2917190429162964
gradual_change,flocking_adaptive_momentum,100,0.6597886214639036,0.035413279087618404,0.6656483677180137,0.02783442723241339,0.4,0.8602325267042624,3.724576340613338,0.0119460313591675,0.3031240582788983,0.136936854097367,0.022179687500000038,0.009914117907646593,0.34159092649539774,0.028078772744377048,0.9834664703672752,0.017574640889949936,737280.0,0.0,1.6993086331348894,0.14219915122933752,0.9713359374999999,0.01161921006267073,1.7017522614905642,0.06596903078022164,4.763610851156529,0.02096161851048056,3840.0,0.0,0.8518224875877334,0.0055719565319621535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_changes,flocking_fixed_momentum,100,0.6904153060080976,0.04205714431251777,0.7043456618244694,0.03866413906897803,1.02,1.224581561187331,3.71162877970833,0.01561433769855174,0.1862933185431877,0.13142284063563087,0.014992187500000002,0.010245816004861144,0.3896776476426592,0.046187844878008685,0.9701711395313032,0.012591456382483341,737280.0,0.0,1.8726534150993033,0.1891031752475393,0.9549140625,0.01748125914763346,1.8619990078779287,0.11415053133166107,4.773743687509388,0.025831650959598808,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_changes,flocking_guarded_momentum,100,0.6929237002910317,0.045169081744987266,0.7060993845027147,0.04068040218680415,0.96,1.2403225386970922,3.711421129051059,0.01569629817276889,0.1925215813980882,0.13067885554053218,0.015242187500000006,0.01033348657637967,0.3896258831277793,0.04561759825857393,0.9797996241413057,0.018951824254728626,737280.0,0.0,1.882535907542225,0.20085743594020905,0.9547421875000001,0.0177937315458062,1.8636697260020538,0.11555197936711631,4.773241664903577,0.022980608858998403,3840.0,0.0,0.7183025,0.0017752799075075331,0.13291328077317072,0.015917954252731698,1.1884375,0.12691463358789637,0.0,0.0,0.9878750000000001,0.012680570767911042,0.97,1.0144456614328834
repeated_changes,flocking_adaptive_momentum,100,0.6884050880488876,0.04620782606028472,0.6989002976892977,0.04103735797954195,1.04,0.9991996797437436,3.7227621144175083,0.009829650446829413,0.1971988176324707,0.14138206224532615,0.01707812500000001,0.011836914666758604,0.3479056338406407,0.024904645379843167,0.9859285312402062,0.021013605576818653,737280.0,0.0,1.8748503086571562,0.20787933027883426,0.956109375,0.019860776406100664,1.8670353416628354,0.12129713007971826,4.766209509231041,0.014014888294829823,3840.0,0.0,0.8377002931814569,0.010176051691057389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_dropout,flocking_fixed_momentum,100,0.6844194013618291,0.041097746138025214,0.7020451723310275,0.03353394059715485,1.34,1.5761979571107176,3.704249004652956,0.018128608855626477,0.2521856095117083,0.1448124399585181,0.01791406250000003,0.010329209355897907,0.49405204612355663,0.030588838401611893,0.9024894037330523,0.02927035732705909,626444.16,4195.61561328013,1.7617513038523953,0.16675066175430167,0.9642265624999999,0.015007035703478179,1.74615080513186,0.07406666746697779,4.543003240369814,0.021462789321203605,3262.73,21.852164652500676,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_dropout,flocking_guarded_momentum,100,0.6823301769262444,0.039945278138283254,0.7014375722473963,0.032908810497576865,1.34,1.5761979571107179,3.703697475867536,0.019129224043958473,0.2530468677726115,0.1483414890972715,0.017914062500000036,0.010336888183792008,0.4943718742505617,0.030442956599318054,0.9071210321318358,0.03434747221490048,626290.56,4209.510129029268,1.7565097788609152,0.16355557736367515,0.9651015625000001,0.01413179757273358,1.74305085400612,0.07419618127192135,4.543393373632159,0.020657393536215155,3261.93,21.924531922027434,0.7192824999999998,0.0008607082839150701,0.091107757881617,0.009931464663486912,0.789875,0.07983273529699454,0.0,0.0,0.9948749999999998,0.006147916313678947,0.41,0.4918333050943175
mixed_dropout,flocking_adaptive_momentum,100,0.6750447928518812,0.043646043676901676,0.6925051863523097,0.03459110028460585,1.35,1.6575584454250776,3.727436513556892,0.019105073033957223,0.26560690559191213,0.14811201237869606,0.017875000000000033,0.00960288144419425,0.4292901543376902,0.027673461653945724,0.8796082270331681,0.03454068376137813,626595.84,3963.903123740539,1.7456688805927953,0.16673295478116024,0.9653281249999999,0.01329584675812808,1.744150572826552,0.07541752674066741,4.5559382720840995,0.0276752443202503,3263.52,20.64532876948197,0.8625116215493458,0.0049303687169040995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication_delay,flocking_fixed_momentum,100,2.4351134706411246,0.429862112345528,2.9739992674278612,0.4364390934341742,16.87,7.281009545385858,3.614743204129651,0.056910534496869926,27.16701857136923,6.858934990620689,0.6845624999999999,0.04704722527684284,1.2497225845845028,0.12183494831342404,0.9699661133694463,0.016542633712942494,737280.0,0.0,29.16701857136923,6.858934990620689,0.26543750000000005,0.04704722527684284,5.623508827566422,1.0271927968070442,4.107604848402411,0.35477201276156173,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication_delay,flocking_guarded_momentum,100,2.4351134706411246,0.429862112345528,2.9739992674278612,0.4364390934341742,16.87,7.281009545385858,3.614743204129651,0.056910534496869926,27.16701857136923,6.858934990620689,0.6845624999999999,0.04704722527684284,1.2497225845845028,0.12183494831342404,0.9720434554340318,0.014596276736414348,737280.0,0.0,29.16701857136923,6.858934990620689,0.26543750000000005,0.04704722527684284,5.623508827566422,1.0271927968070442,4.107604848402411,0.35477201276156173,3840.0,0.0,0.7199999999999999,0.0,0.44304839720442757,0.05787096018930367,3.5479374999999997,0.39325668998600644,0.15506250000000002,0.18955065080012257,1.0,0.0,0.0,0.0
communication_delay,flocking_adaptive_momentum,100,2.507480834999064,0.42853382414917734,3.1221637505186526,0.5162496706423643,23.21,7.0728989813230045,3.512203949656697,0.10222789651174946,26.427364344502426,5.826625398535066,0.6688124999999998,0.04259348633447374,1.3039797791590038,0.19271763871049274,0.9680618067225442,0.015192345561265507,737280.0,0.0,28.42736434450243,5.826625398535066,0.2811875,0.042593486334473726,5.492190267362717,0.7918839665999061,4.407759369005546,0.25257767840620493,3840.0,0.0,0.6105510266847071,0.037772907680297216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biased_agents,flocking_fixed_momentum,100,1.1851228018179412,0.27183250756187516,1.2153219564200943,0.29297106350497115,1.38,2.18073382144635,3.686830963607704,0.019178625051431728,3.6179780456806725,3.0928146954927076,0.16610937499999995,0.12492022747506457,0.6845594753587124,0.14472563514875425,0.9778117912379094,0.016483682316884244,737280.0,0.0,5.617978045680672,3.0928146954927076,0.7838906250000001,0.12492022747506457,4.168596852474695,0.6090173205896096,4.851067757082566,0.04943991945090302,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biased_agents,flocking_guarded_momentum,100,1.1941660221111372,0.28151414041859185,1.2257642045599733,0.3044076876464668,1.26,1.3972830779766854,3.6868133497110525,0.019328281829667587,3.7523346770796,3.282764630755925,0.16848437499999996,0.1265682975138201,0.6803271281649012,0.14245608260701323,0.9915917017427273,0.019284273648643557,737280.0,0.0,5.752334677079599,3.282764630755925,0.7815156250000002,0.1265682975138201,4.1666578270091215,0.594461980532567,4.850900872050316,0.04928411488156016,3840.0,0.0,0.7191424999999998,0.0007921529208429527,0.19346636466457034,0.06448194480439884,1.2713124999999998,0.33968516558535494,2.0675624999999997,0.5083526511869,0.9938750000000002,0.0056582351488781175,0.58,0.4935585071701227
biased_agents,flocking_adaptive_momentum,100,1.2351291165997798,0.18055714739192957,1.2757845033924082,0.18455209674918402,1.24,2.623432865540874,3.676639287581969,0.02482809559229752,3.980138365432771,1.878930310684887,0.16905468749999994,0.06811558268840155,0.570515657676187,0.09299184661169724,0.9600153337605297,0.04370773995095891,737280.0,0.0,5.98013836543277,1.8789303106848867,0.7809453125,0.06811558268840154,4.218677269814852,0.36068771733021365,5.127911587676985,0.08839450749988986,3840.0,0.0,0.67896530928363,0.02142285724918083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
