scenario,algorithm,runs,position_rmse_mean,position_rmse_std,best_hypothesis_rmse_mean,best_hypothesis_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_truth_consistent_flock_weight_mean,mean_truth_consistent_flock_weight_std,decision_loss_mean,decision_loss_std,mean_decision_base_error_mean,mean_decision_base_error_std,selection_rate_mean,selection_rate_std,mixture_rate_mean,mixture_rate_std,abstention_rate_mean,abstention_rate_std,investigation_rate_mean,investigation_rate_std,wrong_mode_rate_mean,wrong_mode_rate_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_output_confidence_mean,mean_output_confidence_std,ambiguity_resolution_steps_mean,ambiguity_resolution_steps_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std,mean_momentum_change_score_mean,mean_momentum_change_score_std,mean_momentum_corroborating_agents_mean,mean_momentum_corroborating_agents_std,mean_momentum_biased_agents_mean,mean_momentum_biased_agents_std,momentum_fallback_rate_mean,momentum_fallback_rate_std,momentum_change_events_mean,momentum_change_events_std,mean_hypothesis_flocks_mean,mean_hypothesis_flocks_std,multiflock_rate_mean,multiflock_rate_std,mean_primary_flock_size_mean,mean_primary_flock_size_std,mean_primary_flock_weight_mean,mean_primary_flock_weight_std,mean_alternative_flock_weight_mean,mean_alternative_flock_weight_std,mean_quarantined_agents_mean,mean_quarantined_agents_std,quarantine_rate_mean,quarantine_rate_std,mean_suspected_bias_agents_mean,mean_suspected_bias_agents_std,mean_bias_estimate_norm_mean,mean_bias_estimate_norm_std,mean_operational_agents_mean,mean_operational_agents_std,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_message_age_mean,mean_message_age_std,partition_active_rate_mean,partition_active_rate_std,movement_distance_mean,movement_distance_std
persistent_equal_reference,flocking_robust_multiflock,12,3.6005910332848656,2.7682928957576687,0.6877280796024291,0.029786278207656416,3.607390609206531,2.76221060401869,,,3.63084017298014,0.01612148855032637,62.82507364948372,62.39343999074378,0.47143849206349214,0.4540861315406237,3.692682250912305,0.04454544622734405,0.8912454548408277,0.014458680024037008,737280.0,0.0,0.5047005208333333,0.002054348858352693,3.4582194298917446,2.8255361170661426,3.4582194298917446,2.8255361170661426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49212123526152035,0.48593231929481084,0.4880208333333332,0.48188849914439635,0.012120535714285716,0.004833237921112858,159.16666666666666,0.3726779962499649,64.7357407265818,62.4832623062265,0.4954092261904763,0.4709519030897808,1.7742514350178702,0.07151485486004197,5.8095929392678025,0.03792212662852396,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995833333333333,0.0038975597778895385,0.9921875000000001,0.004510548978043958,4.010416666666667,0.008202091535428955,0.5058649553571427,0.0024037308773584305,0.4936142113095238,0.0025661142862452553,0.0,0.0,0.0,0.0,0.049479166666666664,0.02372508744568828,3.1104922007379883,0.020290206518256894,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,152.2650015228026,11.021492115266382
persistent_equal_reference,flocking_robust_temporal,12,3.5394248397315846,2.6466613284335225,0.6877280796024291,0.029786278207656416,3.5483488108085233,2.637856966634399,,,3.63084017298014,0.01612148855032637,58.197498010679446,59.18541800609377,0.4432142857142857,0.4368957343209293,3.692682250912305,0.04454544622734405,0.8844287428849688,0.014105240940527558,737280.0,0.0,0.5047005208333333,0.002054348858352693,3.2923241638962355,2.720387567622503,3.2923241638962355,2.720387567622503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4624143521441269,0.46643919515213755,0.45937500000000003,0.4636282690636972,0.012120535714285716,0.004833237921112858,159.16666666666666,0.3726779962499649,60.015140587896845,59.3641806296158,0.5227529761904762,0.4525226694597219,1.7742514350178702,0.07151485486004197,5.8095929392678025,0.03792212662852396,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995833333333333,0.0038975597778895385,0.9921875000000001,0.004510548978043958,4.010416666666667,0.008202091535428955,0.5058649553571427,0.0024037308773584305,0.4936142113095238,0.0025661142862452553,0.0,0.0,0.0,0.0,0.049479166666666664,0.02372508744568828,3.1104922007379883,0.020290206518256894,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,152.2650015228026,11.021492115266382
persistent_equal_reference,flocking_robust_active_no_investigation,12,3.2495574779088474,0.0795434633903188,0.6877280796024291,0.029786278207656416,0.8672851201163164,0.13976270015949394,,,3.63084017298014,0.01612148855032637,0.30593277605665037,0.21480907822503115,0.017011408730158783,0.012067146225859113,3.692682250912305,0.04454544622734405,0.8784716980104955,0.011120961887426072,737280.0,0.0,0.5047005208333333,0.002054348858352693,1.3692913975926135,0.035090519194043567,0.6312705642592801,0.03521479588968441,0.022916666666666665,0.006421264586426017,0.0,0.0,0.9770833333333333,0.00642126458642601,0.05208333333333334,0.0038975597778895216,0.5638888888888889,0.4099363847064235,0.008854166666666668,0.0059612099699268735,0.012120535714285716,0.004833237921112858,159.16666666666666,0.3726779962499649,2.1235753532740436,0.3527987182754657,0.9649404761904762,0.014552876561786691,1.7742514350178702,0.07151485486004197,5.8095929392678025,0.03792212662852396,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995833333333333,0.0038975597778895385,0.9921875000000001,0.004510548978043958,4.010416666666667,0.008202091535428955,0.5058649553571427,0.0024037308773584305,0.4936142113095238,0.0025661142862452553,0.0,0.0,0.0,0.0,0.049479166666666664,0.02372508744568828,3.1104922007379883,0.020290206518256894,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,152.2650015228026,11.021492115266382
persistent_equal_reference,flocking_robust_active,12,3.2482267802522187,0.07353485627802775,0.6946609646274445,0.03494234600126557,0.8733555911073201,0.1389955561392671,,,3.6339328591619893,0.017698377541530034,0.3356815179011232,0.20769360232829304,0.0180146329365079,0.012517949747981743,3.705839816447632,0.04591257543624864,0.8766972533970451,0.015633821954874467,737280.0,0.0,0.5053050595238094,0.002173128609520081,1.3714542577670323,0.04108660358163833,0.6334334244336988,0.040543682740306036,0.022916666666666665,0.00736569563735987,0.0,0.0,0.9770833333333332,0.007365695637359856,0.05208333333333334,0.0038975597778895216,0.5527777777777777,0.41776706546549874,0.008854166666666668,0.0059612099699268735,0.012427455357142854,0.005131073910347954,159.16666666666666,0.3726779962499649,2.1561976221685693,0.36252036734146403,0.9582998511904762,0.020306120652307302,1.7750042741123468,0.07722941263842287,5.736409992801108,0.05100424462988394,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9953124999999998,0.003719493973199415,0.9921875000000001,0.004510548978043958,4.009895833333333,0.00900605024259926,0.5060509672619047,0.0023788726442808797,0.49349330357142857,0.002622071209404798,0.0,0.0,0.0,0.0,0.053125000000000006,0.028697869404074816,3.110627943873059,0.020217801795580165,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,154.34223834563738,11.276880478267126
transient_reference,flocking_robust_multiflock,12,2.508706613197773,1.7513909967763808,0.6494651340213514,0.045941819781845805,2.5119107696406524,1.7498590401481449,,,3.683001664968712,0.008161649034023546,28.600174034288912,28.272708892958846,0.20682973710317457,0.18950651148354244,1.8629976150751444,0.035681766659938316,0.958397378330119,0.012927609620553344,737280.0,0.0,0.758327132936508,0.004123142676342232,1.8473085781537215,1.2282438863772442,1.8473085781537215,1.2282438863772442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45430556285819446,0.44009947690702833,0.2177083333333333,0.21072842004316572,0.5593687996031746,0.005037016304553183,77.08333333333333,0.6400954789890507,30.487464541204364,28.38627109979808,0.7610026041666668,0.20729506123651054,2.009005665813087,0.0961589827838719,5.135728732062437,0.03875365804417634,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4942708333333332,0.008637043724883891,0.48125,0.004419417382415926,5.9984375000000005,0.02475465549649192,0.7608351934523808,0.002027394657013841,0.23720238095238097,0.001850670447041439,0.0015625000000000003,0.003719493973199401,0.0015625000000000003,0.003719493973199401,0.10260416666666666,0.023587483071300527,1.5444053367541875,0.009689283866764434,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,157.2191498784076,10.602909325021631
transient_reference,flocking_robust_temporal,12,0.8896991569606536,0.7871476661616366,0.6494651340213514,0.045941819781845805,0.901079574549267,0.7812427629484882,,,3.683001664968712,0.008161649034023546,3.202994294278256,9.544655764294934,0.040057663690476225,0.05970835364525437,1.8629976150751444,0.035681766659938316,0.9860477742234556,0.025535145219652302,737280.0,0.0,0.758327132936508,0.004123142676342232,0.715131296941593,0.45185337663507297,0.715131296941593,0.45185337663507297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050368126026020775,0.15164584275913473,0.02395833333333333,0.07202580797109387,0.5593687996031746,0.005037016304553183,77.08333333333333,0.6400954789890507,4.606135774871297,9.72459163312288,0.9508463541666665,0.07189567163599367,2.009005665813087,0.0961589827838719,5.135728732062437,0.03875365804417634,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4942708333333332,0.008637043724883891,0.48125,0.004419417382415926,5.9984375000000005,0.02475465549649192,0.7608351934523808,0.002027394657013841,0.23720238095238097,0.001850670447041439,0.0015625000000000003,0.003719493973199401,0.0015625000000000003,0.003719493973199401,0.10260416666666666,0.023587483071300527,1.5444053367541875,0.009689283866764434,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,157.2191498784076,10.602909325021631
transient_reference,flocking_robust_active_no_investigation,12,2.235092761716213,0.0783370837674554,0.6494651340213514,0.045941819781845805,0.8073370493075611,0.2138703290327237,,,3.683001664968712,0.008161649034023546,0.9929473914233031,1.1700144505799515,0.01735801091269844,0.012565462906439622,1.8629976150751444,0.035681766659938316,1.0128673541281994,0.017372916453097787,737280.0,0.0,0.758327132936508,0.004123142676342232,0.9536076529615501,0.060557325779736375,0.618008694628217,0.06495065346894129,0.5609375,0.007707629472369108,0.0,0.0,0.4390624999999999,0.007707629472369133,0.06302083333333333,0.0017274087449767718,0.1654671717171717,0.17554498749275035,0.010416666666666666,0.011505584392903397,0.5593687996031746,0.005037016304553183,77.08333333333333,0.6400954789890507,2.5908596933254366,1.4162496812015943,0.9656467013888888,0.01464145267879555,2.009005665813087,0.0961589827838719,5.135728732062437,0.03875365804417634,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4942708333333332,0.008637043724883891,0.48125,0.004419417382415926,5.9984375000000005,0.02475465549649192,0.7608351934523808,0.002027394657013841,0.23720238095238097,0.001850670447041439,0.0015625000000000003,0.003719493973199401,0.0015625000000000003,0.003719493973199401,0.10260416666666666,0.023587483071300527,1.5444053367541875,0.009689283866764434,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,157.2191498784076,10.602909325021631
transient_reference,flocking_robust_active,12,2.2331128555104907,0.08738274410756712,0.6575624677954874,0.04566076786126278,0.7943521267771495,0.2086432027518723,,,3.685673275106851,0.01043388957944867,1.003931204557902,1.1215507266299225,0.021769593253968256,0.012452389871128965,1.886893159961587,0.03888485669817968,0.9959829687334908,0.02094427528701354,737280.0,0.0,0.7575086805555555,0.004782419569950679,0.9522826234407814,0.06357668068443181,0.6159544984407815,0.06595781036777522,0.5598958333333334,0.005961209969926853,0.0,0.0,0.4401041666666666,0.005961209969926864,0.0625,0.0,0.13920454545454544,0.15542285230784053,0.008333333333333333,0.009316949906249124,0.5586991567460318,0.0022499923588454244,77.08333333333333,0.6400954789890507,2.530259780347485,1.408750673907567,0.9635416666666666,0.021109250764409025,2.029387128938822,0.1036172399686575,5.065131612653266,0.04449734986554398,3840.0,0.0,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4953124999999998,0.008884751098558337,0.48229166666666673,0.00499565783678409,5.997395833333333,0.027297828502872268,0.7603143601190476,0.001957585668223628,0.2377232142857143,0.0018409227734185064,0.0010416666666666667,0.0023292374765622806,0.0010416666666666667,0.0023292374765622806,0.09895833333333333,0.03060089754493413,1.5439370192573376,0.009859681817815302,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,160.04693739714267,10.563967771452111
bursty_links,flocking_robust_multiflock,12,2.497781863757527,1.7279885931286405,0.6439520681975274,0.04779518281057771,2.497116145145939,1.7349446400548874,,,3.692844696668461,0.007332235824831003,26.946829668426833,26.663496244071037,0.20543526785714286,0.18807895831998794,1.9478274825343898,0.03932972598143505,0.9358159235562198,0.050906948171199146,580400.0,9210.817987562234,0.7585503472222223,0.0036537597485654266,1.8378511906331287,1.2205319550471685,1.8378511906331287,1.2205319550471685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45750698132277084,0.4457732735595749,0.21822916666666667,0.21238444059685466,0.5583178323412699,0.004761237647743511,76.91666666666667,0.8620067027323832,28.87298282623853,26.737921668624285,0.7579141865079363,0.20169378794935658,2.021728314969009,0.10803784357601966,4.9323352254171295,0.035021028331613246,3022.9166666666665,47.973010351886636,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4942708333333332,0.014977920671404583,0.48020833333333335,0.004995657836784085,5.9984375000000005,0.031263018121789485,0.7611390128968254,0.002606046406215678,0.236811755952381,0.0022169778751045836,0.0010416666666666667,0.0023292374765622806,0.0010416666666666667,0.0023292374765622806,0.10364583333333333,0.029915063501613295,1.5442297381245274,0.01023514876660817,8.0,0.0,0.7872178819444445,0.012492971445803828,0.0,0.0,0.0,0.0,163.77461178587535,10.036072583595494
bursty_links,flocking_robust_temporal,12,0.9518762406072039,1.0203354491187575,0.6439520681975274,0.04779518281057771,0.9624368856499426,1.0069602680829897,,,3.692844696668461,0.007332235824831003,4.951287399298458,15.218169904087292,0.05696552579365086,0.11197552958391176,1.9478274825343898,0.03932972598143505,0.9480216215015389,0.057375962604730726,580400.0,9210.817987562234,0.7585503472222223,0.0036537597485654266,0.7931495073562932,0.7302594075747608,0.7931495073562932,0.7302594075747608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08222333222333222,0.24961007122910828,0.03958333333333333,0.12012182762604899,0.5583178323412699,0.004761237647743511,76.91666666666667,0.8620067027323832,6.285820970589708,15.418809316810858,0.9357787698412698,0.12482526574102307,2.021728314969009,0.10803784357601966,4.9323352254171295,0.035021028331613246,3022.9166666666665,47.973010351886636,0.7199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4942708333333332,0.014977920671404583,0.48020833333333335,0.004995657836784085,5.9984375000000005,0.031263018121789485,0.7611390128968254,0.002606046406215678,0.236811755952381,0.0022169778751045836,0.0010416666666666667,0.0023292374765622806,0.0010416666666666667,0.0023292374765622806,0.10364583333333333,0.029915063501613295,1.5442297381245274,0.01023514876660817,8.0,0.0,0.7872178819444445,0.012492971445803828,0.0,0.0,0.0,0.0,163.77461178587535,10.036072583595494
