algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_robust_multiflock,4500,0.9432960859332565,0.6774687533777912,0.5037276785714285,0.6603527311105172,0.6603527311105172,1.0,0.0,0.0,0.0,0.012578616352201259,0.0125,0.01542410714285714,160,0.947492188251909,2.613984241056502,0.95625,1.876129236877165,3.5956737400616077,5.852577535649114,3.7778149285157907,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.0,0.99375,3.99375,0.5073214285714286,0.4918973214285714,0.0,0.0,0.09375,3.1269358470658677,137.33156922631042,0.8892858331091702,persistent_equal_reference,0.6139842410565022,0.006250000000000089
flocking_robust_multiflock,4501,6.38833450400248,0.7026710371190792,0.5049107142857143,6.332244551598952,6.332244551598952,1.0,0.0,0.0,0.0,0.9936708860759493,0.98125,0.015959821428571427,159,6.394786904512063,124.55180319003959,0.01517857142857143,1.786923422873074,3.625223568520945,5.843000054610326,3.6648208082691824,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.9875,4.0125,0.5075892857142856,0.4916294642857143,0.0,0.0,0.05625,3.091363360041138,150.90344160794763,0.8717762499582022,persistent_equal_reference,122.55180319003959,0.9348214285714285
flocking_robust_multiflock,4502,0.6710027428853178,0.6710027428853178,0.5053571428571428,0.5802510854668937,0.5802510854668937,1.0,0.0,0.0,0.0,0.0,0.0,0.010714285714285713,159,0.6644827543538804,1.5701393701306514,0.9776785714285715,1.7353924858918397,3.6421045361817903,5.823392915041714,3.69150538634358,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.99375,4.01875,0.5053571428571428,0.4946428571428571,0.0,0.0,0.0375,3.1190533172029546,140.56477085626668,0.9109902081545442,persistent_equal_reference,0.4298606298693486,0.027678571428571552
flocking_robust_multiflock,4503,0.9103516657213716,0.7451962323921273,0.5036830357142856,0.6874035526014535,0.6874035526014535,1.0,0.0,0.0,0.0,0.006289308176100629,0.00625,0.012276785714285714,159,0.9195830477908549,2.7256881464689466,0.9458333333333332,1.8498381782630062,3.614301156459446,5.713960212910675,3.6265893169745818,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.0,0.99375,4.0,0.5045758928571428,0.4938616071428572,0.0,0.0,0.05625,3.1190698567625605,148.17753061850158,0.8761525000445545,persistent_equal_reference,0.7256881464689466,0.004166666666666763
flocking_robust_multiflock,4504,6.316588023812181,0.6831547214249334,0.5108258928571427,6.155153180151248,6.155153180151248,1.0,0.0,0.0,0.0,0.9617834394904459,0.94375,0.025,159,6.319924034608896,126.69520157742878,0.05,1.8006988714464716,3.657945919735976,5.832021152626877,3.705012368587705,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.9875,0.98125,4.01875,0.5125,0.48671875,0.0,0.0,0.1,3.0964466015496304,149.62490458438592,0.8800000420305878,persistent_equal_reference,124.69520157742878,0.8999999999999999
flocking_robust_multiflock,4505,0.8539372988947763,0.6797621349974386,0.5035714285714286,0.6345892772521444,0.6345892772521444,1.0,0.0,0.0,0.0,0.006289308176100629,0.00625,0.008928571428571428,159,0.8652105150193706,2.4363233445355625,0.9634375000000001,1.791161651154221,3.6269019625972945,5.834525820127515,3.738536803418404,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.99375,4.00625,0.5044642857142857,0.4955357142857143,0.0,0.0,0.0375,3.1414371439438624,148.1509823603829,0.8904343750327826,persistent_equal_reference,0.43632334453556254,0.013437500000000102
flocking_robust_multiflock,4506,6.305814712385929,0.709667926696249,0.5027901785714286,6.254718952386968,6.254718952386968,1.0,0.0,0.0,0.0,0.9874213836477987,0.98125,0.008928571428571428,159,6.310052642584252,124.26259237882036,0.0125,1.6592279788804454,3.628640738054794,5.811942082099366,3.6295376715651515,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.0,0.99375,4.01875,0.5044642857142857,0.49475446428571435,0.0,0.0,0.025,3.110651392660158,181.16863529166747,0.8938895000610501,persistent_equal_reference,122.26259237882036,0.9375
flocking_robust_multiflock,4507,6.487423171843486,0.691272343140865,0.5035714285714286,6.439282738332523,6.439282738332523,1.0,0.0,0.0,0.0,0.9874213836477987,0.98125,0.007142857142857143,159,6.488562111421986,130.9560135454953,0.0140625,1.629228391713189,3.6247608483227376,5.8323732537795125,3.718534512057226,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.0,0.99375,4.0125,0.5035714285714286,0.49564732142857143,0.0,0.0,0.01875,3.088001127993568,151.62969908640875,0.9031394589692354,persistent_equal_reference,128.9560135454953,0.9359375
flocking_robust_multiflock,4508,6.390405178286252,0.6861727351675081,0.5040178571428571,6.316559936360176,6.316559936360176,1.0,0.0,0.0,0.0,0.9811320754716981,0.975,0.00982142857142857,159,6.392410826629824,124.70732502380756,0.01875,1.753372800732753,3.6323968829914484,5.831360483618891,3.728303945871289,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.99375,0.99375,4.0125,0.5049107142857142,0.4950892857142858,0.0,0.0,0.0375,3.097571677966501,146.09807067286863,0.9096041659358889,persistent_equal_reference,122.70732502380756,0.9312499999999999
flocking_robust_multiflock,4509,6.317966576373012,0.6704998924286528,0.503125,6.1992115367223395,6.1992115367223395,1.0,0.0,0.0,0.0,0.95625,0.95625,0.00625,160,6.304811678943146,131.90343256531003,0.0375,1.7657841548248019,3.6483617798547874,5.790999843631061,3.7069258040171276,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.0,1.0,4.0,0.503125,0.496875,0.0,0.0,0.04375,3.142203389497743,163.42120432216524,0.8819227498024702,persistent_equal_reference,129.90343256531003,0.9125
