scenario,arm,runs,integrated_loss_mean,integrated_loss_std,integrated_loss_max,decision_loss_mean,decision_loss_std,decision_loss_max,movement_per_step_mean,movement_per_step_std,movement_per_step_max,position_rmse_mean,position_rmse_std,position_rmse_max,abstention_rate_mean,abstention_rate_std,abstention_rate_max,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,wrong_mode_action_rate_max,mean_nees_mean,mean_nees_std,mean_nees_max,p95_nees_mean,p95_nees_std,p95_nees_max,coverage95_rate_mean,coverage95_rate_std,coverage95_rate_max,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_delivery_ratio_max,mean_topology_components_mean,mean_topology_components_std,mean_topology_components_max,quarantine_rate_mean,quarantine_rate_std,quarantine_rate_max,strategic_alert_rate_mean,strategic_alert_rate_std,strategic_alert_rate_max,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,nonstrategic_alert_rate_max,mean_raw_trust_mean,mean_raw_trust_std,mean_raw_trust_max,minimum_raw_trust_mean,minimum_raw_trust_std,minimum_raw_trust_max,trust_recovery_cycles_mean,trust_recovery_cycles_std,trust_recovery_cycles_max,post_stop_false_alert_rate_mean,post_stop_false_alert_rate_std,post_stop_false_alert_rate_max,post_stop_decision_loss_mean,post_stop_decision_loss_std,post_stop_decision_loss_max,trust_verification_rate_mean,trust_verification_rate_std,trust_verification_rate_max,action_difference_rate_mean,action_difference_rate_std,action_difference_rate_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_max
stable_control,m9c_receding,40,1.0117141675459913,0.09464352306397068,1.2240228458136442,0.27259092150679365,0.013265067667910054,0.30612769527972983,0.9239040575489973,0.11669912105063554,1.1714481974096598,0.30720389053310726,0.013183864926741732,0.3364726693358476,0.0028125,0.006083725729353683,0.025,0.0,0.0,0.0,1.7132747289274728,0.1357659540708785,2.0324130817449886,5.164955303429283,0.6507652650484793,7.078949229160856,0.96796875,0.0158845628185827,0.99375,1.0,0.0,1.0,1.0121875,0.014852793297895166,1.05625,0.0035937499999999997,0.00825467433867018,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1256281584966927,0.010990674360231148,1.1538142079953104
stable_control,closed_loop_trust,40,1.0117141675459913,0.09464352306397068,1.2240228458136442,0.27259092150679365,0.013265067667910054,0.30612769527972983,0.9239040575489973,0.11669912105063554,1.1714481974096598,0.30720389053310726,0.013183864926741732,0.3364726693358476,0.0028125,0.006083725729353683,0.025,0.0,0.0,0.0,1.7132747289274728,0.1357659540708785,2.0324130817449886,5.164955303429283,0.6507652650484793,7.078949229160856,0.96796875,0.0158845628185827,0.99375,1.0,0.0,1.0,1.0121875,0.014852793297895166,1.05625,0.0035937499999999997,0.00825467433867018,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.9961753583673326,0.0013733717135071025,0.9986487330286241,0.784798357869309,0.0842948773594381,0.9118024210678495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1572757687943522,0.009656315245167501,1.1782592500094324
failure_partition,m9c_receding,40,1.1005462848704084,0.09533438320553933,1.3106573535009534,0.3739473105113042,0.04045423053141762,0.5031009084394057,0.9082487179488801,0.10133549511407476,1.1123175051966496,0.4072678119925179,0.03867936190336445,0.5317202715398238,0.03140625,0.030570343446508743,0.1375,0.0,0.0,0.0,1.7418779681236454,0.15704329747165183,2.0668957211874956,5.144854773466286,0.6516247159415508,6.464542751985955,0.96796875,0.014401300668255627,1.0,1.0,0.0,1.0,1.69296875,0.08355139113705706,1.875,0.43078125000000006,0.27557251307221753,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7256385176966432,0.0925822249513888,0.9102353751659393
failure_partition,closed_loop_trust,40,1.1005462848704084,0.09533438320553933,1.3106573535009534,0.3739473105113042,0.04045423053141762,0.5031009084394057,0.9082487179488801,0.10133549511407476,1.1123175051966496,0.4072678119925179,0.03867936190336445,0.5317202715398238,0.03140625,0.030570343446508743,0.1375,0.0,0.0,0.0,1.7418779681236454,0.15704329747165183,2.0668957211874956,5.144854773466286,0.6516247159415508,6.464542751985955,0.96796875,0.014401300668255627,1.0,1.0,0.0,1.0,1.69296875,0.08355139113705706,1.875,0.43078125000000006,0.27557251307221753,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,0.9959643779454602,0.0022289679382404273,0.9986140343485872,0.7818289422240061,0.089480062489582,0.9091344820631857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7482882291136775,0.09344456058480162,0.9312444161623716
flapping_reconnect,m9c_receding,40,1.0686636357664452,0.09327558579781302,1.2698237965222567,0.3154950094563878,0.026960855485321525,0.3919248535463075,0.9414607828875713,0.11566735238124469,1.1880704566862286,0.35178807485036284,0.023382892353564638,0.40602459270646407,0.015625,0.018645542362720372,0.075,0.0,0.0,0.0,1.7310771015292161,0.14980417982095132,2.1124325322490494,5.0654302085185785,0.6135464728854065,6.84323289375942,0.9685937500000001,0.015276584154761168,1.0,1.0,0.0,1.0,1.50171875,0.04562901309405563,1.55625,0.00375,0.0085923294280422,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036254953133175,0.013537691263514276,1.0598024590872228
flapping_reconnect,closed_loop_trust,40,1.0686636357664452,0.09327558579781302,1.2698237965222567,0.3154950094563878,0.026960855485321525,0.3919248535463075,0.9414607828875713,0.11566735238124469,1.1880704566862286,0.35178807485036284,0.023382892353564638,0.40602459270646407,0.015625,0.018645542362720372,0.075,0.0,0.0,0.0,1.7310771015292161,0.14980417982095132,2.1124325322490494,5.0654302085185785,0.6135464728854065,6.84323289375942,0.9685937500000001,0.015276584154761168,1.0,1.0,0.0,1.0,1.50171875,0.04562901309405563,1.55625,0.00375,0.0085923294280422,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.9966234183752224,0.0013508416519728054,0.9991634422256617,0.7893919207459732,0.08427116169241611,0.9093867272893494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0656007155077531,0.015171095071126635,1.1077374999877065
admission_censoring_control,m9c_receding,40,1.0942374037065392,0.08926070433364441,1.2664965056521882,0.3404922556265445,0.03101256251167321,0.4431678970707682,0.9421814350999931,0.11196257734693006,1.151350980442008,0.37663949472147806,0.026585582386435845,0.43393010665370046,0.021093749999999998,0.024394523431243743,0.11875,0.0,0.0,0.0,1.712222325368194,0.15392229732898513,2.1606879523851874,5.070694375589966,0.6229825392404911,6.343836308980102,0.9689062500000001,0.014556429797086242,0.9875,1.0,0.0,1.0,1.6032812499999998,0.06966700231054512,1.775,0.06687499999999999,0.0791581684035198,0.26875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567773386253976,0.019180408022124073,0.7174175840336829
admission_censoring_control,closed_loop_trust,40,1.0942374037065392,0.08926070433364441,1.2664965056521882,0.3404922556265445,0.03101256251167321,0.4431678970707682,0.9421814350999931,0.11196257734693006,1.151350980442008,0.37663949472147806,0.026585582386435845,0.43393010665370046,0.021093749999999998,0.024394523431243743,0.11875,0.0,0.0,0.0,1.712222325368194,0.15392229732898513,2.1606879523851874,5.070694375589966,0.6229825392404911,6.343836308980102,0.9689062500000001,0.014556429797086242,0.9875,1.0,0.0,1.0,1.6032812499999998,0.06966700231054512,1.775,0.06687499999999999,0.0791581684035198,0.26875,0.0,0.0,0.0,0.0,0.0,0.0,0.996519411779197,0.001711196583100389,0.9989742341354788,0.7902890888229616,0.09076279166124229,0.9252447745965098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6824549488781486,0.019277578001247447,0.7370840418152511
source_assignment_competition,m9c_receding,40,1.7922687416914662,0.129270404465991,2.0500187504755853,1.0322238405659703,0.07210844319444007,1.1727284664881883,0.9500561264068701,0.11074214607627725,1.193147855522407,1.1604468021220327,0.08879060701702611,1.3165854457801893,0.01140625,0.012646601260318916,0.0375,0.0,0.0,0.0,1.5958327910780135,0.21243296706695666,2.0173883769489764,4.6563360111639645,0.783941785238605,6.464479590819541,0.97625,0.01493475393168565,1.0,1.0,0.0,1.0,1.001875,0.0044633927678392835,1.01875,0.96875,0.006987712429686825,0.975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38009744691080416,0.025295314301273405,0.4334967089816928
source_assignment_competition,closed_loop_trust,40,1.7922687416914662,0.129270404465991,2.0500187504755853,1.0322238405659703,0.07210844319444007,1.1727284664881883,0.9500561264068701,0.11074214607627725,1.193147855522407,1.1604468021220327,0.08879060701702611,1.3165854457801893,0.01140625,0.012646601260318916,0.0375,0.0,0.0,0.0,1.5958327910780135,0.21243296706695666,2.0173883769489764,4.6563360111639645,0.783941785238605,6.464479590819541,0.97625,0.01493475393168565,1.0,1.0,0.0,1.0,1.001875,0.0044633927678392835,1.01875,0.96875,0.006987712429686825,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.997046650571483,0.0013391167082799694,0.9990567192584668,0.7993492926192323,0.10359599719931765,0.9479905985086743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4034607041277923,0.025554623100401998,0.45977962482720613
