run_id,scenario,arm,seed,position_rmse,mean_nees,coverage95,decision_loss,wrong_action_rate,integrated_loss,alert_rate,false_alert_rate,recovery_steps,movement,delivery_ratio,planner_messages,planner_bytes,maximum_allowed_planner_messages,ownership_violations,safety_interventions,emergency_stops,collisions,mean_runtime_units,topology_disagreement_rate,replay_fingerprint
m13-stable-m10b_decentralized-27117,stable,m10b_decentralized,27117,0.038769609463422804,0.9476697917331938,1.0,0.03432736412664499,0.0,0.20619689559808543,1.0,0.0,0.0,11.457968764762697,0.9924242424242424,192,162914,192,0,0,0,0,1.384,0.0,97cc1aa0c154d41ff1d7250485fc9f696e43bb245775c56a9532db438d593a3a
m13-stable-m9c_no_trust-27118,stable,m9c_no_trust,27118,0.048999970493245004,2.3942087675457713,0.9333333333333333,0.04358820436077358,0.0,0.21586432423251656,1.0,0.0,0.0,11.485074658116199,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,79d9e535e00c58384a9f56fd0df424543c4eff0a3fedb982243eb6566a021a02
m13-stable-m10a5_centralized-27118,stable,m10a5_centralized,27118,0.048999970493245004,2.3942087675457713,0.9333333333333333,0.04358820436077358,0.0,0.21586432423251656,1.0,0.0,0.0,11.485074658116199,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,de1ff2180d140bddfdf15ca32e6688db792a67da67f6aef495cbe6da39804773
m13-stable-m10b_decentralized_no_negotiation-27118,stable,m10b_decentralized_no_negotiation,27118,0.024779403494704824,0.4764872224858389,1.0,0.021055828805448915,0.0,0.32599448373612044,1.0,0.0,0.0,20.329243662044767,0.9924242424242424,192,165484,192,0,0,0,0,1.384,0.0,9d142a3ea79921a03da98c892d879c16057672ca2c809c39dc960d9e9f4980df
m13-stable-m10b_decentralized-27118,stable,m10b_decentralized,27118,0.03143700202647675,0.6212418285744489,1.0,0.028240487561588343,0.0,0.20023792121680137,1.0,0.0,0.0,11.466495577014202,0.9924242424242424,192,162732,192,0,0,0,0,1.384,0.0,d2d4ffe7099e27f38fbb79a99c8f50324be09a05004d1efe7ba42ccaa6b6b090
m13-stable-m9c_no_trust-27119,stable,m9c_no_trust,27119,0.04187439930525462,1.8147346364473094,0.9833333333333333,0.03756578672481479,0.0,0.20961721771789762,1.0,0.0,0.0,11.470095399538856,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,2eb8e9212a57b286f3854a4ec6c187d82cca86940367a5f7618e4da130891395
m13-stable-m10a5_centralized-27119,stable,m10a5_centralized,27119,0.04187439930525462,1.8147346364473094,0.9833333333333333,0.03756578672481479,0.0,0.20961721771789762,1.0,0.0,0.0,11.470095399538856,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,d3f2a448adc050c6b185e21090b4e7d9f97ca503db44f57b7ff2babecf17141e
m13-stable-m10b_decentralized_no_negotiation-27119,stable,m10b_decentralized_no_negotiation,27119,0.027046328673975623,0.6372340699052416,1.0,0.023477712188962344,0.0,0.32817531776830533,1.0,0.0,0.0,20.313173705289532,0.9924242424242424,192,165498,192,0,0,0,0,1.384,0.0,9dca9b1b9d76718b8c106cc30d5b24a8264c94a7cfc26a99b9b57ccef1681b62
m13-stable-m10b_decentralized-27119,stable,m10b_decentralized,27119,0.03811076893679355,0.9924921312008531,1.0,0.033073216644727135,0.0,0.20518906605401926,1.0,0.0,0.0,11.474389960619474,0.9924242424242424,192,162742,192,0,0,0,0,1.384,0.0,fa56e5ff4a10399d64364b2f7671aeb9042196264008bdfc868a0c6c741f35cb
m13-stable-m9c_no_trust-27120,stable,m9c_no_trust,27120,0.04956699118570787,2.320948051887655,0.9166666666666666,0.04424767068396942,0.0,0.2163112238335035,1.0,0.0,0.0,11.470903543302272,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,36212f210c5770bc36340e3ea02242c331f658f573a3eac69d2af7bc5423c90e
