scenario,arm,trials,position_rmse_mean,decision_loss_mean,integrated_loss_mean,mean_nees,coverage95,wrong_action_rate,alert_rate,false_alert_rate,recovery_steps,delivery_ratio
stable,m9c_no_trust,150,0.04441257627137256,0.03824413354074096,0.21051561406084338,1.8003286080306338,0.9658888888888888,0.0,1.0,0.0,0.0,0.9916666666666667
stable,m10a5_centralized,150,0.044412601720526856,0.03824416052982223,0.2105156538650928,1.8003310125650949,0.9658888888888888,0.0,1.0,0.0,0.0,0.9916666666666667
stable,m10b_decentralized_no_negotiation,150,0.029971780178168733,0.025017900497682113,0.32976200346035806,0.6583952843294395,0.9997222222222223,0.0,1.0,0.0,0.0,0.9924242424242427
stable,m10b_decentralized,150,0.035477799034408834,0.03089239832151784,0.20294812118510877,0.7728531512436907,0.9996666666666666,0.0,1.0,0.0,0.0,0.9924242424242427
target_manoeuvre,m9c_no_trust,150,0.07434717943519592,0.055409386101280114,0.22928241377044078,4.68953280834477,0.8431111111111111,0.0,1.0,0.0,0.0,0.9916666666666667
target_manoeuvre,m10a5_centralized,150,0.07434717943519592,0.055409386101280114,0.22928241377044078,4.68953280834477,0.8431111111111111,0.0,1.0,0.0,0.0,0.9916666666666667
target_manoeuvre,m10b_decentralized_no_negotiation,150,0.05033771200356281,0.03891598975847342,0.3288768264877428,2.313234139246299,0.9079444444444446,0.0,1.0,0.0,0.0,0.9924242424242427
target_manoeuvre,m10b_decentralized,150,0.06840595928753247,0.0483992318140541,0.22213511162421753,3.1774674591843346,0.8809444444444445,0.0,1.0,0.0,0.0,0.9924242424242427
physical_occlusion,m9c_no_trust,150,0.046883563033430116,0.040556372433974544,0.2128908088717659,1.8277565953395902,0.9641111111111111,0.0,1.0,0.0,0.0,0.9916666666666667
physical_occlusion,m10a5_centralized,150,0.046887407907323736,0.04055965203087383,0.21290369831616773,1.8275849390425984,0.9641111111111111,0.0,1.0,0.0005,0.0,0.9916666666666667
physical_occlusion,m10b_decentralized_no_negotiation,150,0.034109453522056195,0.028831349275365598,0.3337042806152363,0.6203157108182603,0.9994444444444444,0.0,1.0,0.0005,0.0,0.9924242424242427
physical_occlusion,m10b_decentralized,150,0.04001384359749328,0.034798051431656846,0.20700899687520194,0.7248730807811238,0.9993888888888889,0.0,1.0,0.0008333333333333334,0.0,0.9924242424242427
burst_loss_latency,m9c_no_trust,150,0.05224353499871103,0.045088211674471385,0.21748586313186716,2.29927214656427,0.9339444444444442,0.0,1.0,0.0,0.0,0.9815173941124616
burst_loss_latency,m10a5_centralized,150,0.05224659283354017,0.04509075684903248,0.21748877555708465,2.299272013135779,0.9338888888888888,0.0,1.0,0.0,0.0,0.9815173941124616
burst_loss_latency,m10b_decentralized_no_negotiation,150,0.03518038702048667,0.029921157002395612,0.3347995426798606,0.9029046599573493,0.9990555555555555,0.0,1.0,0.0,0.0,0.9820252287080409
burst_loss_latency,m10b_decentralized,150,0.04161692226080282,0.03685954262228732,0.208994337594693,1.0556587921856353,0.9983888888888889,0.0,1.0,0.0,0.0,0.9820252287080409
partition_rejoin,m9c_no_trust,150,0.04419416429291646,0.03802899806880762,0.21035112192637,1.7608152075308932,0.9675,0.0,1.0,0.0,0.0,0.9853658536585365
partition_rejoin,m10a5_centralized,150,0.04419474507936022,0.038029375119630324,0.21035151904999752,1.7608179585419252,0.9675,0.0,1.0,0.0,0.0,0.9853658536585365
partition_rejoin,m10b_decentralized_no_negotiation,150,0.06236353128308731,0.04595617670518239,0.34665232748069563,3.207898591001115,0.8353333333333333,0.0,1.0,0.18727777777777777,0.0,0.9866962305986694
partition_rejoin,m10b_decentralized,150,0.07491574239744993,0.05549121356767844,0.2306045235734453,3.8213904856249497,0.8237222222222221,0.0,1.0,0.1882222222222222,0.0,0.9866962305986694
observer_outage_rejoin,m9c_no_trust,150,0.06135927272609824,0.05020134490634546,0.2222251740825781,3.158757768239588,0.8518888888888889,0.0,1.0,0.0,0.0,0.986268656716418
observer_outage_rejoin,m10a5_centralized,150,0.046120633490246664,0.039545114314269665,0.21899037362779017,1.935964358770788,0.9555555555555554,0.0,1.0,0.2907222222222222,0.0,0.986268656716418
observer_outage_rejoin,m10b_decentralized_no_negotiation,150,0.13663182177705474,0.08195663661687624,0.38304635780831453,8.329233448121412,0.7740555555555555,0.0,1.0,0.29183333333333333,0.0,0.9874932028276237
observer_outage_rejoin,m10b_decentralized,150,0.14152808595231212,0.0885433878404807,0.2649047944110507,8.428047090701698,0.7721666666666666,0.0,1.0,0.2921111111111111,0.0,0.9874932028276237
