scenario,arm,runs,integrated_loss_mean,integrated_loss_std,integrated_loss_max,decision_loss_mean,decision_loss_std,decision_loss_max,movement_per_step_mean,movement_per_step_std,movement_per_step_max,position_rmse_mean,position_rmse_std,position_rmse_max,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,wrong_mode_action_rate_max,mean_nees_mean,mean_nees_std,mean_nees_max,p95_nees_mean,p95_nees_std,p95_nees_max,coverage95_rate_mean,coverage95_rate_std,coverage95_rate_max,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_delivery_ratio_max,mean_topology_components_mean,mean_topology_components_std,mean_topology_components_max,quarantine_rate_mean,quarantine_rate_std,quarantine_rate_max,strategic_alert_rate_mean,strategic_alert_rate_std,strategic_alert_rate_max,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,nonstrategic_alert_rate_max,trust_recovery_cycles_mean,trust_recovery_cycles_std,trust_recovery_cycles_max,post_stop_decision_loss_mean,post_stop_decision_loss_std,post_stop_decision_loss_max,planner_messages_per_step_mean,planner_messages_per_step_std,planner_messages_per_step_max,planner_bytes_per_step_mean,planner_bytes_per_step_std,planner_bytes_per_step_max,message_bound_violations_mean,message_bound_violations_std,message_bound_violations_max,mean_planner_state_age_mean,mean_planner_state_age_std,mean_planner_state_age_max,planner_active_rate_mean,planner_active_rate_std,planner_active_rate_max,planner_conflict_rate_mean,planner_conflict_rate_std,planner_conflict_rate_max,ownership_violations_mean,ownership_violations_std,ownership_violations_max,action_difference_rate_mean,action_difference_rate_std,action_difference_rate_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_max
stable_control,centralized_trust,2,0.9492529257267195,0.04516339394650881,0.9944163196732283,0.28984390336388,0.014339048131648241,0.30418295149552826,0.8242612779535492,0.07437805259769631,0.8986393305512456,0.32868221767904326,0.015084029495286616,0.34376624717432985,0.0,0.0,0.0,1.970152012906213,0.16692961762398695,2.1370816305302,6.358117348146095,0.19715615162448819,6.555273499770583,0.934375,0.009374999999999967,0.94375,1.0,0.0,1.0,1.009375,0.009375000000000022,1.01875,0.003125,0.003125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.206773478887044,0.005079479073174298,1.2118529579602182
stable_control,decentralized_no_negotiation,2,0.9493290647388964,0.05555644812582694,1.0048855128647234,0.2890176683750394,0.01124652325777245,0.3002641916328118,0.8253892454548213,0.0835037142294992,0.9088929596843205,0.3278924093664354,0.011583416299925181,0.3394758256663606,0.0,0.0,0.0,1.9696722067536405,0.15482269746241484,2.1244949042160552,6.260251932595013,0.2113914920062867,6.4716434246013,0.934375,0.009374999999999967,0.94375,1.0,0.0,1.0,1.00625,0.006249999999999978,1.0125,0.003125,0.003125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.878125,0.06562499999999982,6.94375,220.1,2.0999999999999943,222.2,0.0,0.0,0.0,0.99765625,0.0,0.99765625,0.025,0.0,0.025,0.018229166666666664,0.0005208333333333332,0.01875,0.0,0.0,0.0,0.025,0.0,0.025,1.1963599374284968,0.004834812483750284,1.201194749912247
stable_control,decentralized_negotiated,2,0.9527248304160043,0.053662539886847105,1.0063873703028514,0.2941422667308174,0.011628593448009927,0.3057708601788273,0.8232282046064836,0.08161391666857132,0.9048421212750549,0.3340898969082743,0.01146219415876118,0.34555209106703544,0.0,0.0,0.0,1.9779682923712476,0.1450592124466199,2.1230275048178675,6.323000447178612,0.20159967138148627,6.524600118560098,0.934375,0.009374999999999967,0.94375,1.0,0.0,1.0,1.028125,0.0031250000000000444,1.03125,0.003125,0.003125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.871875,0.03437499999999982,6.90625,219.9,1.0999999999999943,221.0,0.0,0.0,0.0,0.995703125,0.0003906249999999778,0.99609375,0.01875,0.0,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.01875,1.1965949169825763,0.012788624968379736,1.209383541950956
failure_partition,centralized_trust,2,1.0393406756020587,0.008428551456371336,1.04776922705843,0.3810429532971049,0.0637076464112463,0.44475059970835124,0.8228721528811921,0.09017024733452206,0.9130424002157141,0.390263580904492,0.038637627816179326,0.4289012087206713,0.0,0.0,0.0,1.7621436522924614,0.20966516278446834,1.9718088150769297,5.571490832830829,0.6613292094297938,6.232820042260623,0.95,0.012500000000000011,0.9625,1.0,0.0,1.0,1.6906249999999998,0.05312499999999998,1.74375,0.35,0.34375,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817947292001918,0.09327087504789233,0.9112181670498103
failure_partition,decentralized_no_negotiation,2,1.0310167217883772,0.021183115531559493,1.0521998373199368,0.36974408417371807,0.05003900428336247,0.41978308845708057,0.826590797018324,0.08902764976865252,0.9156184467869766,0.3929451600070507,0.03370951140623382,0.4266546714132845,0.0,0.0,0.0,1.7781253184524304,0.16385735583605776,1.9419826742884883,5.531654595889939,0.22558945612737435,5.757244052017313,0.95,0.0,0.95,1.0,0.0,1.0,1.70625,0.0625,1.76875,0.35,0.34375,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4468750000000004,0.7343750000000002,4.18125,110.30000000000001,23.500000000000007,133.8,0.0,0.0,0.0,0.9907552083333333,0.004296875000000089,0.9950520833333334,0.025,0.0,0.025,0.018229166666666664,0.0005208333333333332,0.01875,0.0,0.0,0.0,0.025,0.0,0.025,0.8365731459343806,0.08694102091249079,0.9235141668468714
failure_partition,decentralized_negotiated,2,1.061191477965814,0.0008623492016347489,1.062053827167449,0.3939949729526365,0.06917041406927302,0.4631653870219095,0.833995631266472,0.08754095408863455,0.9215365853551065,0.39916940809406803,0.037974837210067114,0.43714424530413515,0.0,0.0,0.0,1.796327670290535,0.2017827406304893,1.9981104109210244,5.513192395996128,0.7245534656325208,6.23774586162865,0.95,0.012500000000000011,0.9625,1.0,0.0,1.0,1.696875,0.046875,1.74375,0.35,0.34375,0.69375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34375,0.7125000000000001,4.05625,107.0,22.800000000000004,129.8,0.0,0.0,0.0,0.9846354166666667,0.0059895833333333814,0.990625,0.01875,0.0,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.01875,0.8168197085615247,0.10790729150176048,0.9247270000632852
flapping_reconnect,centralized_trust,2,0.9925656712206127,0.053106675550011695,1.0456723467706244,0.32505682016423154,0.007127947941607399,0.3321847681058389,0.8343860638204765,0.07529327936452396,0.9096793431850004,0.35922234643017076,0.012736118059390455,0.3719584644895612,0.0,0.0,0.0,1.8590674007432542,0.140335457239525,1.9994028579827792,6.052330407773303,0.3163915091537679,6.36872191692707,0.940625,0.009374999999999967,0.95,1.0,0.0,1.0,1.534375,0.0031250000000000444,1.5375,0.003125,0.003125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1841336250072345,0.014309458085335791,1.1984430830925703
flapping_reconnect,decentralized_no_negotiation,2,0.9894254122103039,0.055183117045588814,1.0446085292558926,0.3242764531464932,0.004319747362171222,0.32859620050866445,0.8314361988297632,0.07437858050970009,0.9058147793394633,0.35876549245531614,0.009684430189338344,0.3684499226446545,0.0,0.0,0.0,1.8604089009217606,0.13288808098206495,1.9932969819038255,5.9132556083795755,0.4164267523728884,6.329682360752464,0.934375,0.015625,0.95,1.0,0.0,1.0,1.5375,0.0,1.5375,0.003125,0.003125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0875,0.043749999999999734,6.13125,194.8,1.3999999999999915,196.2,0.0,0.0,0.0,0.9904947916666667,0.0014322916666666408,0.9919270833333332,0.025,0.0,0.025,0.018229166666666664,0.0005208333333333332,0.01875,0.0,0.0,0.0,0.025,0.0,0.025,1.1777116254670545,0.009350333479233086,1.1870619589462876
flapping_reconnect,decentralized_negotiated,2,0.9990610150165729,0.051770605072298304,1.0508316200888712,0.3264452055092577,0.00530488697358486,0.3317500924828426,0.8407697618841439,0.07134436505735386,0.9121141269414977,0.36106758782328485,0.01022650902766395,0.3712940968509488,0.0,0.0,0.0,1.8587386075242007,0.12841084617946152,1.9871494537036622,5.87958046996312,0.44491783705174104,6.324498307014861,0.9375,0.012499999999999956,0.95,1.0,0.0,1.0,1.528125,0.0031250000000000444,1.53125,0.003125,0.003125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034375,0.140625,6.175,193.1,4.5,197.6,0.0,0.0,0.0,0.9876302083333333,0.000911458333333337,0.9885416666666667,0.01875,0.0,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.01875,1.150283416500315,0.02792095858603716,1.1782043750863522
admission_censoring_control,centralized_trust,2,1.0183055050760683,0.03647647813689081,1.0547819832129592,0.32890691489707574,0.021598762664185867,0.3505056775612616,0.8617482377237407,0.0725940510013458,0.9343422887250865,0.3792428829351303,0.02173762471904994,0.40098050765418025,0.0,0.0,0.0,1.8289407202274925,0.2599993286877932,2.0889400489152856,5.578023306049481,0.4564301447988819,6.034453450848363,0.953125,0.015625,0.96875,1.0,0.0,1.0,1.5812499999999998,0.03749999999999998,1.61875,0.034375,0.0031249999999999993,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7362883335445076,0.025965583510696888,0.7622539170552045
