scenario,runs,frozen_m9a_loss_mean,frozen_m9a_loss_std,frozen_m9a_base_error_mean,frozen_m9a_base_error_std,m9a_hypothesis_floor_loss_mean,m9a_hypothesis_floor_loss_std,observer_loss_mean,observer_loss_std,observer_base_error_mean,observer_base_error_std,observer_selection_rate_mean,observer_selection_rate_std,observer_mixture_rate_mean,observer_mixture_rate_std,observer_defer_rate_mean,observer_defer_rate_std,observer_wrong_mode_action_rate_mean,observer_wrong_mode_action_rate_std,observer_mean_mode_count_mean,observer_mean_mode_count_std,observer_mean_credible_mode_count_mean,observer_mean_credible_mode_count_std,observer_mean_top_mode_probability_mean,observer_mean_top_mode_probability_std,observer_mean_confidence_mean,observer_mean_confidence_std,observer_mean_predicted_risk_mean,observer_mean_predicted_risk_std,observer_mean_assignment_entropy_mean,observer_mean_assignment_entropy_std,observer_mean_visible_agents_mean,observer_mean_visible_agents_std,global_loss_mean,global_loss_std,global_base_error_mean,global_base_error_std,global_selection_rate_mean,global_selection_rate_std,global_mixture_rate_mean,global_mixture_rate_std,global_defer_rate_mean,global_defer_rate_std,global_wrong_mode_action_rate_mean,global_wrong_mode_action_rate_std,global_mean_mode_count_mean,global_mean_mode_count_std,global_mean_credible_mode_count_mean,global_mean_credible_mode_count_std,global_mean_top_mode_probability_mean,global_mean_top_mode_probability_std,global_mean_confidence_mean,global_mean_confidence_std,global_mean_predicted_risk_mean,global_mean_predicted_risk_std,global_mean_assignment_entropy_mean,global_mean_assignment_entropy_std,global_mean_visible_agents_mean,global_mean_visible_agents_std,current_to_observer_gap_mean,current_to_observer_gap_std,observer_to_global_gap_mean,observer_to_global_gap_std,current_to_global_gap_mean,current_to_global_gap_std,current_to_hypothesis_floor_gap_mean,current_to_hypothesis_floor_gap_std,runtime_seconds_mean,runtime_seconds_std
stable_control,100,0.9437708711042394,0.043761354700202516,0.6009739961042392,0.04461733945816617,0.577371747029056,0.03185399800160808,0.2746593839410276,0.012641019896844817,0.2746593839410276,0.012641019896844817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33067831401011333,0.0017304986640481962,0.12500000000000036,2.9686758270677767e-15,7.973,0.04453650188328665,0.27387241319603495,0.012663821296396784,0.27387241319603495,0.012663821296396784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.32992032792883047,0.0010772955720942312,0.12500000000000036,2.9686758270677767e-15,8.0,0.0,0.6691114871632116,0.04229565231163575,0.00078697074499268,0.0020895517724221113,0.6698984579082042,0.04220774021651606,0.3663991240751832,0.029946509263095875,12.643563323782292,0.18666691618868037
failure_only,100,1.0470531854046186,0.14172122512493684,0.6142688104046184,0.06835676652349139,0.5977572689429597,0.057321768271319976,0.29358823761879566,0.014449443109612927,0.29358823761879566,0.014449443109612927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3542627695794806,0.007027100301755063,0.12500000000000036,2.9686758270677767e-15,7.0910625000000005,0.04545133902042929,0.29247851237094546,0.014766469314435973,0.29247851237094546,0.014766469314435973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.35319573796853443,0.006997977887547078,0.12500000000000036,2.9686758270677767e-15,7.125,0.0,0.7534649477858228,0.14107485918740956,0.0011097252478501712,0.0024363032500316203,0.7545746730336728,0.1413495683101556,0.44929591646165884,0.10731581084631925,10.779988987965044,0.3530983102917141
partition_only,100,1.0747421902784766,0.11292312044632793,0.6517078152784763,0.11332568636738419,0.6383690420563846,0.1115711354278197,0.3495287507373165,0.03410449513335089,0.3495287507373165,0.03410449513335089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.42486942668431366,0.03220875295466613,0.12500000000000036,2.9686758270677767e-15,5.655,0.24938361513940727,0.272124965005178,0.012614733420861219,0.272124965005178,0.012614733420861219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.32784426815271334,0.0014154909109195288,0.12500000000000036,2.9686758270677767e-15,8.0,0.0,0.7252134395411599,0.11257961445797508,0.07740378573213841,0.03181586710978645,0.8026172252732985,0.11340476081868461,0.4363731482220919,0.02617492329934688,11.413035130433272,0.22118397862079167
asymmetric_partition,100,1.0889214411595813,0.12776057724751858,0.6652495661595816,0.12856343128625558,0.6520019997686961,0.12518222307551985,0.37235526583299966,0.03945356534572171,0.37235526583299966,0.03945356534572171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.45186528236773904,0.03666652657551434,0.12500000000000036,2.9686758270677767e-15,5.3780624999999995,0.2166677594123085,0.2723659016663982,0.01242163457541429,0.2723659016663982,0.01242163457541429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3280509127250697,0.0014684137567352706,0.12500000000000036,2.9686758270677767e-15,8.0,0.0,0.7165661753265818,0.125359793038578,0.09998936416660148,0.03828163564184824,0.8165555394931835,0.1282177703818045,0.4369194413908854,0.025907722806295632,11.48636593371397,0.2167959557769574
failure_partition,100,1.162465885655691,0.26613659290953623,0.6784752606556914,0.22900952408759903,0.6651062146770162,0.21895391178577167,0.35361232286702365,0.032552692484037825,0.35361232286702365,0.032552692484037825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4306981491181033,0.032818403233219856,0.12500000000000036,2.9686758270677767e-15,5.496375,0.3042012851304215,0.29172421595995923,0.015035674585304488,0.29172421595995923,0.015035674585304488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.35242656072107775,0.006859609533358405,0.12500000000000036,2.9686758270677767e-15,7.0625,0.0,0.8088535627886675,0.26532492455741696,0.061888106907064415,0.027847992427129667,0.8707416696957319,0.26373927972670824,0.49735967097867506,0.08907673919980374,9.80256800294621,0.32310260538525193
staggered_rejoin,100,1.0094796675678057,0.2113609393942912,0.6174890425678058,0.18266080781230765,0.5948343931349599,0.1761114131953994,0.31018998466227027,0.01667138156920388,0.31018998466227027,0.01667138156920388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.37375448898006186,0.006927207095655298,0.12500000000000036,2.9686758270677767e-15,6.622437500000001,0.04216869951456891,0.3085081727395248,0.01644710292568446,0.3085081727395248,0.01644710292568446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.37185478447068143,0.006732381397875784,0.12500000000000036,2.9686758270677767e-15,6.668750000000004,3.552713678800501e-15,0.6992896829055357,0.21094099207789013,0.0016818119227454686,0.003104795181817469,0.7009714948282809,0.21095511503943498,0.4146452744328458,0.06412832844167846,10.460041103232651,0.20131060120527663
flapping_reconnect,100,0.9672600817934588,0.052155624610665634,0.6079132067934588,0.053121154931117714,0.5909850117591923,0.043011793208818545,0.30289775427733534,0.01757192893579382,0.30289775427733534,0.01757192893579382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3684856228491756,0.01153824485414929,0.12500000000000036,2.9686758270677767e-15,6.948250000000001,0.11995793533568343,0.2731669880522581,0.012582747180098875,0.2731669880522581,0.012582747180098875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.32924178522563297,0.0011826007385894624,0.12500000000000036,2.9686758270677767e-15,8.0,0.0,0.6643623275161233,0.0530801127559539,0.029730766225077247,0.013751753480599682,0.6940930937412009,0.0519816166435513,0.37627507003426663,0.027574741622937677,12.246003573273775,0.17401158131494884
false_split_dropout,100,1.0016334719613957,0.05860539833398037,0.6055959719613957,0.05300978813773204,0.5814842531200013,0.03603463796605954,0.2792132367308159,0.013315819605465632,0.2792132367308159,0.013315819605465632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3364161817230488,0.004309165224352669,0.1250101976047305,0.00010146486259012809,7.6816249999999995,0.12982205369273744,0.2724474957263468,0.012821699199960714,0.2724474957263468,0.012821699199960714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.32786731588281776,0.0013142526913309579,0.12500000000000028,2.3044399911598263e-15,8.0,0.0,0.7224202352305799,0.059786404509830804,0.006765741004469135,0.00543638859672746,0.7291859762350488,0.0609290872885365,0.4201492188413944,0.03940002610930081,11.46051160622621,0.5697876100525981
