scenario,reference,pairs,stable_mean,dynamic_mean,transfer_mean,ci95_lower,ci95_upper,passes_original_margin
failure_only,frozen_m9a_loss,100,0.9437708711042394,1.0470531854046186,-0.10328231430037915,-0.1293081037823851,-0.07889756451910496,False
partition_only,frozen_m9a_loss,100,0.9437708711042394,1.0747421902784766,-0.1309713191742372,-0.1543677356587414,-0.10959025113015367,False
asymmetric_partition,frozen_m9a_loss,100,0.9437708711042394,1.0889214411595813,-0.14515057005534224,-0.16922138178377275,-0.12179844729078214,False
failure_partition,frozen_m9a_loss,100,0.9437708711042394,1.162465885655691,-0.218695014551452,-0.272722939892189,-0.1745682506258701,False
staggered_rejoin,frozen_m9a_loss,100,0.9437708711042394,1.0094796675678057,-0.06570879646356645,-0.11534694422289489,-0.03572120905778556,False
flapping_reconnect,frozen_m9a_loss,100,0.9437708711042394,0.9672600817934588,-0.02348921068921961,-0.033185911798983544,-0.013977333313415581,True
false_split_dropout,frozen_m9a_loss,100,0.9437708711042394,1.0016334719613957,-0.0578626008571564,-0.06923445182083326,-0.046460172584754364,True
failure_only,observer_loss,100,0.2746593839410276,0.29358823761879566,-0.018928853677768018,-0.020666490316324115,-0.017218524413786122,True
partition_only,observer_loss,100,0.2746593839410276,0.3495287507373165,-0.07486936679628883,-0.0813281957897716,-0.06886722295328755,True
asymmetric_partition,observer_loss,100,0.2746593839410276,0.37235526583299966,-0.09769588189197206,-0.10531460831578514,-0.09023020116954006,False
failure_partition,observer_loss,100,0.2746593839410276,0.35361232286702365,-0.07895293892599602,-0.08505252561975063,-0.07321186373237902,True
staggered_rejoin,observer_loss,100,0.2746593839410276,0.31018998466227027,-0.035530600721242665,-0.03781564736327822,-0.03335020275077227,True
flapping_reconnect,observer_loss,100,0.2746593839410276,0.30289775427733534,-0.028238370336307713,-0.03094018107143654,-0.02558188958853606,True
false_split_dropout,observer_loss,100,0.2746593839410276,0.2792132367308159,-0.004553852789788292,-0.005640303031033868,-0.0034950026821752066,True
failure_only,global_loss,100,0.27387241319603495,0.29247851237094546,-0.018606099174910525,-0.02034382845558552,-0.016840102842106214,True
partition_only,global_loss,100,0.27387241319603495,0.272124965005178,0.0017474481908568936,0.0014962305211060555,0.001996378706871366,True
asymmetric_partition,global_loss,100,0.27387241319603495,0.2723659016663982,0.0015065115296367664,0.0012435814401363077,0.0017812298257437655,True
failure_partition,global_loss,100,0.27387241319603495,0.29172421595995923,-0.01785180276392428,-0.01970857014299029,-0.016067442062211806,True
staggered_rejoin,global_loss,100,0.27387241319603495,0.3085081727395248,-0.03463575954348987,-0.0368224271826492,-0.03240968833433523,True
flapping_reconnect,global_loss,100,0.27387241319603495,0.2731669880522581,0.0007054251437768575,0.00046178133098797696,0.0009503113245073324,True
false_split_dropout,global_loss,100,0.27387241319603495,0.2724474957263468,0.0014249174696881637,0.00099481224716021,0.0018452423947943168,True
failure_only,m9a_hypothesis_floor_loss,100,0.577371747029056,0.5977572689429597,-0.020385521913903575,-0.03196070465879012,-0.01002035057621375,True
partition_only,m9a_hypothesis_floor_loss,100,0.577371747029056,0.6383690420563846,-0.060997295027328535,-0.08467574834869197,-0.04033268983448314,True
asymmetric_partition,m9a_hypothesis_floor_loss,100,0.577371747029056,0.6520019997686961,-0.07463025273964007,-0.0999853338712994,-0.051670989427702735,True
failure_partition,m9a_hypothesis_floor_loss,100,0.577371747029056,0.6651062146770162,-0.08773446764796003,-0.1337120261621098,-0.051344456667645026,False
staggered_rejoin,m9a_hypothesis_floor_loss,100,0.577371747029056,0.5948343931349599,-0.017462646105903815,-0.05921402301771826,0.0063049012398385,True
flapping_reconnect,m9a_hypothesis_floor_loss,100,0.577371747029056,0.5909850117591923,-0.013613264730136193,-0.022820837985001303,-0.004698000846612801,True
false_split_dropout,m9a_hypothesis_floor_loss,100,0.577371747029056,0.5814842531200013,-0.004112506090945126,-0.011521681319507976,0.0032997455260021964,True
