algorithm,seed,frozen_m9a_loss,frozen_m9a_base_error,m9a_hypothesis_floor_loss,observer_loss,observer_base_error,observer_selection_rate,observer_mixture_rate,observer_defer_rate,observer_wrong_mode_action_rate,observer_mean_mode_count,observer_mean_credible_mode_count,observer_mean_top_mode_probability,observer_mean_confidence,observer_mean_predicted_risk,observer_mean_assignment_entropy,observer_mean_visible_agents,global_loss,global_base_error,global_selection_rate,global_mixture_rate,global_defer_rate,global_wrong_mode_action_rate,global_mean_mode_count,global_mean_credible_mode_count,global_mean_top_mode_probability,global_mean_confidence,global_mean_predicted_risk,global_mean_assignment_entropy,global_mean_visible_agents,current_to_observer_gap,observer_to_global_gap,current_to_global_gap,current_to_hypothesis_floor_gap,runtime_seconds,scenario
flocking_topology_resilient,12000,1.019055240941341,0.6746802409413408,0.5778551320502453,0.28136435239905894,0.28136435239905894,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32856559857725876,0.12499999999999996,8.0,0.28136435239905894,0.28136435239905894,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32856559857725876,0.12499999999999996,8.0,0.7376908885422819,0.0,0.7376908885422819,0.4412001088910956,12.859822541009635,stable_control
flocking_topology_resilient,12001,0.9301037491661207,0.5757287491661207,0.5757287491661207,0.2602096238261951,0.2602096238261951,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33193042355120894,0.12499999999999996,7.925,0.25838651265241286,0.25838651265241286,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3294236746673214,0.12499999999999996,8.0,0.6698941253399255,0.0018231111737822547,0.6717172365137078,0.354375,12.468794584041461,stable_control
flocking_topology_resilient,12002,0.9763872236366611,0.6373247236366609,0.6006790790615484,0.2683349778023889,0.2683349778023889,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3352514710806238,0.12500000000002914,7.9,0.2615364044233382,0.2615364044233382,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3320102416497329,0.12500000000002914,8.0,0.7080522458342722,0.00679857337905071,0.7148508192133229,0.3757081445751127,12.642164875054732,stable_control
flocking_topology_resilient,12003,0.8887476358311194,0.5496851358311193,0.534083855482872,0.2666883144899383,0.2666883144899383,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3309277504313858,0.12499999999999996,8.0,0.2666883144899383,0.2666883144899383,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3309277504313858,0.12499999999999996,8.0,0.6220593213411811,0.0,0.6220593213411811,0.3546637803482474,12.679880707990378,stable_control
flocking_topology_resilient,12004,0.8985725934144501,0.5595100934144501,0.5585202586752488,0.2740777631791513,0.2740777631791513,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33032191140511297,0.12499999999999996,7.975,0.27618808951148466,0.27618808951148466,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3299067958454991,0.12499999999999996,8.0,0.6244948302352988,-0.0021103263323333787,0.6223845039029654,0.34005233473920127,12.48452554200776,stable_control
flocking_topology_resilient,12005,0.9185808600659836,0.5748308600659836,0.5690519557037643,0.28737021692818565,0.28737021692818565,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3308156909012342,0.12499999999999996,8.0,0.28737021692818565,0.28737021692818565,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3308156909012342,0.12499999999999996,8.0,0.631210643137798,0.0,0.631210643137798,0.3495289043622193,12.343803457915783,stable_control
flocking_topology_resilient,12006,0.9601591080663228,0.6164091080663228,0.6081934577634127,0.28174723730075724,0.28174723730075724,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3314172265628582,0.12499999999999996,8.0,0.28174723730075724,0.28174723730075724,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3314172265628582,0.12499999999999996,8.0,0.6784118707655655,0.0,0.6784118707655655,0.35196565030291005,12.656293042004108,stable_control
flocking_topology_resilient,12007,1.0446407226959649,0.6768282226959649,0.6687693816424533,0.30200281474174995,0.30200281474174995,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33552153506333826,0.12499999999999996,7.825,0.2952299261234897,0.2952299261234897,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32886207876619655,0.12499999999999996,8.0,0.7426379079542149,0.006772888618260253,0.7494107965724752,0.3758713410535116,12.631338957929984,stable_control
flocking_topology_resilient,12008,0.9827155368938545,0.6477155368938545,0.5588883582996503,0.25128107336961475,0.25128107336961475,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3291840970518449,0.12499999999999996,8.0,0.25128107336961475,0.25128107336961475,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3291840970518449,0.12499999999999996,8.0,0.7314344635242398,0.0,0.7314344635242398,0.42382717859420416,12.263118540868163,stable_control
flocking_topology_resilient,12009,0.9086229513419045,0.5742479513419046,0.5642405724383169,0.26596996338621137,0.26596996338621137,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33023987504918795,0.12499999999999996,8.0,0.26596996338621137,0.26596996338621137,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33023987504918795,0.12499999999999996,8.0,0.6426529879556931,0.0,0.6426529879556931,0.3443823789035876,12.658799125114456,stable_control
