scenario,comparison,pairs,left_mean,right_mean,gap_mean,ci95_lower,ci95_upper
stable_control,current_minus_observer,100,0.9437708711042394,0.2746593839410276,0.6691114871632116,0.6609742460110335,0.6773853882284326
stable_control,observer_minus_global,100,0.2746593839410276,0.27387241319603495,0.00078697074499268,0.00039335960815096337,0.001212957611183271
stable_control,current_minus_global,100,0.9437708711042394,0.27387241319603495,0.6698984579082042,0.6619708825237463,0.6782826934010445
stable_control,current_minus_hypothesis_floor,100,0.9437708711042394,0.577371747029056,0.3663991240751832,0.36063672592406726,0.3726512379797101
failure_only,current_minus_observer,100,1.0470531854046186,0.29358823761879566,0.7534649477858228,0.7268139858386928,0.7826905758191867
failure_only,observer_minus_global,100,0.29358823761879566,0.29247851237094546,0.0011097252478501712,0.0006562728346857698,0.0015837220350996962
failure_only,current_minus_global,100,1.0470531854046186,0.29247851237094546,0.7545746730336728,0.7272582830627642,0.781991932743364
failure_only,current_minus_hypothesis_floor,100,1.0470531854046186,0.5977572689429597,0.44929591646165884,0.42826491247093523,0.47036620185371725
partition_only,current_minus_observer,100,1.0747421902784766,0.3495287507373165,0.7252134395411599,0.7033594344428832,0.7487110744450879
partition_only,observer_minus_global,100,0.3495287507373165,0.272124965005178,0.07740378573213841,0.0716913991552199,0.083980969621162
partition_only,current_minus_global,100,1.0747421902784766,0.272124965005178,0.8026172252732985,0.7813798820742781,0.8266037323743599
partition_only,current_minus_hypothesis_floor,100,1.0747421902784766,0.6383690420563846,0.4363731482220919,0.4313566685573784,0.4416673630600294
asymmetric_partition,current_minus_observer,100,1.0889214411595813,0.37235526583299966,0.7165661753265818,0.6929165814469634,0.7421707776458165
asymmetric_partition,observer_minus_global,100,0.37235526583299966,0.2723659016663982,0.09998936416660148,0.09268688507165869,0.1079170842085974
asymmetric_partition,current_minus_global,100,1.0889214411595813,0.2723659016663982,0.8165555394931835,0.7920168611399342,0.8414975629472702
asymmetric_partition,current_minus_hypothesis_floor,100,1.0889214411595813,0.6520019997686961,0.4369194413908854,0.432191238295109,0.44237516185844244
failure_partition,current_minus_observer,100,1.162465885655691,0.35361232286702365,0.8088535627886675,0.7638378548715268,0.8669796157011277
failure_partition,observer_minus_global,100,0.35361232286702365,0.29172421595995923,0.061888106907064415,0.0564929274364184,0.06749007327029567
failure_partition,current_minus_global,100,1.162465885655691,0.29172421595995923,0.8707416696957319,0.8251595607715639,0.9259253635218218
failure_partition,current_minus_hypothesis_floor,100,1.162465885655691,0.6651062146770162,0.49735967097867506,0.4797940823555127,0.5152322160851711
staggered_rejoin,current_minus_observer,100,1.0094796675678057,0.31018998466227027,0.6992896829055357,0.6680869350514022,0.7490963230147094
staggered_rejoin,observer_minus_global,100,0.31018998466227027,0.3085081727395248,0.0016818119227454686,0.0010940894657790964,0.00231265310712853
staggered_rejoin,current_minus_global,100,1.0094796675678057,0.3085081727395248,0.7009714948282809,0.6703392771789989,0.750926873321814
staggered_rejoin,current_minus_hypothesis_floor,100,1.0094796675678057,0.5948343931349599,0.4146452744328458,0.4029282792287866,0.42856947838243636
flapping_reconnect,current_minus_observer,100,0.9672600817934588,0.30289775427733534,0.6643623275161233,0.653977257294861,0.6749860201538121
flapping_reconnect,observer_minus_global,100,0.30289775427733534,0.2731669880522581,0.029730766225077247,0.027114197524722057,0.03241318955547115
flapping_reconnect,current_minus_global,100,0.9672600817934588,0.2731669880522581,0.6940930937412009,0.6841438511646378,0.7043160987818349
flapping_reconnect,current_minus_hypothesis_floor,100,0.9672600817934588,0.5909850117591923,0.37627507003426663,0.37110341117237156,0.38191074904181116
false_split_dropout,current_minus_observer,100,1.0016334719613957,0.2792132367308159,0.7224202352305799,0.7111528293565164,0.734166851373985
false_split_dropout,observer_minus_global,100,0.2792132367308159,0.2724474957263468,0.006765741004469135,0.005729054565805234,0.007850170548864933
false_split_dropout,current_minus_global,100,1.0016334719613957,0.2724474957263468,0.7291859762350488,0.7171375139596838,0.7411631173537778
false_split_dropout,current_minus_hypothesis_floor,100,1.0016334719613957,0.5814842531200013,0.4201492188413944,0.4126053051507254,0.4282557714048184
