policy,runs,resolved_mean,resolved_std,resolution_steps_mean,resolution_steps_std,wrong_selection_mean,wrong_selection_std,total_decision_loss_mean,total_decision_loss_std,decision_cost_mean,decision_cost_std,movement_cost_mean,movement_cost_std,movement_distance_mean,movement_distance_std,final_truth_probability_mean,final_truth_probability_std,final_entropy_mean,final_entropy_std,brier_score_mean,brier_score_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,hold_actions_mean,hold_actions_std,spread_actions_mean,spread_actions_std,probe_actions_mean,probe_actions_std,unique_probe_actions_mean,unique_probe_actions_std,planning_sequences_evaluated_mean,planning_sequences_evaluated_std,runtime_seconds_mean,runtime_seconds_std,hold_actions_fraction,spread_actions_fraction,probe_actions_fraction
passive,50,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.3420666666666666,0.1065768163240852,1.1354873657662388,0.16113198900596096,0.6580933333333333,0.185590251659701,1.135863608993277,0.3853886734278682,0.3906666666666668,0.08877937698462285,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045901755336672065,0.0017736768314950992,1.0,0.0,0.0
round_robin,50,1.0,0.0,2.2,0.4472135954999579,0.0,0.0,2.08596052992,0.6860117060787146,0.3,0.11180339887498948,1.78596052992,0.5769467574300324,1.6017361920000002,0.4916663068034156,0.9992300002100681,0.0019496247874555804,0.005097815072133885,0.012111547919147404,8.077372098524713e-06,2.6361406358447367e-05,0.0007722072716252023,0.001956837596142279,0.8453177577528792,0.08206581259815372,0.0,0.0,2.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,9.949342347681522e-05,1.895566051754476e-05,0.0,1.0,0.0
myopic_voi,50,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.3420666666666666,0.1065768163240852,1.1354873657662388,0.16113198900596096,0.6580933333333333,0.185590251659701,1.135863608993277,0.3853886734278682,0.3906666666666668,0.08877937698462285,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,4.898979485566356,0.004182888409122825,0.0007689362081476791,1.0,0.0,0.0
receding_horizon_voi,50,1.0,0.0,2.78,0.87840765023991,0.0,0.0,1.5104684421556718,0.4356799827908225,0.445,0.2196019125599775,1.0654684421556717,0.2482340079858773,1.178111494142565,0.29760584793948347,0.9984321657360161,0.002607880321597509,0.010447952399510357,0.016241239539844368,1.641717905082486e-05,3.8595195832435214e-05,0.0015724866404616606,0.002618193197502982,0.8418755702241714,0.08135290247743118,0.82,0.8646386528486915,1.04,0.19595917942265428,0.92,0.7440430095095311,0.76,0.5499090833947008,82.04,30.939915966272434,0.010161725031211972,0.0044058728545913525,0.2949640287769784,0.37410071942446044,0.33093525179856115
computational_oracle,50,1.0,0.0,2.86,0.8002499609497022,0.0,0.0,1.3620665639486,0.3851468158740495,0.465,0.20006249023742556,0.8970665639486,0.2742668533461588,1.0150254663837253,0.3221158864821427,0.9986623312563736,0.0022680621543549055,0.00901054925009893,0.014327565077027787,1.2483765104919538e-05,2.874567421527911e-05,0.0013411503345099158,0.0022758315635249327,0.8310265659748253,0.08402179692910368,0.94,0.8345058418010026,0.8,0.4,1.12,0.9516301802696255,0.74,0.5589275444992848,464.88,194.3065248518433,0.08067270668689161,0.04157870321831451,0.32867132867132864,0.27972027972027974,0.3916083916083916
