seed,policy,dose,truth_mode,resolved,resolution_steps,selected_mode,wrong_selection,total_decision_loss,decision_cost,movement_cost,movement_distance,mean_discriminability,maximum_discriminability,final_truth_probability,final_entropy,trace_fingerprint,arm
6024,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,dfab7c1d8f99e4da4ff59de7f1ddad9221bddee14c7cb0d531bbdb22ef9f89c8,passive
6025,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,585176c6271bbf0d6ca8ab1bfa4debe8316b8c20eba79f6a06a5ad36b4fe9be9,passive
6026,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,c05a4c2a4cca375acf99d2de99718a1f2d4209c7bd4af1841e415238f976ab83,passive
6027,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,de7ab99cbe357bdfceb05f235cb56c561a0cec4944f7c43ba6bc96b68e16b6e3,passive
6028,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,40f9670a1fbf9eebc5247e50b44a611e15e7aa9c7ac7b221cd870a0a23c91fe4,passive
6029,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,97fe935a989418e5ebdf4ca914202b8b472f2386a2d0fc291bd7504eb5e53dc5,passive
6000,round_robin,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,00bfdf631b163b3e82ff0bee7a8c780caebfe13b70975fa1273aec363030ef54,round_robin_dose_0_00
6001,round_robin,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,78f2493641ca74cf97871f24346c4afb03fd279b594834e7d9a98ad51fac9ed0,round_robin_dose_0_00
6002,round_robin,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,74d94b7197aa08d3cf3739eebfbb9264e5afdcff37c51ff7834d882a0081baae,round_robin_dose_0_00
6003,round_robin,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,37926d6f50857d274df8b4100ec8193c93b5c86ed2e7ce6840f4c526d4b8bb9d,round_robin_dose_0_00
6004,round_robin,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,4bd769fab00c383604c2bc5aea4d1f3f86baa40949ac6a57690104cbfc54f2c6,round_robin_dose_0_00
6005,round_robin,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,d402d19c265cf3928875e2e418340a20b884296060244538865936db593619cf,round_robin_dose_0_00
6006,round_robin,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,1a0e3f58fca859179a71cf9a9c612ed8120ade759ea4b20c2493d931e429f1a3,round_robin_dose_0_00
6007,round_robin,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,1d93825243c64ab53e21c7fdfc2b81e5f85190be2a931811207c1195cc1e284d,round_robin_dose_0_00
6008,round_robin,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,69670822018fc6d0f4cec3120802ce3f584bddd2699bec3c9a08cda96b05e36a,round_robin_dose_0_00
6009,round_robin,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,47a80b7a45d3a7bd41b3d24074e14252a6f15e9a0b3dea3c751b93a97f60b81f,round_robin_dose_0_00
