candidate,baseline,metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses
information_oracle,passive,total_decision_loss,lower,30,6.000000000000002,0.08018213333333334,5.91981786666667,5.885280533333336,5.954355200000004,30,0,0
information_oracle,passive,resolution_steps,lower,30,30.0,1.3666666666666667,28.633333333333333,28.466666666666665,28.766666666666666,30,0,0
information_oracle,passive,mean_discriminability,higher,30,0.0,6.759830371917744,6.759830371917744,5.0745989237877405,8.45348797728839,30,0,0
information_oracle,passive,final_truth_probability,higher,30,0.5,0.995195156417676,0.495195156417676,0.4918136763945262,0.49790807871438136,30,0,0
round_robin_dose_0_00,passive,total_decision_loss,lower,30,6.000000000000002,6.000000000000002,0.0,0.0,0.0,0,30,0
round_robin_dose_0_00,passive,resolution_steps,lower,30,30.0,30.0,0.0,0.0,0.0,0,30,0
round_robin_dose_0_00,passive,mean_discriminability,higher,30,0.0,0.0,0.0,0.0,0.0,0,30,0
round_robin_dose_0_00,passive,final_truth_probability,higher,30,0.5,0.5,0.0,0.0,0.0,0,30,0
round_robin_dose_0_10,passive,total_decision_loss,lower,30,6.000000000000002,0.7574760434014428,5.242523956598561,5.168733312097532,5.316295897153801,30,0,0
round_robin_dose_0_10,passive,resolution_steps,lower,30,30.0,4.766666666666667,25.233333333333334,24.866666666666667,25.6,30,0,0
round_robin_dose_0_10,passive,mean_discriminability,higher,30,0.0,1.1788407016487852,1.1788407016487852,0.95807271177751,1.417073288996088,30,0,0
round_robin_dose_0_10,passive,final_truth_probability,higher,30,0.5,0.9866785071566618,0.4866785071566619,0.48176993157914505,0.4915082408956067,30,0,0
round_robin_dose_0_25,passive,total_decision_loss,lower,30,6.000000000000002,0.38502354271999994,5.614976457280004,5.574453811968001,5.6554987760000035,30,0,0
round_robin_dose_0_25,passive,resolution_steps,lower,30,30.0,2.9,27.1,26.9,27.3,30,0,0
round_robin_dose_0_25,passive,mean_discriminability,higher,30,0.0,2.096443057206868,2.096443057206868,1.7406766697119673,2.483782848844549,30,0,0
round_robin_dose_0_25,passive,final_truth_probability,higher,30,0.5,0.9904100645348896,0.4904100645348896,0.4854066305909463,0.49493883389264554,30,0,0
round_robin_dose_0_50,passive,total_decision_loss,lower,30,6.000000000000002,0.22632721600000003,5.773672784000001,5.732732656000001,5.814504048000002,30,0,0
round_robin_dose_0_50,passive,resolution_steps,lower,30,30.0,2.1,27.9,27.699166666666667,28.1,30,0,0
round_robin_dose_0_50,passive,mean_discriminability,higher,30,0.0,4.138586439090078,4.138586439090078,3.2614607930741193,5.097836028525422,30,0,0
round_robin_dose_0_50,passive,final_truth_probability,higher,30,0.5,0.9915559562361619,0.49155595623616183,0.48668093602210816,0.4960945129926083,30,0,0
round_robin_dose_1_00,passive,total_decision_loss,lower,30,6.000000000000002,0.08018213333333334,5.91981786666667,5.885280533333336,5.954355200000004,30,0,0
round_robin_dose_1_00,passive,resolution_steps,lower,30,30.0,1.3666666666666667,28.633333333333333,28.466666666666665,28.8,30,0,0
round_robin_dose_1_00,passive,mean_discriminability,higher,30,0.0,6.759830371917744,6.759830371917744,5.0745989237877405,8.445061820047748,30,0,0
round_robin_dose_1_00,passive,final_truth_probability,higher,30,0.5,0.995195156417676,0.495195156417676,0.49165004765909925,0.49794328537948135,30,0,0
value_of_information,passive,total_decision_loss,lower,30,6.000000000000002,0.08018213333333334,5.91981786666667,5.885107846666669,5.954355200000004,30,0,0
value_of_information,passive,resolution_steps,lower,30,30.0,1.3666666666666667,28.633333333333333,28.466666666666665,28.8,30,0,0
value_of_information,passive,mean_discriminability,higher,30,0.0,6.759830371917744,6.759830371917744,5.074598923787741,8.445061820047748,30,0,0
value_of_information,passive,final_truth_probability,higher,30,0.5,0.995195156417676,0.495195156417676,0.49190123006548614,0.49791584100402875,30,0,0
