scenario,runs,current_decision_loss_mean,current_decision_loss_std,current_wrong_mode_action_rate_mean,current_wrong_mode_action_rate_std,current_mean_nees_mean,current_mean_nees_std,current_p95_nees_mean,current_p95_nees_std,current_coverage95_rate_mean,current_coverage95_rate_std,candidate_decision_loss_mean,candidate_decision_loss_std,candidate_mean_base_error_mean,candidate_mean_base_error_std,candidate_position_rmse_mean,candidate_position_rmse_std,candidate_best_hypothesis_rmse_mean,candidate_best_hypothesis_rmse_std,candidate_selection_rate_mean,candidate_selection_rate_std,candidate_mixture_rate_mean,candidate_mixture_rate_std,candidate_abstention_rate_mean,candidate_abstention_rate_std,candidate_wrong_mode_action_rate_mean,candidate_wrong_mode_action_rate_std,candidate_mean_nees_mean,candidate_mean_nees_std,candidate_p95_nees_mean,candidate_p95_nees_std,candidate_max_nees_mean,candidate_max_nees_std,candidate_coverage95_rate_mean,candidate_coverage95_rate_std,candidate_mean_residual_mass_mean,candidate_mean_residual_mass_std,candidate_max_residual_mass_mean,candidate_max_residual_mass_std,candidate_mean_model_nis_mean,candidate_mean_model_nis_std,candidate_mean_assignment_entropy_mean,candidate_mean_assignment_entropy_std,candidate_mean_predicted_risk_mean,candidate_mean_predicted_risk_std,candidate_mean_predicted_wrong_risk_mean,candidate_mean_predicted_wrong_risk_std,candidate_mean_credible_modes_mean,candidate_mean_credible_modes_std,candidate_mean_visible_agents_mean,candidate_mean_visible_agents_std,motion_distance_difference_mean,motion_distance_difference_std,observer_loss_mean,observer_loss_std,global_loss_mean,global_loss_std,hindsight_floor_loss_mean,hindsight_floor_loss_std,runtime_seconds_mean,runtime_seconds_std
stable_control,100,0.938949628810484,0.038825958188828474,0.005875,0.008043825271598085,1.8147452416671939,0.5010689982638583,4.613303147034267,0.6726058270189459,0.9664877976190476,0.014964710669244045,0.27639309319993677,0.014312194053769961,0.27564309319993674,0.013728387455786075,0.3117144197536751,0.01542953003016022,0.3117144197536751,0.01542953003016022,0.9990000000000001,0.004119314263321025,0.0,0.0,0.001,0.00411931426332102,0.0,0.0,1.7467793645993501,0.1711223602622003,5.098990288717162,0.7114477758034363,9.611284658902402,2.1249340614730867,0.9676874999999998,0.015538636322084378,0.013003951207715816,0.0019904334886719373,0.05944258032767844,0.03234138479407464,1.9201618144014887,0.0582107320547895,0.12572379848390472,0.0008632241286229657,0.4136977741589451,0.014575337527348013,0.013003951207715816,0.0019904334886719373,1.0,0.0,7.855437500000001,0.057177458134740476,0.0,0.0,0.27284211409213954,0.013728362984784779,0.27250947228940703,0.013703133607379184,0.5774064202884773,0.0331039760487422,1.5817783024907113,0.03210012956117811
failure_only,100,1.0623752513718987,0.14951349485764626,0.0036249999999999998,0.0070256227481981974,1.671415606812434,0.5344820215075848,4.426786842510458,0.7249406378014174,0.9716630208333334,0.01372937725387505,0.32889101840564267,0.03452493722500286,0.3221410184056427,0.030510769503664308,0.3675326382236717,0.03812891213978794,0.3675326382236717,0.03812891213978794,0.991,0.014825021079243031,0.0,0.0,0.009,0.014825021079243024,0.0,0.0,1.7567593195793494,0.18909678093994703,5.078670242198352,0.7008623507918147,9.808938169699285,2.314318673342871,0.9683750000000002,0.016100756969782505,0.017168439799198326,0.004092025763966315,0.10525604884854918,0.04956544990612728,1.8857120493846897,0.06955801148117599,0.12572379848390472,0.0008632241286229657,0.49930130268837686,0.05299376962879245,0.017168439799198326,0.004092025763966315,1.0,0.0,5.9655000000000005,0.7175557905138805,0.0,0.0,0.2931048918755143,0.016482830982169468,0.29235044625781953,0.016604664756491635,0.6085169200551027,0.07873054406267779,1.275105822456535,0.13826572689200042
partition_only,100,1.0457615014039963,0.0981793748503316,0.002,0.005651327277728659,1.553374845999555,0.5434473994589673,4.146002841501942,0.6567548147267106,0.9736644345238094,0.013508122024484606,0.3724835228114573,0.049259740037999655,0.34890539781145724,0.031369037955766975,0.4069437012106766,0.04323432990460094,0.4069437012106766,0.04323432990460094,0.9685625,0.036757811669766195,0.0,0.0,0.0314375,0.03675781166976619,0.0,0.0,1.7409651524597423,0.195951476215077,5.108143137926674,0.7732779475941038,9.335673648816314,2.1281664507701246,0.96725,0.0170504765329301,0.022764096696537197,0.00797764443116581,0.15616468004365766,0.07392100164355014,1.8741871290314547,0.07527989582525539,0.12572379848390472,0.0008632241286229657,0.584552892783607,0.092411168321701,0.022764096696537197,0.00797764443116581,1.0,0.0,5.601374999999999,0.25199761283591554,0.0,0.0,0.34677927276591347,0.0312808139414231,0.2706835270544063,0.01363023789302375,0.6149345083264036,0.09598930677468547,1.3847608807310463,0.039533931559805294
asymmetric_partition,100,1.0608502808514457,0.11378903871599175,0.0022500000000000003,0.005830951894845301,1.5595366749501178,0.556418163661031,4.209262978017367,0.6677265450479907,0.9717198660714286,0.013570757581142323,0.4092637324453664,0.06388243871490275,0.37190435744536643,0.039363835991453516,0.43925197500392477,0.05622582668564338,0.43925197500392477,0.05622582668564338,0.9501875000000001,0.04978433959339021,0.0,0.0,0.0498125,0.04978433959339021,0.0,0.0,1.7349715759993998,0.2032933056775929,5.128208842175276,0.7823373086571547,9.35584046906731,2.2109647963313814,0.9674999999999998,0.0171846588560844,0.026257176019630693,0.010175657811447249,0.17889339030684698,0.08188524394895745,1.8557618850319364,0.09545476517194565,0.12572379848390472,0.0008632241286229657,0.6474012132841568,0.11653899221602625,0.026257176019630693,0.010175657811447249,1.0,0.0,5.314375,0.23268557781908183,0.0,0.0,0.36981511166579073,0.03996291269197312,0.27078363808917344,0.01377632687568632,0.6288052470153466,0.11231770541529137,1.370556899975054,0.03819367386317129
failure_partition,100,1.1917274138497431,0.2967446685014229,0.0019374999999999998,0.005638525405635768,2.452075500589325,4.310923024854694,9.15981912631253,21.2298128938263,0.9626918898809526,0.045071965124818945,0.4512696733638867,0.2596553146176518,0.42159779836388656,0.25844196443011114,0.5288280354553633,0.5074005294611607,0.5288280354553633,0.5074005294611607,0.9604374999999998,0.04430941456112911,0.0,0.0,0.0395625,0.04430941456112911,0.0,0.0,1.704302771878858,0.21260500617074923,5.032826065629599,0.7179016918186764,9.48164989503245,2.469583701606229,0.9698749999999998,0.01675606233576374,0.025062445618516983,0.008917757829071537,0.1675525584031701,0.0726699647511801,1.8068003407849025,0.1380239897058141,0.12572379848390472,0.0008632241286229657,0.8790501128838477,1.5583282475994493,0.025062445618516983,0.008917757829071537,1.0,0.0,4.6728749999999994,0.5725492746262106,0.0,0.0,0.35056329015041926,0.03023270373501217,0.29201170342835503,0.016790163660107823,0.6961595549781758,0.26398495598105143,1.1172257649735549,0.10511429243267915
staggered_rejoin,100,1.0288288691039285,0.2260375307095213,0.0044375,0.0073044827845645584,2.0858531096616595,3.7329509495729924,5.847148487666082,13.446227403088232,0.9661377232142857,0.03507830274707314,0.32463946998087745,0.025363391634614756,0.3208425949808774,0.023280993521393623,0.3650905751895271,0.02686253573023371,0.3650905751895271,0.02686253573023371,0.9949375,0.008182250225335332,0.0,0.0,0.0050625,0.008182250225335327,0.0,0.0,1.7658320411208135,0.18339475184369294,5.183981194995718,0.7179242203623601,10.023996878675087,2.2847634145342384,0.9671874999999999,0.01645009023531482,0.016282205871457633,0.0034409997029130825,0.0937208987223496,0.04078899206118152,1.8771103141224252,0.06709740546974738,0.12572379848390472,0.0008632241286229657,0.48922451884723794,0.03591221076158179,0.016282205871457633,0.0034409997029130825,1.0,0.0,5.850625000000001,0.39589939141781966,0.0,0.0,0.3077934317084524,0.018697169974664973,0.30701206018261756,0.0186568410650591,0.6099953886853506,0.19476058618206352,1.2182093075313605,0.0566078723076944
flapping_reconnect,100,0.9535437313701283,0.048478462019184175,0.003875000000000001,0.007694356698256197,1.6715102079778945,0.5192616607957685,4.244574581329835,0.6687402447078707,0.9725938244047618,0.014391611851405084,0.3128548318255012,0.024616689071032916,0.30385483182550127,0.01894851596797134,0.3497097560941846,0.02521027944327924,0.3497097560941846,0.02521027944327924,0.9879999999999999,0.016902292743885376,0.0,0.0,0.011999999999999997,0.01690229274388537,0.0,0.0,1.7376908896414824,0.18989186045806442,5.082966188781314,0.7201187662300501,9.628793231178262,2.1054923841078934,0.9684375,0.015267791875382629,0.016928783224789534,0.0046493401605056175,0.11791851881764996,0.06703104169391123,1.8990328845919606,0.06677102477732749,0.12572379848390472,0.0008632241286229657,0.48156163506088023,0.043887289367317596,0.016928783224789534,0.0046493401605056175,1.0,0.0,6.8500625,0.12102909967751556,0.0,0.0,0.3012697928416042,0.018673580319452727,0.27191806959590403,0.013922613367745142,0.5823104588388865,0.04292750847415252,1.4748747725039721,0.022534423828123422
false_split_dropout,100,0.9981509708553237,0.05712663275723702,0.0083125,0.009963017552428581,1.8754773894700887,0.6716871042619202,4.102918919927997,0.5854141233597169,0.968475818452381,0.013452769488395558,0.2821670065773848,0.01564610106026755,0.2805263815773848,0.014804266876319295,0.31821669099060074,0.01677946129185885,0.31821669099060074,0.01677946129185885,0.9978125,0.005821230003186613,0.0,0.0,0.0021875,0.005821230003186612,0.0,0.0,1.748678490583112,0.16927081861366453,5.1152674744071795,0.6908044595025591,9.662770817898252,2.1968824605510395,0.9676250000000001,0.016114337560073643,0.013772711033358209,0.002454018753479879,0.07042170751380722,0.03851647301349227,1.9158039469847978,0.062164573701377804,0.12572373823162306,0.0008632427470737062,0.4249852496591874,0.01942669213038204,0.013772711033358209,0.002454018753479879,1.0,0.0,7.5596875,0.12418287610918824,0.0,0.0,0.27793346105490674,0.014791271900319572,0.2708350704842147,0.013663206403892037,0.5755926513953836,0.03525659052747745,1.3756005724635907,0.015208167956125616
unmodelled_count,100,0.6390679675463418,0.04058070540574709,0.00775,0.008344159634139318,1.6305967958021594,0.16535928024854554,4.29934910013768,0.653166285708134,0.9722918154761905,0.013264864758442569,0.8946125375992804,0.02630077453565516,0.5208781625992804,0.02494368616045567,0.6279599332411824,0.03254095832633482,0.6279196339872348,0.03247681428814855,0.5016875,0.008189885148767348,0.0,0.0,0.49831250000000005,0.008189885148767343,0.0,0.0,7.182755377483833,0.7277607874637121,24.22073817155648,2.910390640268104,38.121140278970664,5.902945759290313,0.6189375,0.02650847447044058,0.4020202207650562,0.01567854512821493,0.9963145951480975,0.003511674184715641,5.028226472637469,0.1467663439452413,0.13003599037286345,0.009340695142414897,3.1851339464933206,0.09864357122569932,0.4020202207650562,0.01567854512821493,1.0000624999999999,0.0006218671481916465,7.752625,0.07382506772770343,0.0,0.0,,,,,,,1.0944741958449595,0.023414880502903183
unmodelled_offset,100,0.9368599395567917,0.043052718378025,0.0069375,0.010189416997551921,1.8413793284272717,0.6542780351898461,4.561299556239795,0.6894129013092843,0.9664226190476191,0.01473618687731109,0.9839227114694745,0.028599527188836783,0.6452039614694745,0.02490764043337735,0.7967905320862111,0.03810419891803181,0.7967905320862111,0.03810419891803181,0.5483750000000001,0.01959791124074195,0.0,0.0,0.451625,0.019597911240741957,0.0,0.0,11.326779200405426,0.8100697531742119,35.73113024981158,3.212252895299006,56.06382164543194,10.362906610835056,0.5516875,0.016626762124659147,0.13158146935904327,0.014720807611593596,0.49035518417299195,0.05625945820320099,2.956351397155982,0.08622703637419624,0.12580885446271073,0.000904808674119123,1.482848132480859,0.10031586102509069,0.13158146935904327,0.014720807611593596,1.0,0.0,7.8503750000000005,0.06113394617559054,0.0,0.0,,,,,,,1.1828239466901869,0.02048216678761499
