algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,p95_nees,max_nees,coverage95_rate,rejoin_window_nees,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,partition_selection_rate,mean_topology_components,mean_observer_component_size,mean_topology_visibility_fraction,mean_topology_live_support,mean_topology_retained_support,mean_topology_unknown_support,mean_topology_probation_agents,topology_rejoin_events,topology_merge_grace_rate,topology_epoch_changes,mean_duplicate_support_suppressed,topology_selection_blocked_rate,max_primary_support_jump,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_topology_resilient,11001,3.998616073966648,1.445054271373769,0.52265625,1.422477542405233,1.0049775424052327,0.45,0.0,0.55,0.05,0.031746031746031744,0.0125,0.2281250000000125,151,1.4452178621308371,3.6242362388881126,5.190290130894168,138.68455153530698,0.95859375,0.0,1.9405286619038329,3.708077847637545,4.773857584436282,1.9759884645619181,8.0,1.0,0.0,0.4375,0.0,2.10625,5.38125,0.67265625,5.275,2.1753307030711615,0.340625,0.0,0,0.1875,17,33.1875,0.1875,0.625,,2834,544128,0.7199999999999999,0.0,0.0,0.0,0.0,0,4.3875,0.94375,4.9,0.6125,0.046875000000012504,0.03125,0.03125,0.15625,1.5301104957098426,128.3985184732655,0.7296163749415427,asymmetric_partition,1.6242362388881126,0.008593750000000067
flocking_topology_resilient,11002,1.2093846148434144,0.6048715677242784,0.575,1.0286441115319316,0.6111441115319314,0.45,0.0,0.55,0.05,0.11538461538461539,0.0375,0.24375,140,0.5988486498176249,1.2342037216576518,3.516001895863981,6.551419151147092,0.98203125,0.0,2.0245161710370305,3.68909269511004,4.814219358737521,1.9726263899967063,8.0,1.0,0.0,0.4375,0.0,2.03125,5.38125,0.67265625,5.34375,3.120103182796778,0.33203125,0.0,0,0.35625,38,33.58125,0.35625,0.75,,2828,542976,0.7199999999999999,0.0,0.0,0.0,0.0,0,3.45625,0.875,4.96875,0.62109375,0.046875,0.0,0.0,0.075,1.5288507307804806,176.7128165018692,0.7295861670281738,asymmetric_partition,0.7657962783423482,0.03203125000000007
flocking_topology_resilient,11003,1.1373713083523047,0.6428621776912058,0.63984375,0.9988960549911615,0.5907710549911617,0.4625,0.0,0.5375,0.05,0.018867924528301886,0.00625,0.3390625,139,0.664866300481154,1.6487970434261463,4.830875082854982,6.467887933051005,0.9800000000000001,0.0,2.0579934147250953,3.7166232537765964,4.91594361230486,1.895595457496396,8.0,1.0,0.0,0.4375,0.0,1.75,5.7875,0.7234375,5.70625,3.101588095428334,0.28671875,0.0,0,0.19375,16,36.58125,0.19375,0.625,,3216,617472,0.7199999999999999,0.0,0.0,0.0,0.0,0,3.725,0.86875,5.35,0.66875,0.04375,0.0,0.0,0.1375,1.5802426699914423,122.37373871198501,0.7906146252062172,asymmetric_partition,0.3512029565738537,0.030000000000000138
flocking_topology_resilient,11004,1.2696374853833645,0.6710001157571966,0.615625,1.03556826335548,0.6180682633554797,0.45,0.0,0.55,0.05,0.038461538461538464,0.0125,0.2359375,140,0.6739337741564183,1.747939841862523,4.715776280172316,10.227730988722065,0.95,0.0,2.0098527263851786,3.691484323107651,4.763169399150828,1.9441727087989862,8.0,1.0,0.0,0.4375,0.0,2.1625,5.40625,0.67578125,5.3125,1.7336783395344895,0.3359375,0.0,0,0.11875,10,33.3375,0.11875,0.625,,2855,548160,0.7199999999999999,0.0,0.0,0.0,0.0,0,3.6625,0.875,4.925,0.615625,0.0484375,0.025,0.01875,0.14375,1.5531534935936373,163.35562365747626,0.7252919168677181,asymmetric_partition,0.25206015813747706,0.0
flocking_robust_active,11000,3.5386225066786006,3.2612350227487448,0.8321428571428571,2.284892696728982,2.1614551967289826,0.84375,0.0,0.15625,0.0625,0.18181818181818182,0.025,0.8424107142857142,25,3.328722120193684,32.30888822366781,121.41695850759854,139.79435695689145,0.69296875,0.0,2.127170555126503,3.677366389427713,15.45437746029335,3.426545445236317,7.0625,1.0,0.0,0.4375,0.8285714285714286,1.0,7.0625,1.0,4.95625,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,2646,508032,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.2875,0.28125,4.21875,0.8915178571428571,0.10770089285714286,1.83125,0.69375,1.3,1.5473594115507896,161.06878608581917,0.41743070795200765,failure_partition,30.308888223667807,0.25703124999999993
flocking_robust_active,11001,2.274657680059658,0.6727131720093737,0.76,1.0164220326377393,0.6804845326377394,0.56875,0.0,0.43125,0.125,0.2727272727272727,0.01875,0.5560416666666667,78,0.9313927884468906,3.2943611849078933,4.6831523916045175,143.21746583837304,0.9619791666666668,0.0,1.923555912232366,3.6901702800863836,9.619952203243914,2.9212932755356134,7.0625,1.0,0.0,0.4375,0.18571428571428572,1.0,7.0625,1.0,6.85,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,2562,491904,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.475,5.29375,0.765,0.23395833333333335,0.0625,0.0625,0.1875,1.7070353324431988,131.04544044143853,0.6369770830497146,failure_partition,1.2943611849078933,0.011979166666666874
flocking_robust_active,11002,2.2493567145058675,0.8126763258102014,0.7690625,0.9230896493313768,0.5974646493313769,0.575,0.0,0.425,0.06875,0.0,0.0,0.5662499999999999,76,0.8325567423430312,2.3160054187521313,3.893936973436195,127.14843713201014,0.9672991071428572,0.0,1.9668855886516454,3.683993963245991,16.512925322115052,4.691640942680472,7.0625,1.0,0.0,0.4375,0.2,1.0,7.0625,1.0,6.5375,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,2593,497856,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.46875,0.46875,5.00625,0.7690625,0.23093750000000002,0.35625,0.20625,0.38125,1.697900780821189,166.03677435166048,0.5969476660247892,failure_partition,0.3160054187521313,0.017299107142857206
flocking_robust_active,11003,2.264733510547951,0.6709973761073775,0.7677083333333333,1.0091199485125142,0.691932448512514,0.59375,0.0,0.40625,0.125,0.23076923076923078,0.01875,0.5768229166666666,76,1.1170774295601709,3.9776541064112374,5.722273726648711,128.79524717146163,0.9432812500000001,0.0,2.1908451582204065,3.7092493381723246,10.19683200724953,3.3309927521773814,7.0625,1.0,0.0,0.4375,0.24285714285714285,1.0,7.0625,1.0,6.74375,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,2530,485760,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.4625,5.21875,0.7703125,0.22708333333333336,0.1,0.09375,0.275,1.7092124367101735,128.3070524445251,0.6236281250603497,failure_partition,1.9776541064112374,0.0067187499999998845
flocking_robust_active,11004,2.1581781458344227,0.6923252066625462,0.7669642857142857,0.9400231979604727,0.6050231979604727,0.5625,0.0,0.4375,0.06875,0.0,0.0,0.5589285714285714,76,0.7170739775528515,1.8910243080010651,4.827174955375932,10.227730988722065,0.94609375,0.0,2.1556710898566074,3.679447404093094,14.097778961696253,4.8989385678238015,7.0625,1.0,0.0,0.4375,0.18571428571428572,1.0,7.0625,1.0,6.48125,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,,2590,497280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.46875,0.46875,4.94375,0.7669642857142857,0.2330357142857143,0.33125,0.25625,0.44375,1.6869211446139363,154.10539813516647,0.5928556248545647,failure_partition,0.10897569199893486,0.00390625
flocking_topology_support,11000,3.60122386572357,3.2751870964579974,0.496875,2.7877845952487426,2.1655970952487427,0.18125,0.0,0.81875,0.08125,0.0,0.0,0.08125,25,3.258069144166364,31.08595137926679,119.78839796106949,139.1567710064123,0.68046875,0.0,2.149955059596989,3.6782592565943846,15.621498750786461,3.4044438430451067,7.0625,1.0,0.0,0.4375,0.0,1.6,7.0625,0.8828125,4.9375,0.0,0.3828125,0.0,0,0.0,16,28.93125,0.0,0.125,,2636,506112,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.2875,0.28125,4.2,0.525,0.09140625,1.8625,0.69375,1.30625,1.545772324523924,161.0260872649558,0.4356253328733146,failure_partition,29.08595137926679,0.26953125
flocking_topology_support,11001,2.188603875514373,0.6852147467404607,0.66171875,0.9710304100146081,0.6166554100146081,0.5375,0.0,0.4625,0.075,0.0,0.0,0.34453125,75,0.6972024234654862,1.8611581738661223,4.549833623002884,7.054423228988925,0.9657812499999998,0.0,1.9152776612871478,3.6902109373955,10.055156481513539,4.3352068810394115,7.0625,1.0,0.0,0.4375,0.14285714285714285,1.8125,7.0625,0.8828125,6.85,0.0,0.14375,0.0,0,0.0,20,42.7375,0.0,0.125,,2537,487104,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.475,0.46875,5.3,0.6625,0.19296875,0.0625,0.0625,0.1875,1.7079869153437333,122.52593286399832,0.6527260409202427,failure_partition,0.13884182613387774,0.015781249999999858
flocking_topology_support,11002,2.2596060608770268,0.6608299147585207,0.62578125,0.9475839588299376,0.5932089588299375,0.5375,0.0,0.4625,0.075,0.0,0.0,0.271875,76,0.6595560343861974,1.5905317791707083,3.8963083276754475,7.844832952743055,0.9780133928571428,0.0,1.9503084372215362,3.6823367611351863,16.70343024316709,4.73719055697202,7.0625,1.0,0.0,0.4375,0.14285714285714285,1.81875,7.0625,0.8828125,6.55625,0.0,0.18046875,0.0,0,0.0,12,40.38125,0.0,0.125,,2620,503040,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.475,0.475,5.00625,0.62578125,0.19375,0.35625,0.20625,0.3625,1.7004038022359205,165.52871963291315,0.6143952498678118,failure_partition,0.4094682208292917,0.028013392857142883
flocking_topology_support,11003,2.127301832603295,0.6721513106998395,0.65,0.9642357794548623,0.5986107794548623,0.525,0.0,0.475,0.09375,0.16666666666666666,0.00625,0.3265625,76,0.697916789840471,1.8950936499373732,5.093229939943932,9.437466549576898,0.9646354166666666,0.0,2.1752146982454192,3.704372724819539,10.728025974462064,3.063836473622353,7.0625,1.0,0.0,0.4375,0.08571428571428572,1.63125,7.0625,0.8828125,6.74375,0.0,0.15703125,0.0,0,0.0,10,41.83125,0.0,0.125,,2539,487488,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.4625,5.21875,0.65234375,0.18828125,0.1,0.09375,0.275,1.710619082039671,122.16985863739134,0.6568473749794066,failure_partition,0.10490635006262683,0.014635416666666679
flocking_topology_support,11004,2.162219405733558,0.6745822037124913,0.615625,0.9946208088556204,0.5989958088556204,0.4875,0.0,0.5125,0.1125,0.0,0.0,0.25,76,0.678787045782508,1.6931187569253763,4.544202139323933,10.227730988722065,0.9669270833333334,0.0,2.081611751134491,3.6769678263702597,14.505549827608892,4.288797851856889,7.0625,1.0,0.0,0.4375,0.05714285714285714,1.85625,7.0625,0.8828125,6.48125,0.0,0.18984375,0.0,0,0.0,10,39.8375,0.0,0.25,,2617,502464,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.46875,0.46875,4.925,0.615625,0.19453125,0.34375,0.25625,0.4375,1.6871754192105375,152.08784076880738,0.6133561248425394,failure_partition,0.3068812430746237,0.01692708333333348
flocking_topology_rejoin,11000,3.60122386128242,3.2751870915747427,0.4946614583333334,2.7859095779348655,2.1655970779348657,0.18125,0.0,0.81875,0.0625,0.0,0.0,0.07682291666666667,25,3.2579630433300193,31.08360348486557,119.78839796106949,139.1567710064123,0.68046875,2.7319657054090305,2.150645356435235,3.684979242120881,15.62418208941782,3.4475415098976874,7.0625,1.0,0.0,0.4375,0.0,1.6,7.0625,0.8828125,4.919791666666667,0.0,0.38502604166666665,0.05,2,0.0,16,28.83125,0.0,0.125,,2636,506112,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.2875,0.28125,4.1875,0.5227864583333334,0.09140625,1.88125,0.69375,1.31875,1.5423665129399275,161.02608405086852,0.43500883295200765,failure_partition,29.08360348486557,0.26953125
flocking_topology_rejoin,11001,2.1884301442467464,0.684659639150648,0.6618489583333333,0.9705298467560339,0.6161548467560338,0.5375,0.0,0.4625,0.075,0.0,0.0,0.3447916666666667,75,0.698161273120813,1.8701053165020702,4.667860772790456,7.054423228988925,0.9673437499999998,2.083534713351894,1.9147525375877599,3.67945103104496,10.058180255803972,4.309200409909195,7.0625,1.0,0.0,0.4375,0.14285714285714285,1.8125,7.0625,0.8828125,6.851041666666667,0.0,0.14361979166666666,0.05,2,0.0,20,42.8375,0.0,0.125,,2537,487104,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.475,0.46875,5.3125,0.6626302083333333,0.19296875,0.025,0.025,0.15625,1.6979349769998595,122.47989844840372,0.6715400828979909,failure_partition,0.12989468349792976,0.01734374999999988
flocking_topology_rejoin,11002,2.2596060608770268,0.6608299147585206,0.6272135416666667,0.9475839588299373,0.5932089588299373,0.5375,0.0,0.4625,0.075,0.0,0.0,0.27473958333333337,76,0.6586803992697738,1.5857961354155816,3.8963083276754475,7.844832952743055,0.97890625,0.9199817150607295,1.9514273257453645,3.663531048555219,16.70519529794837,4.710290993296608,7.0625,1.0,0.0,0.4375,0.14285714285714285,1.81875,7.0625,0.8828125,6.567708333333333,0.0,0.17903645833333331,0.05,2,0.0,12,40.58125,0.0,0.125,,2620,503040,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.475,0.475,5.03125,0.6272135416666667,0.19375,0.28125,0.18125,0.33125,1.6953979411831086,165.52871963291315,0.6282130000181496,failure_partition,0.4142038645844184,0.028906250000000022
flocking_topology_rejoin,11003,2.128163718932191,0.6748741453467204,0.6510416666666667,0.967568120759568,0.6019431207595681,0.525,0.0,0.475,0.09375,0.16666666666666666,0.00625,0.32864583333333336,76,0.6992503291375408,1.9016123447216564,5.093229939943932,7.753276392998885,0.9646354166666666,0.6322025025092418,2.1793450154674594,3.698649027984126,10.731585762914214,3.0451469311034365,7.0625,1.0,0.0,0.4375,0.08571428571428572,1.63125,7.0625,0.8828125,6.752083333333334,0.0,0.15598958333333332,0.05,2,0.0,10,41.98125,0.0,0.125,,2539,487488,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.4625,5.2375,0.6533854166666667,0.18828125,0.0625,0.0625,0.2625,1.6992300764591242,122.14652504619515,0.6543558749835938,failure_partition,0.09838765527834359,0.014635416666666679
flocking_topology_rejoin,11004,2.1622194056375794,0.6745822034048523,0.6162760416666667,0.9946208085525317,0.5989958085525318,0.4875,0.0,0.5125,0.1125,0.0,0.0,0.25130208333333337,76,0.6790684822665417,1.6938126743603523,4.5442021425835915,10.227730988722065,0.9669270833333334,1.6098531443056543,2.081506606393211,3.6589612693403217,14.507297808328389,4.263661113883031,7.0625,1.0,0.0,0.4375,0.05714285714285714,1.85625,7.0625,0.8828125,6.486458333333334,0.0,0.18919270833333332,0.05,2,0.0,10,39.9875,0.0,0.25,,2617,502464,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.46875,0.46875,4.94375,0.6162760416666667,0.19453125,0.26875,0.2,0.4125,1.681848017329046,152.08784075291473,0.6134012921247631,failure_partition,0.3061873256396477,0.01692708333333348
flocking_topology_partition,11000,3.7415158960332247,3.556401246676601,0.4368489583333396,3.0433423409174813,2.4230298409174815,0.18125,0.0,0.81875,0.0625,0.0,0.0,-0.11536458333332708,17,3.553730932540539,37.31414254630489,129.130246014249,152.52798089711013,0.62421875,2.7319657054090305,2.150645356435235,3.684979242120881,15.62418208941782,3.4475415098976874,7.0625,1.0,0.0,0.4375,0.0,1.6,5.9125,0.7390625,3.913541666666667,0.0,0.5108072916666667,0.05,2,0.0,16,21.83125,0.00625,0.25,,2636,506112,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.1625,0.15625,3.50625,0.4368489583333396,0.0515625,1.88125,0.69375,1.31875,1.5423665129399275,161.02608405086852,0.40818370785564184,failure_partition,35.31414254630489,0.3257812499999999
flocking_topology_partition,11001,3.41864416412251,2.74803242706311,0.5696614583333333,2.019238987201266,1.6098639872012661,0.4625,0.0,0.5375,0.0625,0.0,0.0,0.1986979166666667,15,2.748378095107078,21.418668661028264,121.59409422404018,147.24457613571306,0.80546875,2.083534713351894,1.9147525375877599,3.67945103104496,10.058180255803972,4.309200409909195,7.0625,1.0,0.0,0.4375,0.0,1.8125,5.475,0.684375,5.294791666666667,0.0,0.33815104166666665,0.05,2,0.0,20,31.8375,0.0,0.375,,2537,487104,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.29375,0.29375,4.78125,0.5962239583333333,0.065625,0.025,0.025,0.15625,1.6979349769998595,122.47989844840372,0.6358540840446949,failure_partition,19.418668661028264,0.14453125
flocking_topology_partition,11002,1.4320048479575618,0.6744061250252884,0.5037760416666791,1.0082685995619955,0.5988935995619956,0.4625,0.0,0.5375,0.0625,0.0,0.0,0.007552083333345827,26,0.6525192450592266,1.5732981344374883,4.371921432662801,7.855052806329203,0.9768229166666668,0.9199817150607295,1.9514273257453645,3.663531048555219,16.70519529794837,4.710290993296608,7.0625,1.0,0.0,0.4375,0.0,1.81875,4.9875,0.6234375,4.511458333333333,0.0,0.4360677083333333,0.05,2,0.0,12,26.73125,0.0125,0.5,,2620,503040,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.1625,0.1625,4.05625,0.5037760416666791,0.06015625,0.28125,0.18125,0.33125,1.6953979411831086,165.52871963291315,0.591428125044331,failure_partition,0.42670186556251166,0.026822916666666807
