seed,algorithm,step,target_x,target_y,team_estimate_x,team_estimate_y,team_position_error,mean_agent_squared_error,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_momentum,messages,bytes_sent
0,independent_kf,0,0.0,0.0,-0.5129955746708682,-0.9041983209562167,1.039586005702239,3.620262268584658,3.3343669286054705,0.875,1.6075559010686364,3.011671467129925,17.236592544431478,2.6420065086353506,0.0,0,0
0,independent_kf,1,0.8080052831305411,0.151311251464413,0.9570119364138485,-0.6467871589735436,0.8118891891547052,0.7570110800551522,1.100680860257597,1.0,2.5411397974589622,3.1479900152414215,14.455854017803862,1.176832603513046,0.0,0,0
0,independent_kf,2,1.6173199822271094,0.30845369257960753,0.19197053209713236,0.6518417815528827,1.4661297468623116,1.56039956740254,2.5509302449564113,0.875,1.8348522026077796,3.269145375760421,12.138016690321255,1.681971518024751,0.0,0,0
0,independent_kf,3,2.4362388147232905,0.4819545839202862,2.0365910211426574,0.7781300689452377,0.49743168057898524,1.805697159400646,3.1493679214584605,0.875,2.119897992946601,3.3728037956875596,10.223289260638866,1.7987729214989294,0.0,0,0
0,independent_kf,4,3.262660957336011,0.6514762189120046,2.389612975136191,0.5787832776713332,0.8760690857058001,1.0721877821536843,2.130378849204271,1.0,2.715801932018949,3.4619147804145545,8.571818851749933,1.2448568587664417,0.0,0,0
0,independent_kf,5,4.072495478719428,0.805696660257488,2.8089720467465487,0.42551528445190695,1.3194807090874603,1.2434625024805956,3.0615088588192845,0.875,1.039452481730645,3.533492265880227,7.1805878868633926,1.4141841435930034,0.0,0,0
0,independent_kf,6,4.845476184638142,0.957698780545655,4.673750328263535,-0.48678891616249576,1.4546595738140284,1.1258005139423664,3.2079320113363803,0.875,2.0104489572996895,3.590435967686088,5.9824535980198155,1.3783300353835213,0.0,0,0
0,independent_kf,7,5.573820119033208,1.097812663100872,5.7714292711431545,0.27863532598852647,0.8426748403957991,1.0731725590969423,2.9710130230683016,0.875,1.8629877142893658,3.6185193728203635,4.985647748955132,1.3605912389839643,0.0,0,0
0,independent_kf,8,6.279786929301894,1.2248194517676816,6.698917691713381,0.47615649385057096,0.858001643679563,0.567204617415791,1.649309999532353,1.0,1.772515215537385,3.632333717206932,4.125625713974175,1.0381121690185096,0.0,0,0
0,independent_kf,9,6.984095883989539,1.3609039055979102,6.568885748271312,1.5256201399880698,0.4466888118979727,0.5027240916971096,1.3710932719143796,1.0,2.899885223452097,3.63663186392976,3.4414285236202673,0.8162553565926605,0.0,0,0
0,independent_kf,10,7.691943537095062,1.5271005699280433,7.344836086553898,1.4965915652077237,0.3484456651907309,0.41016906618611426,1.1587176149010259,1.0,0.998555826942004,3.6352962764035217,2.8639385745559887,0.752054549477818,0.0,0,0
0,independent_kf,11,8.389869573495202,1.7147719035162103,8.687942920947437,1.6766852394004943,0.3004967794250779,0.8590146797511673,2.443564821034717,0.875,1.3832771746561099,3.6312605747869497,2.3897904631737545,1.1076985201757135,0.0,0,0
0,independent_kf,12,9.090774053747406,1.9080122667025508,8.884114871471262,1.7138263097800872,0.2835775087783543,0.6746383337483501,1.970688670108286,1.0,3.042576354035381,3.6248391590035047,1.9776208720746633,1.0286557063154131,0.0,0,0
0,independent_kf,13,9.793678170653335,2.090906216407672,10.44680014231223,2.9109683225644005,1.0483654743541542,0.7449598762208995,2.213035273740131,0.875,0.8020196532358631,3.6195931898852693,1.6885931257288909,1.1596204950866138,0.0,0,0
0,independent_kf,14,10.481566974121499,2.2650310379529386,11.351420088804563,3.3193129868823847,1.3668046198935306,0.9029138500692635,2.760243002038223,0.875,0.841642758918395,3.620715690935686,1.4766101557970663,1.2406767751447114,0.0,0,0
0,independent_kf,15,11.151113977474587,2.4392936038556847,11.662844697785438,2.5985092544003447,0.5359271904729426,0.616589756111141,1.8331476988528284,1.0,1.399247189805069,3.6241740374175127,1.2933561306633428,1.0487168454688194,0.0,0,0
0,independent_kf,16,11.80605044090951,2.617702044881107,11.74057678043115,2.3358907747219892,0.28931711357113116,0.6222503332513944,1.8329896088391244,1.0,1.9049941194550493,3.6270756514333464,1.112569788263141,0.9504338498463426,0.0,0,0
0,independent_kf,17,12.461679830751832,2.8073132145781003,12.51850652821164,1.5982950780233502,1.2103528940199668,0.7424757469656056,2.2473502764764217,1.0,1.9365521907215482,3.6305697258926424,0.9160601782454058,0.8039987242951945,0.0,0,0
0,independent_kf,18,13.111819602007753,2.9997463727169333,13.042867753837603,2.00806359206953,0.9940770064731633,0.5944496907602748,1.7874645696747207,1.0,1.9735196303950966,3.6325996039781536,0.7641420875928556,0.7865576286938136,0.0,0,0
0,independent_kf,19,13.763586209021712,3.2092272497498664,12.930159827782113,2.4256913623181915,1.143909095968502,0.4300385085362686,1.300251383096624,1.0,2.4595328243103864,3.632617596071708,0.623026319675118,0.8282653001357899,0.0,0,0
0,independent_kf,20,14.409414190260136,3.4563000632822973,15.06558838688655,3.3878200572137556,0.659737893067744,0.5597490602720051,1.677809192017496,1.0,2.0839255183333525,3.630516660838101,0.44476970941340654,0.8791017266885639,0.0,0,0
0,independent_kf,21,15.056327295144538,3.7320633165077215,14.954149434102932,2.788260687073916,0.9493175014784055,0.5083420678819106,1.5351465338852814,1.0,2.180078608858004,3.626831386265523,0.3764002037382689,0.7759084345951858,0.0,0,0
0,independent_kf,22,15.723369538205334,4.013668927060196,15.144549176596122,3.0001457043484288,1.1671599436193247,0.6275112940359271,1.879652498846134,1.0,1.3666410363874024,3.621279210086499,0.3485623348499699,0.8616534229957841,0.0,0,0
0,independent_kf,23,16.41194273518946,4.315853731386589,15.823141328802237,3.857161655337647,0.7463816160608862,0.6631164645182906,1.9579153826161244,0.875,1.6159965814940769,3.614510919757536,0.2971941182942682,1.0666114142101695,0.0,0,0
0,independent_kf,24,17.14126162659112,4.658980561727787,17.01224449021091,4.17514378890188,0.5007428923293246,0.6673662381445753,1.9621838960748366,1.0,2.1380336746364974,3.6055930730179124,0.30382727298903645,1.005167664550606,0.0,0,0
0,independent_kf,25,17.897568208999346,5.003442206224637,17.833045351917193,4.593166410629811,0.4153184652011169,0.7536010174324344,2.2065650806746713,1.0,0.7714594940242778,3.5917203770872863,0.35876038208937694,1.1501716618417828,0.0,0,0
0,independent_kf,26,18.65828636987681,5.341005804506414,19.23913299416811,6.44893459602343,1.2509552382171611,1.1345719020415852,3.2853767996678176,1.0,1.8124493544743598,3.581188217255878,0.43250141307857953,1.5059312216646672,0.0,0,0
0,independent_kf,27,19.4028443357934,5.691714365228921,20.654224767988875,5.381762167196445,1.289194846075215,0.6136493548543014,1.7841631241469074,1.0,1.5129387467741768,3.5768016349788283,0.5479252519996453,1.0608291759648758,0.0,0,0
0,independent_kf,28,20.136671079598404,6.056062485753238,20.383529366929857,6.406904384057345,0.428986073934629,0.3358098994013289,0.9583936494381818,1.0,2.0734906532090562,3.575461761649807,0.5928344573967184,0.7865112975712825,0.0,0,0
0,independent_kf,29,20.861069645004218,6.420839858176604,21.176397932697057,6.911151158175081,0.5829554870875602,0.2704837379385313,0.7805329077621888,1.0,1.8466627888049243,3.571988312023811,0.5753770564992086,0.6789664893346098,0.0,0,0
