algorithm,runs,position_rmse_mean,position_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,information_gain_mean,information_gain_std,spatial_diversity_mean,spatial_diversity_std,estimate_disagreement_mean,estimate_disagreement_std,recovery_steps_mean,recovery_steps_std,messages_mean,messages_std,bytes_sent_mean,bytes_sent_std,mean_momentum_mean,mean_momentum_std,runtime_seconds_mean,runtime_seconds_std
independent_kf,3,0.9111346144233307,0.03169255520038392,0.8636790870602971,0.04054678276990421,1.804676396381743,0.06927528295833024,0.9635416666666666,0.004101045767714491,1.7463712507868872,0.008878829687949447,3.408125944486582,0.05744822376814106,1.102982149405143,0.02967934593323235,1.0542069978608315,0.04441243587335206,2.6666666666666665,1.247219128924647,0.0,0.0,0.0,0.0,0.0,0.0,0.22902780561707914,0.009880673308312661
consensus_kf,3,0.8278702531311116,0.018931576048297677,0.8179822881556903,0.013473659670781492,1.6895873706445304,0.06468425135761842,0.9723958333333332,0.0037376823162519343,1.7375927044955715,0.012515865457856287,3.41113325933012,0.06018945700677489,0.8736054507036842,0.025886276144157082,0.5610708738887301,0.038713270567071426,3.0,2.160246899469287,3840.0,0.0,614400.0,0.0,0.0,0.0,0.748773180336381,0.004187914359147712
flocking_only,3,0.4581618587427357,0.01001380384009215,1.3462519239293573,0.05159909446756439,1.9926261939769148,0.014411735320260213,0.9523437499999999,0.003551609816923426,,,3.3830235112167077,0.05725610841464439,4.8661333051902815,0.01734315116826289,1.6815707128836133,0.06860678144694997,0.3333333333333333,0.4714045207910317,3840.0,0.0,245760.0,0.0,0.0,0.0,0.04290302765245239,0.0007813758350600701
flocking_kf_no_momentum,3,0.7317650238778368,0.05897298861402357,0.7566389371218065,0.0335139621521045,1.6746096412776552,0.10526279760914839,0.9653645833333333,0.008660567264747865,1.7614500111584783,0.03798493029021531,3.385725906543294,0.052432644105725394,4.862566956964507,0.01811076641993898,0.5978527156766678,0.01946085730694755,1.0,0.816496580927726,3840.0,0.0,737280.0,0.0,0.0,0.0,0.7636053749981025,0.005090901177547975
flocking_fixed_momentum,3,0.6636656724008948,0.010310810120350792,0.6772332562518723,0.0192544190225277,1.7090643252890025,0.07282783987293882,0.9731770833333333,0.005499664604672628,1.7264383755780564,0.03424703118046443,3.6989504232750634,0.01278643302615493,4.762952526487202,0.0044438077297017575,0.4359953271186719,0.01606803389036538,1.6666666666666667,0.9428090415820634,3840.0,0.0,737280.0,0.0,0.7199999999999999,0.0,0.7556017635700604,0.003722568707240207
flocking_adaptive_momentum,3,0.6726381414604724,0.03597144726801135,0.6771382213414198,0.03941773205673051,1.7540833972127776,0.17992919420339662,0.9721354166666666,0.014745195486345885,1.7473314024070044,0.05103852171221065,3.721786141041808,0.009305094904165825,4.747121767521307,0.0131975699950509,0.3524419098983865,0.032934076075536146,0.3333333333333333,0.4714045207910317,3840.0,0.0,737280.0,0.0,0.8475899750656058,0.0029005623672661795,0.7566354727217307,0.0010466405912066617
