algorithm,seed,position_rmse,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,runtime_seconds
independent_kf,0,0.9534920357628799,0.9209793979434802,1.9026327501740632,0.9578125,1.7410745380921955,3.327402281010143,1.141840875959814,1.1154913967553926,1,0,0,0.0,0.24273475003428757
independent_kf,1,0.8772667853526583,0.8331399718513643,1.7571166013877544,0.965625,1.7588790721762035,3.4564385772774364,1.0972930514254176,1.011654150681116,4,0,0,0.0,0.22452620789408684
independent_kf,2,0.9026450221544541,0.8369178913860469,1.754279837583411,0.9671875,1.7391601420922627,3.4405369751721664,1.0698125208301978,1.0354754461459859,3,0,0,0.0,0.219822458922863
consensus_kf,0,0.836660834787721,0.8336028642397594,1.6357584177535376,0.97578125,1.755166852837354,3.3264652145212024,0.8383173084455319,0.5080592892410511,1,3840,614400,0.0,0.7486298750154674
consensus_kf,1,0.8453759009382303,0.8196222625167546,1.7805558199062212,0.9671875,1.7269801674287257,3.4610598928356398,0.8828109674012461,0.5757274089845655,2,3840,614400,0.0,0.7539724579546601
consensus_kf,2,0.8015740236673836,0.800721737710557,1.6524478742738318,0.97421875,1.7306310932206348,3.4458746706335175,0.8996880762642749,0.5994259234405733,6,3840,614400,0.0,0.7437172080390155
flocking_only,0,0.47219021023926755,1.4191846145315445,2.0129647676822557,0.95625,,3.3024529350132044,4.846437332590219,1.7784467327970617,1,3840,245760,0.0,0.042491375003010035
flocking_only,1,0.4494688689073591,1.3118632710870164,1.9835988296856086,0.94765625,,3.430285877063536,4.863323138537727,1.6284836960371127,0,3840,245760,0.0,0.04222074989229441
flocking_only,2,0.4528264970815805,1.3077078861695106,1.981314984562879,0.953125,,3.4163317215733833,4.888639444442897,1.6377817098166652,0,3840,245760,0.0,0.04399695806205273
flocking_kf_no_momentum,0,0.79467850098479,0.7941138931631899,1.6967955422499315,0.971875,1.7933119386759735,3.3117382714398027,4.846554836362757,0.6253463781043106,1,3840,737280,0.0,0.756842042086646
flocking_kf_no_momentum,1,0.7477228493088504,0.7630311077451232,1.7909969802063639,0.953125,1.782974295027816,3.426979494126499,4.853260917859108,0.5830282270877152,2,3840,737280,0.0,0.7691245418973267
flocking_kf_no_momentum,2,0.6528937213398703,0.7127718104571061,1.5360364013766705,0.97109375,1.7080637997716455,3.4184599540635814,4.8878851166716535,0.5851835418379774,0,3840,737280,0.0,0.7648495410103351
flocking_fixed_momentum,0,0.6767225410801108,0.7044387816054962,1.8120581403006952,0.9671875,1.7748362583595267,3.6808998373804096,4.758879701887132,0.4487873169964807,1,3840,737280,0.7199999999999999,0.7556125000119209
flocking_fixed_momentum,1,0.6515151527517976,0.66263373858129,1.6573507548177937,0.971875,1.7038276481895416,3.708909293184034,4.76913384114322,0.4458642120095549,1,3840,737280,0.7199999999999999,0.7601555828005075
flocking_fixed_momentum,2,0.662759323370776,0.6646272485688304,1.657784080748519,0.98046875,1.700651220185101,3.7070421392607464,4.760844036431254,0.4133344523499802,3,3840,737280,0.7199999999999999,0.7510372078977525
flocking_adaptive_momentum,0,0.7216253373569731,0.7318364022007651,2.0006490254123235,0.953125,1.8035425970929704,3.7092059177310928,4.7563148780924225,0.39830328270126925,1,3840,737280,0.8438220129912242,0.7555288341827691
flocking_adaptive_momentum,1,0.6362656333567666,0.6404768723912233,1.5763412805747983,0.97421875,1.6800132784706734,3.7247325013827437,4.756592152883305,0.33654904374898714,0,3840,737280,0.8508781424950242,0.7563374999444932
flocking_adaptive_momentum,2,0.6600234536676778,0.6591013894322711,1.6852598856512109,0.9890625,1.7584383316573688,3.731420004011588,4.728458271588194,0.3224734032449029,0,3840,737280,0.8480697697105694,0.7580400840379298
