scenario,arm,runs,decision_loss_mean,decision_loss_std,position_rmse_mean,position_rmse_std,best_hypothesis_rmse_mean,best_hypothesis_rmse_std,selection_rate_mean,selection_rate_std,mixture_rate_mean,mixture_rate_std,abstention_rate_mean,abstention_rate_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_residual_mass_mean,mean_residual_mass_std,cross_diagnostic_rate_mean,cross_diagnostic_rate_std,strong_floor_rate_mean,strong_floor_rate_std,ramp_diagnostic_rate_mean,ramp_diagnostic_rate_std,influence_cap_rate_mean,influence_cap_rate_std,trust_alert_rate_mean,trust_alert_rate_std,mean_raw_trust_mean,mean_raw_trust_std,minimum_raw_trust_mean,minimum_raw_trust_std,mean_raw_only_precision_fraction_mean,mean_raw_only_precision_fraction_std,mean_trust_residual_mass_mean,mean_trust_residual_mass_std,strategic_alert_rate_mean,strategic_alert_rate_std,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,quarantine_rate_mean,quarantine_rate_std,mean_sensor_speed_mean,mean_sensor_speed_std,shadow_max_decision_loss_difference_mean,shadow_max_decision_loss_difference_std,shadow_action_difference_rate_mean,shadow_action_difference_rate_std,runtime_seconds_mean,runtime_seconds_std
stable_control,m9c_baseline,150,0.27384442085587263,0.014585718242001547,0.30878094856334914,0.01590644607020244,0.30878094856334914,0.01590644607020244,0.9988333333333332,0.004043169823569403,0.0,0.0,0.0011666666666666665,0.004043169823569402,0.0,0.0,1.7245300273825463,0.16864196672773868,5.089263862372235,0.6563781287061282,0.9690833333333334,0.015774892146135963,0.012824631480370193,0.001898771507317549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004124999999999999,0.011292281656069336,0.9542808193752038,0.1676136508600009,0.0,0.0,0.0,0.0,26.427459922268365,0.2893053728729753
stable_control,cross_channel,150,0.27384442085587263,0.014585718242001547,0.30878094856334914,0.01590644607020244,0.30878094856334914,0.01590644607020244,0.9988333333333332,0.004043169823569403,0.0,0.0,0.0011666666666666665,0.004043169823569402,0.0,0.0,1.7245300273825463,0.16864196672773868,5.089263862372235,0.6563781287061282,0.9690833333333334,0.015774892146135963,0.012824631480370193,0.001898771507317549,0.09037500000000001,0.025440187204499892,0.0,0.0,0.9989583333333333,0.002543032419944512,0.0,0.0,0.0,0.0,0.9963015593523075,0.0014263101726922796,0.7875292976814942,0.08049695259224666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004124999999999999,0.011292281656069336,0.9542808193752038,0.1676136508600009,0.0,0.0,0.0,0.0,26.427459922268365,0.2893053728729753
stable_control,ramp_rate,150,0.27384442085587263,0.014585718242001547,0.30878094856334914,0.01590644607020244,0.30878094856334914,0.01590644607020244,0.9988333333333332,0.004043169823569403,0.0,0.0,0.0011666666666666665,0.004043169823569402,0.0,0.0,1.7245300273825463,0.16864196672773868,5.089263862372235,0.6563781287061282,0.9690833333333334,0.015774892146135963,0.012824631480370193,0.001898771507317549,0.09037500000000001,0.025440187204499892,0.0,0.0,0.9989583333333333,0.002543032419944512,0.0,0.0,0.0,0.0,0.9999882812500542,0.00014304557295932748,0.9970000000000001,0.03661966684720112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004124999999999999,0.011292281656069336,0.9542808193752038,0.1676136508600009,0.0,0.0,0.0,0.0,26.427459922268365,0.2893053728729753
stable_control,influence_budget,150,0.27386932145568627,0.014513153411610868,0.30883633831628754,0.01586902431304593,0.30883633831628754,0.01586902431304593,0.9988750000000001,0.003823583615754555,0.0,0.0,0.0011250000000000001,0.0038235836157545534,0.0,0.0,1.724046456375742,0.16823068259916624,5.0854451450245595,0.6578236394741764,0.9690833333333334,0.015774892146135963,0.012785272971373288,0.001848002433325918,0.09037500000000001,0.025440187204499892,0.0,0.0,0.9989583333333333,0.002543032419944512,0.007166666666666665,0.006011562932290477,0.0,0.0,1.0,0.0,1.0,0.0,0.009046012981674276,0.0034952344978339835,0.0,0.0,0.0,0.0,0.0,0.0,0.004124999999999999,0.011292281656069336,0.9542808193752038,0.1676136508600009,0.0,0.0,0.0,0.0,26.427459922268365,0.2893053728729753
stable_control,combined,150,0.27384442085587263,0.014585718242001547,0.30878094856334914,0.01590644607020244,0.30878094856334914,0.01590644607020244,0.9988333333333332,0.004043169823569403,0.0,0.0,0.0011666666666666665,0.004043169823569402,0.0,0.0,1.7245300273825463,0.16864196672773868,5.089263862372235,0.6563781287061282,0.9690833333333334,0.015774892146135963,0.012824631480370193,0.001898771507317549,0.09037500000000001,0.025440187204499892,0.0,0.0,0.9989583333333333,0.002543032419944512,0.0,0.0,0.0,0.0,0.9963015593523075,0.0014263101726922796,0.7875292976814942,0.08049695259224666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004124999999999999,0.011292281656069336,0.9542808193752038,0.1676136508600009,0.0,0.0,0.0,0.0,26.427459922268365,0.2893053728729753
failure_partition,m9c_baseline,150,0.3701660889031702,0.04985956454550592,0.40885254136523624,0.046446314998968306,0.40885254136523624,0.046446314998968306,0.9746250000000002,0.030054031204926016,0.0,0.0,0.025375,0.030054031204926012,0.0,0.0,1.697147902406693,0.15358925037551102,4.994324040094795,0.6460202010565673,0.9705416666666667,0.014547634878410836,0.02199570993418502,0.00695872585825203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38908333333333334,0.260350511597133,0.9302532127571358,0.13817880689759068,0.0,0.0,0.0,0.0,21.93065877583033,0.6774162991970522
failure_partition,cross_channel,150,0.3701660889031702,0.04985956454550592,0.40885254136523624,0.046446314998968306,0.40885254136523624,0.046446314998968306,0.9746250000000002,0.030054031204926016,0.0,0.0,0.025375,0.030054031204926012,0.0,0.0,1.697147902406693,0.15358925037551102,4.994324040094795,0.6460202010565673,0.9705416666666667,0.014547634878410836,0.02199570993418502,0.00695872585825203,0.06154166666666666,0.020396290852886845,0.0,0.0,0.850375,0.1129879003477806,0.0,0.0,0.0,0.0,0.9966031602544786,0.0017111831218654938,0.8095047259877958,0.07796503415164012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38908333333333334,0.260350511597133,0.9302532127571358,0.13817880689759068,0.0,0.0,0.0,0.0,21.93065877583033,0.6774162991970522
failure_partition,ramp_rate,150,0.3701660889031702,0.04985956454550592,0.40885254136523624,0.046446314998968306,0.40885254136523624,0.046446314998968306,0.9746250000000002,0.030054031204926016,0.0,0.0,0.025375,0.030054031204926012,0.0,0.0,1.697147902406693,0.15358925037551102,4.994324040094795,0.6460202010565673,0.9705416666666667,0.014547634878410836,0.02199570993418502,0.00695872585825203,0.06154166666666666,0.020396290852886845,0.0,0.0,0.850375,0.1129879003477806,0.0,0.0,0.0,0.0,0.9999577264389181,0.0003985759491167699,0.994,0.05161395160225576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38908333333333334,0.260350511597133,0.9302532127571358,0.13817880689759068,0.0,0.0,0.0,0.0,21.93065877583033,0.6774162991970522
failure_partition,influence_budget,150,0.3689086438946003,0.04909389899025882,0.4117109165596236,0.04712016132410279,0.4117109165596236,0.04712016132410279,0.9790833333333334,0.02862278618319483,0.0,0.0,0.020916666666666667,0.02862278618319483,0.0,0.0,1.683781588776255,0.1558860300991616,4.967981942685205,0.640667532290462,0.9707500000000001,0.014565226854853074,0.02020966610988084,0.006953374420746217,0.06154166666666666,0.020396290852886845,0.0,0.0,0.850375,0.1129879003477806,0.10350000000000001,0.10838655743833427,0.0,0.0,1.0,0.0,1.0,0.0,0.05771729866724409,0.05326877191423332,0.0,0.0,0.0,0.0,0.0,0.0,0.38908333333333334,0.260350511597133,0.9302532127571358,0.13817880689759068,0.0,0.0,0.0,0.0,21.93065877583033,0.6774162991970522
failure_partition,combined,150,0.3701660889031702,0.04985956454550592,0.40885254136523624,0.046446314998968306,0.40885254136523624,0.046446314998968306,0.9746250000000002,0.030054031204926016,0.0,0.0,0.025375,0.030054031204926012,0.0,0.0,1.697147902406693,0.15358925037551102,4.994324040094795,0.6460202010565673,0.9705416666666667,0.014547634878410836,0.02199570993418502,0.00695872585825203,0.06154166666666666,0.020396290852886845,0.0,0.0,0.850375,0.1129879003477806,0.0,0.0,0.0,0.0,0.9966031602544786,0.0017111831218654938,0.8095047259877958,0.07796503415164012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38908333333333334,0.260350511597133,0.9302532127571358,0.13817880689759068,0.0,0.0,0.0,0.0,21.93065877583033,0.6774162991970522
