algorithm,seed,position_rmse,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_kf_no_momentum,1000,0.7504633579925699,0.7788921864415913,1.7823754427490148,0.95859375,1.7470658912072463,3.3876434061717147,4.8504527532721955,0.613940171524682,,3840,737280,0.0,0.8945324998348951,no_change,0.21762455725098517,0.008593750000000067
flocking_kf_no_momentum,1001,0.7060741693191502,0.7344307115747707,1.6231005978827102,0.98359375,1.739158556566639,3.405985940348979,4.89913933710143,0.5817969919815301,,3840,737280,0.0,0.8822668751236051,no_change,0.3768994021172898,0.03359375000000009
flocking_kf_no_momentum,1002,0.6714402654204203,0.7026436285020378,1.640052808698203,0.96875,1.7243641414031785,3.564790065339505,4.8478334449877885,0.5600610216555116,,3840,737280,0.0,0.8834971669130027,no_change,0.3599471913017971,0.018750000000000044
flocking_kf_no_momentum,1003,0.6112433465995193,0.6649571617308212,1.5937855542309012,0.97421875,1.7037567796995279,3.6269783961479605,4.869673651839032,0.5374578379370034,,3840,737280,0.0,0.8827757500112057,no_change,0.4062144457690988,0.024218750000000067
flocking_kf_no_momentum,1004,0.6516359580980731,0.6739798060540848,1.5658093105640338,0.97421875,1.6603780497937959,3.5497725745406044,4.883668332134279,0.5305272077378114,,3840,737280,0.0,0.8918347081635147,no_change,0.43419068943596617,0.024218750000000067
flocking_kf_no_momentum,1005,0.7060708906262217,0.6967843992901892,1.7383106672001865,0.97890625,1.751956421998728,3.6280639864760538,4.874765236306488,0.506805089560399,,3840,737280,0.0,0.8718434581533074,no_change,0.26168933279981355,0.028906250000000022
flocking_kf_no_momentum,1006,0.7085237366673546,0.720580416667996,1.7554124041566794,0.9578125,1.7800659265064815,3.5455467640858678,4.842279236561782,0.5682142540082101,,3840,737280,0.0,0.8798308339901268,no_change,0.24458759584332057,0.0078125
flocking_kf_no_momentum,1007,0.6516410683950907,0.6756447515470917,1.516708457165024,0.98671875,1.7075274098688091,3.511238453104699,4.866639649118367,0.5684924522687702,,3840,737280,0.0,0.880006083054468,no_change,0.483291542834976,0.03671875000000002
flocking_kf_no_momentum,1008,0.6723247860819568,0.6920218103051569,1.6653210613246578,0.96953125,1.679648619436719,3.5494609765060914,4.9019620981240335,0.5359824008743848,,3840,737280,0.0,0.9021939998492599,no_change,0.33467893867534215,0.01953125
flocking_kf_no_momentum,1009,0.6448210348450788,0.6843766840902934,1.643684142808992,0.9828125,1.6618849071557644,3.561968218819904,4.893680235901005,0.5478625315474657,,3840,737280,0.0,0.8815214168280363,no_change,0.3563158571910079,0.03281250000000002
flocking_kf_no_momentum,1010,0.6965325083092894,0.6969990946758395,1.553264362453124,0.98203125,1.6819559773978638,3.5074358776109094,4.889484801255696,0.5563291158533881,,3840,737280,0.0,0.8951425410341471,no_change,0.44673563754687606,0.03203125000000007
flocking_kf_no_momentum,1011,0.6964325026195809,0.7065346861863757,1.717625448381402,0.97890625,1.5731710709104596,3.609422344322256,4.884639019405794,0.5691853539109827,,3840,737280,0.0,0.8934812499210238,no_change,0.28237455161859804,0.028906250000000022
flocking_kf_no_momentum,1012,0.6571700083910373,0.7105619994834153,1.5401983659603142,0.98203125,1.62433409814107,3.437918148328825,4.90173885128246,0.5783829418909915,,3840,737280,0.0,0.8989199169445783,no_change,0.45980163403968577,0.03203125000000007
flocking_kf_no_momentum,1013,0.7285972463466093,0.7367830419568532,1.749881065925246,0.96484375,1.7508778849286977,3.486151656368617,4.858606381556767,0.5709818238577565,,3840,737280,0.0,0.8875826250296086,no_change,0.25011893407475405,0.014843750000000044
flocking_kf_no_momentum,1014,0.702748245756307,0.7018690953282937,1.6177197766936033,0.975,1.6496724948361419,3.492697819243363,4.8940366515279905,0.5466821412376002,,3840,737280,0.0,0.8916544588282704,no_change,0.38228022330639666,0.025000000000000022
flocking_kf_no_momentum,1015,0.709231427751242,0.729922537839812,1.631985257288428,0.975,1.7610892179624487,3.44127175785069,4.876192582338563,0.5891117679199619,,3840,737280,0.0,0.9007734169717878,no_change,0.3680147427115721,0.025000000000000022
flocking_kf_no_momentum,1016,0.7350232691162403,0.7559402789809104,1.8983061861635897,0.95625,1.8189206448181008,3.517649698677616,4.852506168320721,0.591129713465201,,3840,737280,0.0,0.8905638749711215,no_change,0.1016938138364103,0.006250000000000089
flocking_kf_no_momentum,1017,0.723753032056215,0.7225816306568216,1.6551720088184112,0.975,1.7061583703835246,3.4794320274004185,4.896653915529566,0.5869123710049473,,3840,737280,0.0,0.8885446670465171,no_change,0.3448279911815888,0.025000000000000022
flocking_kf_no_momentum,1018,0.6762456065909612,0.6928448086596264,1.65012697742795,0.9734375,1.6379986892348761,3.565245414646765,4.8989548247543855,0.5091451263966664,,3840,737280,0.0,0.8913807501085103,no_change,0.3498730225720501,0.0234375
flocking_kf_no_momentum,1019,0.7304004170852477,0.7469332454225536,1.7004023316632355,0.96953125,1.7153127519952576,3.425743704754153,4.875545649832168,0.5572417927913487,,3840,737280,0.0,0.893656708067283,no_change,0.2995976683367645,0.01953125
flocking_kf_no_momentum,1020,0.7178428393590244,0.7545057100579129,1.8580581104275027,0.96640625,1.7587635280549605,3.512336471574635,4.870611914797908,0.550355415777647,,3840,737280,0.0,0.892156207934022,no_change,0.14194188957249732,0.016406250000000067
