scenario,algorithm,runs,position_rmse_mean,position_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std
no_change,flocking_kf_no_momentum,100,0.6978963996192877,0.052004766730138485,0.7196885123534718,0.04018655603172868,,,3.4885837230097096,0.08469751591939165,0.3452406068639365,0.13185476247011427,0.022992187500000042,0.009692069864673842,0.5664150519020255,0.03379985388662551,0.8944925345759839,0.011852346847805678,737280.0,0.0,1.656481459795536,0.13627827247812932,0.9725703124999999,0.010637570114890839,1.7077013111135895,0.06288829307367591,4.8742508854438915,0.022254535997073006,3840.0,0.0,0.0,0.0
no_change,flocking_fixed_momentum,100,0.650951864202834,0.03517546401273958,0.6594365157652058,0.028695290450189703,,,3.7186466132120035,0.012329675820396024,0.3621684980153128,0.14382242175596086,0.023578125000000033,0.010267051841479385,0.3699144453626222,0.05886177753590352,0.9212902845581994,0.019799147295549786,737280.0,0.0,1.6380015403456476,0.14424987057981534,0.973390625,0.010687328671872361,1.6833876806170232,0.06609424130982645,4.775828370252708,0.029282270737561227,3840.0,0.0,0.7199999999999999,0.0
no_change,flocking_adaptive_momentum,100,0.6528165153050927,0.040612772933482776,0.6582645764593065,0.030283619272634447,,,3.734246364107613,0.005242470563760132,0.3263116756979328,0.14983630417328983,0.02243750000000004,0.010437266090193359,0.3254701275353218,0.024052262290810696,0.9535975066130049,0.025138183939804395,737280.0,0.0,1.674921588269913,0.15249345550595816,0.9718749999999998,0.011569887842477124,1.6951444928408241,0.07444253278344866,4.766113675398213,0.0169023359157544,3840.0,0.0,0.8524194808644738,0.006538336438322551
abrupt_change,flocking_kf_no_momentum,100,0.7544944837871548,0.05011376108052238,0.7782546909553025,0.03957618982595967,1.8,1.685229954635272,3.375855476753773,0.06422774202975817,0.26034619281448745,0.1276346887037725,0.017460937500000037,0.009855136643482879,0.5988572735328862,0.03197283022972953,0.9387364137894474,0.01077419756871633,737280.0,0.0,1.7468055808080007,0.14129168398576505,0.9651640625,0.013117136316159822,1.7850827250192445,0.06651814549932597,4.869165180798596,0.021268947733655636,3840.0,0.0,0.0,0.0
abrupt_change,flocking_fixed_momentum,100,0.6695774885794408,0.03943762104979237,0.6826069328467657,0.030174360949449287,1.06,1.294758664771161,3.6955711444462604,0.01297721321983846,0.27901517153721506,0.14851700008003377,0.018976562500000037,0.009535280269830507,0.42872600419529455,0.043349817732667245,0.9356750308116898,0.010039539488778847,737280.0,0.0,1.7244800919105483,0.15490495636710436,0.9674140624999998,0.012156558780622039,1.756699561991484,0.07048397091282407,4.772949619845344,0.027192563449323057,3840.0,0.0,0.7199999999999999,0.0
abrupt_change,flocking_adaptive_momentum,100,0.6697311772497703,0.039725082682395524,0.6787614240825497,0.03193958945670564,0.95,1.5124483462254175,3.7197762636251617,0.00992848021509128,0.2537499435102625,0.14931873354418898,0.01580468750000003,0.009598796896250537,0.346691057132264,0.030600777373190263,0.9393455990939401,0.012344427147565132,737280.0,0.0,1.7538722603244583,0.16157429802078868,0.9631953125,0.012954102703602005,1.7646349707344584,0.07293632394033758,4.766952268624303,0.018797448753760507,3840.0,0.0,0.8463255857279032,0.006239959081700492
gradual_change,flocking_kf_no_momentum,100,0.731354010518847,0.04535954345422363,0.7552045844197428,0.03602775675600744,1.03,1.3889204440859815,3.3968053645017657,0.06422754589808156,0.3324718838464029,0.12910555917201572,0.022203125000000035,0.010091851117826458,0.5917632574765886,0.029099888300689228,0.9447262546280399,0.0225644229189875,737280.0,0.0,1.670292030909875,0.1360090220388339,0.9714531250000001,0.011601191597606472,1.7254333162671807,0.06467064474418636,4.869561790861897,0.022397089547899412,3840.0,0.0,0.0,0.0
gradual_change,flocking_fixed_momentum,100,0.6615587348342199,0.03493007270369716,0.6702453729065657,0.026208803761472572,0.38,0.5436910887627274,3.7017829383343455,0.012421057225973125,0.3314978808014964,0.1353919256015226,0.022617187500000045,0.010075626507156703,0.42011923827960757,0.04618728570879855,0.9379427345399745,0.019551298302649248,737280.0,0.0,1.6685021191985039,0.1353919256015226,0.9723203125000002,0.010717232377074719,1.7061542615904828,0.06561676344600627,4.773855646523515,0.02803211301637189,3840.0,0.0,0.7199999999999999,0.0
gradual_change,flocking_adaptive_momentum,100,0.6583624626483311,0.03909418576362923,0.6635339982945845,0.029067670977526754,0.36,0.7282856582413251,3.726150436394139,0.00761402534581104,0.3170867849497478,0.14454476524452092,0.021429687500000037,0.010886743277914605,0.3406555163679492,0.028110944632230073,0.9185298420581967,0.01721008616827108,737280.0,0.0,1.684899493435831,0.14882502851457957,0.9706484375000001,0.012304255944813105,1.7134281701760126,0.06988271345303763,4.767373358745612,0.018774020918947643,3840.0,0.0,0.8508606008164071,0.006117607145287531
repeated_changes,flocking_kf_no_momentum,100,0.7225648454094766,0.06009874898650634,0.7492305104552863,0.05348425480015112,0.99,1.1179892664958817,3.5214613403825723,0.07261368116920429,0.19725921352424716,0.1381375293588258,0.014148437500000013,0.00961724461802698,0.555374551007958,0.03301328026499509,0.9221221266058274,0.016241200128583155,737280.0,0.0,1.8538382826681643,0.19138946346174213,0.9566484374999997,0.01576286638092732,1.886861034254215,0.11803725279898669,4.874181973190519,0.021560611362556437,3840.0,0.0,0.0,0.0
