robot,arm,window,start_time,end_time,position_rmse,mean_nees,p95_nees,coverage95_rate,update_rate,maximum_landmarks_used,outage_fraction,outage_rmse,mean_topology_components,mean_topology_edges,minimum_topology_components,maximum_topology_components,mean_clock_alignment_error,runtime_seconds,finite
1,odometry_only,0,1288971842.054,1288971901.554,0.00019247254962250399,1.888049234989818e-08,5.3725881384329274e-08,1.0,0.0,0.0,0.0,0.0,1.0333333333333334,5.85,1,2,0.0,0.04432998214449201,True
1,odometry_only,1,1288971902.054,1288971961.554,1.106822209409361,0.09810967847697544,0.5161195718180972,1.0,0.0,0.0,0.0,0.0,2.316666666666667,3.875,1,5,0.0,0.04432998214449201,True
1,odometry_only,2,1288971962.054,1288972021.554,4.812896738513075,1.50729559166732,2.3191902547868026,1.0,0.0,0.0,0.0,0.0,3.6166666666666667,1.525,2,5,0.0,0.04432998214449201,True
1,odometry_only,3,1288972022.054,1288972081.554,11.454937252380946,6.1350699809476525,8.884704542715031,0.4666666666666667,0.0,0.0,0.0,0.0,3.316666666666667,1.9166666666666667,1,5,0.0,0.04432998214449201,True
1,odometry_only,4,1288972082.054,1288972141.554,10.140548368017834,3.559930317999758,5.052570779903984,1.0,0.0,0.0,0.0,0.0,3.75,1.375,2,5,0.0,0.04432998214449201,True
1,odometry_only,5,1288972142.054,1288972201.554,8.723345099663607,2.221587324105342,3.1940536037175136,1.0,0.0,0.0,0.0,0.0,3.0416666666666665,2.95,2,5,0.0,0.04432998214449201,True
1,odometry_only,6,1288972202.054,1288972261.554,10.52219293161837,2.1195882631199607,2.8036342584413174,1.0,0.0,0.0,0.0,0.0,3.55,1.5083333333333333,2,5,0.0,0.04432998214449201,True
1,odometry_only,7,1288972262.054,1288972321.554,9.239412870569206,0.8207657535428511,1.694729406002811,1.0,0.0,0.0,0.0,0.0,3.275,2.0083333333333333,2,5,0.0,0.04432998214449201,True
1,odometry_only,8,1288972322.054,1288972381.554,11.679622869791208,1.6836769955910602,2.2232243754734564,1.0,0.0,0.0,0.008333333333333333,13.837537014215819,3.8333333333333335,1.1666666666666667,2,5,0.0,0.04432998214449201,True
1,odometry_only,9,1288972382.054,1288972441.554,10.812248549230134,1.4445941012092276,1.8470554895568307,1.0,0.0,0.0,0.0,0.0,3.6,1.5583333333333333,2,5,0.0,0.04432998214449201,True
