scenario,arm,runs,decision_loss_mean,decision_loss_std,position_rmse_mean,position_rmse_std,best_hypothesis_rmse_mean,best_hypothesis_rmse_std,selection_rate_mean,selection_rate_std,mixture_rate_mean,mixture_rate_std,abstention_rate_mean,abstention_rate_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_residual_mass_mean,mean_residual_mass_std,cross_diagnostic_rate_mean,cross_diagnostic_rate_std,strong_floor_rate_mean,strong_floor_rate_std,ramp_diagnostic_rate_mean,ramp_diagnostic_rate_std,influence_cap_rate_mean,influence_cap_rate_std,trust_alert_rate_mean,trust_alert_rate_std,mean_raw_trust_mean,mean_raw_trust_std,minimum_raw_trust_mean,minimum_raw_trust_std,mean_raw_only_precision_fraction_mean,mean_raw_only_precision_fraction_std,mean_trust_residual_mass_mean,mean_trust_residual_mass_std,strategic_alert_rate_mean,strategic_alert_rate_std,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,quarantine_rate_mean,quarantine_rate_std,mean_sensor_speed_mean,mean_sensor_speed_std,shadow_max_decision_loss_difference_mean,shadow_max_decision_loss_difference_std,shadow_action_difference_rate_mean,shadow_action_difference_rate_std,runtime_seconds_mean,runtime_seconds_std
stable_control,m9c_baseline,40,0.2735866904498062,0.012720760275775225,0.3081381404638763,0.014520135515848997,0.3081381404638763,0.014520135515848997,0.9990625,0.0029810600044279443,0.0,0.0,0.0009375,0.002981060004427955,0.0,0.0,1.728883141476785,0.16657471161907988,5.093682162931432,0.6895989387989769,0.9675,0.015699820858850584,0.013048532335161817,0.0019231485793582248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035937499999999997,0.007380228549137215,0.938403022263989,0.1589357324842761,0.0,0.0,0.0,0.0,30.220650201063837,0.4113463763830205
stable_control,cross_channel,40,0.2735866904498062,0.012720760275775225,0.3081381404638763,0.014520135515848997,0.3081381404638763,0.014520135515848997,0.9990625,0.0029810600044279443,0.0,0.0,0.0009375,0.002981060004427955,0.0,0.0,1.728883141476785,0.16657471161907988,5.093682162931432,0.6895989387989769,0.9675,0.015699820858850584,0.013048532335161817,0.0019231485793582248,0.09296875,0.024889894253240615,0.0,0.0,0.99921875,0.002066993211769204,0.0,0.0,0.0,0.0,0.9961487375586288,0.0013138326664682036,0.7876073230419205,0.08317131838822306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035937499999999997,0.007380228549137215,0.938403022263989,0.1589357324842761,0.0,0.0,0.0,0.0,30.220650201063837,0.4113463763830205
stable_control,ramp_rate,40,0.2735866904498062,0.012720760275775225,0.3081381404638763,0.014520135515848997,0.3081381404638763,0.014520135515848997,0.9990625,0.0029810600044279443,0.0,0.0,0.0009375,0.002981060004427955,0.0,0.0,1.728883141476785,0.16657471161907988,5.093682162931432,0.6895989387989769,0.9675,0.015699820858850584,0.013048532335161817,0.0019231485793582248,0.09296875,0.024889894253240615,0.0,0.0,0.99921875,0.002066993211769204,0.0,0.0,0.0,0.0,0.9999560547016234,0.0002744383004003798,0.9887499999999999,0.07025622748198197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035937499999999997,0.007380228549137215,0.938403022263989,0.1589357324842761,0.0,0.0,0.0,0.0,30.220650201063837,0.4113463763830205
stable_control,influence_budget,40,0.2736853836487056,0.012786864632277684,0.30823539302628633,0.014582731449282344,0.30823539302628633,0.014582731449282344,0.9990625,0.0029810600044279443,0.0,0.0,0.0009375,0.002981060004427955,0.0,0.0,1.7288722763597335,0.16675877742156306,5.093949100020168,0.689864792707147,0.9675,0.015699820858850584,0.013020898234488893,0.0019423840901453037,0.09296875,0.024889894253240615,0.0,0.0,0.99921875,0.002066993211769204,0.0084375,0.008094896154367886,0.0,0.0,1.0,0.0,1.0,0.0,0.009796853761887514,0.0032253624019708423,0.0,0.0,0.0,0.0,0.0,0.0,0.0035937499999999997,0.007380228549137215,0.938403022263989,0.1589357324842761,0.0,0.0,0.0,0.0,30.220650201063837,0.4113463763830205
stable_control,combined,40,0.2735866904498062,0.012720760275775225,0.3081381404638763,0.014520135515848997,0.3081381404638763,0.014520135515848997,0.9990625,0.0029810600044279443,0.0,0.0,0.0009375,0.002981060004427955,0.0,0.0,1.728883141476785,0.16657471161907988,5.093682162931432,0.6895989387989769,0.9675,0.015699820858850584,0.013048532335161817,0.0019231485793582248,0.09296875,0.024889894253240615,0.0,0.0,0.99921875,0.002066993211769204,0.0,0.0,0.0,0.0,0.9961487375586288,0.0013138326664682036,0.7876073230419205,0.08317131838822306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035937499999999997,0.007380228549137215,0.938403022263989,0.1589357324842761,0.0,0.0,0.0,0.0,30.220650201063837,0.4113463763830205
failure_partition,m9c_baseline,40,0.3662880854702098,0.03602180884987703,0.4030063443642745,0.034291281277145765,0.4030063443642745,0.034291281277145765,0.9759375,0.02298734366450374,0.0,0.0,0.0240625,0.022987343664503734,0.0,0.0,1.6744594183969224,0.14830494375496558,4.862363653772865,0.5932005380569184,0.97421875,0.012514639864474724,0.02213206033899809,0.005644093370485276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44625000000000004,0.26782836154895917,0.9187293301914867,0.13484718878064414,0.0,0.0,0.0,0.0,24.61213876463007,0.6065290467012996
failure_partition,cross_channel,40,0.3662880854702098,0.03602180884987703,0.4030063443642745,0.034291281277145765,0.4030063443642745,0.034291281277145765,0.9759375,0.02298734366450374,0.0,0.0,0.0240625,0.022987343664503734,0.0,0.0,1.6744594183969224,0.14830494375496558,4.862363653772865,0.5932005380569184,0.97421875,0.012514639864474724,0.02213206033899809,0.005644093370485276,0.06421875,0.02257744916808584,0.0,0.0,0.8496874999999999,0.09208893035403332,0.0,0.0,0.0,0.0,0.9963756991050369,0.0020679160632389626,0.8054424626429875,0.07463582977589679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44625000000000004,0.26782836154895917,0.9187293301914867,0.13484718878064414,0.0,0.0,0.0,0.0,24.61213876463007,0.6065290467012996
failure_partition,ramp_rate,40,0.3662880854702098,0.03602180884987703,0.4030063443642745,0.034291281277145765,0.4030063443642745,0.034291281277145765,0.9759375,0.02298734366450374,0.0,0.0,0.0240625,0.022987343664503734,0.0,0.0,1.6744594183969224,0.14830494375496558,4.862363653772865,0.5932005380569184,0.97421875,0.012514639864474724,0.02213206033899809,0.005644093370485276,0.06421875,0.02257744916808584,0.0,0.0,0.8496874999999999,0.09208893035403332,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44625000000000004,0.26782836154895917,0.9187293301914867,0.13484718878064414,0.0,0.0,0.0,0.0,24.61213876463007,0.6065290467012996
failure_partition,influence_budget,40,0.3655802589975295,0.03301118276437562,0.40614339929693183,0.033991741115237756,0.40614339929693183,0.033991741115237756,0.9798437499999999,0.020371908316048837,0.0,0.0,0.020156249999999997,0.02037190831604884,0.0,0.0,1.6578415830331152,0.14823852620436562,4.7978170483154985,0.6090680312563177,0.975,0.012732217992164603,0.020243546838390546,0.0056838275967948096,0.06421875,0.02257744916808584,0.0,0.0,0.8495312500000001,0.09223131903500839,0.13515625,0.11386058755529721,0.0,0.0,1.0,0.0,1.0,0.0,0.06939015047867962,0.05035724202330887,0.0,0.0,0.0,0.0,0.0,0.0,0.44625000000000004,0.26782836154895917,0.9187293301914867,0.13484718878064414,0.0,0.0,0.0,0.0,24.61213876463007,0.6065290467012996
failure_partition,combined,40,0.3662880854702098,0.03602180884987703,0.4030063443642745,0.034291281277145765,0.4030063443642745,0.034291281277145765,0.9759375,0.02298734366450374,0.0,0.0,0.0240625,0.022987343664503734,0.0,0.0,1.6744594183969224,0.14830494375496558,4.862363653772865,0.5932005380569184,0.97421875,0.012514639864474724,0.02213206033899809,0.005644093370485276,0.06421875,0.02257744916808584,0.0,0.0,0.8496874999999999,0.09208893035403332,0.0,0.0,0.0,0.0,0.9963756991050369,0.0020679160632389626,0.8054424626429875,0.07463582977589679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44625000000000004,0.26782836154895917,0.9187293301914867,0.13484718878064414,0.0,0.0,0.0,0.0,24.61213876463007,0.6065290467012996
flapping_reconnect,m9c_baseline,40,0.3047162807547449,0.021571556431422185,0.34487604651896897,0.028052595394703284,0.34487604651896897,0.028052595394703284,0.9921875,0.01052805032995189,0.0,0.0,0.0078125,0.010528050329951886,0.0,0.0,1.7084258069787228,0.16779158552977338,5.0704589475317015,0.633248672752162,0.96875,0.016712177446401164,0.016243236764745393,0.003807968264354039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.007866997421983815,0.9566899685242456,0.15695418388794252,0.0,0.0,0.0,0.0,28.021012963645624,1.0098689123900833
flapping_reconnect,cross_channel,40,0.3047162807547449,0.021571556431422185,0.34487604651896897,0.028052595394703284,0.34487604651896897,0.028052595394703284,0.9921875,0.01052805032995189,0.0,0.0,0.0078125,0.010528050329951886,0.0,0.0,1.7084258069787228,0.16779158552977338,5.0704589475317015,0.633248672752162,0.96875,0.016712177446401164,0.016243236764745393,0.003807968264354039,0.08031250000000001,0.019889833301211954,0.0,0.0,0.9384374999999998,0.04207856305471944,0.0,0.0,0.0,0.0,0.996402190599024,0.0012130960545166424,0.7909277069530875,0.0791559004494408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.007866997421983815,0.9566899685242456,0.15695418388794252,0.0,0.0,0.0,0.0,28.021012963645624,1.0098689123900833
flapping_reconnect,ramp_rate,40,0.3047162807547449,0.021571556431422185,0.34487604651896897,0.028052595394703284,0.34487604651896897,0.028052595394703284,0.9921875,0.01052805032995189,0.0,0.0,0.0078125,0.010528050329951886,0.0,0.0,1.7084258069787228,0.16779158552977338,5.0704589475317015,0.633248672752162,0.96875,0.016712177446401164,0.016243236764745393,0.003807968264354039,0.08031250000000001,0.019889833301211954,0.0,0.0,0.9384374999999998,0.04207856305471944,0.0,0.0,0.0,0.0,0.9999560547016234,0.0002744383004003798,0.9887499999999999,0.07025622748198197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.007866997421983815,0.9566899685242456,0.15695418388794252,0.0,0.0,0.0,0.0,28.021012963645624,1.0098689123900833
flapping_reconnect,influence_budget,40,0.3047244594704696,0.021728542920421288,0.3450255713229895,0.028029563622696266,0.3450255713229895,0.028029563622696266,0.9923437500000001,0.010503673092661448,0.0,0.0,0.007656250000000001,0.010503673092661443,0.0,0.0,1.7084221264217128,0.16773053093546925,5.077147602679122,0.6315862229466014,0.96875,0.016712177446401164,0.01620402511791411,0.0037788199451832846,0.08031250000000001,0.019889833301211954,0.0,0.0,0.9384374999999998,0.04207856305471944,0.009062500000000001,0.008143008887997115,0.0,0.0,1.0,0.0,1.0,0.0,0.009737906367047959,0.0037217183700929183,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.007866997421983815,0.9566899685242456,0.15695418388794252,0.0,0.0,0.0,0.0,28.021012963645624,1.0098689123900833
flapping_reconnect,combined,40,0.3047162807547449,0.021571556431422185,0.34487604651896897,0.028052595394703284,0.34487604651896897,0.028052595394703284,0.9921875,0.01052805032995189,0.0,0.0,0.0078125,0.010528050329951886,0.0,0.0,1.7084258069787228,0.16779158552977338,5.0704589475317015,0.633248672752162,0.96875,0.016712177446401164,0.016243236764745393,0.003807968264354039,0.08031250000000001,0.019889833301211954,0.0,0.0,0.9384374999999998,0.04207856305471944,0.0,0.0,0.0,0.0,0.996402190599024,0.0012130960545166424,0.7909277069530875,0.0791559004494408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.007866997421983815,0.9566899685242456,0.15695418388794252,0.0,0.0,0.0,0.0,28.021012963645624,1.0098689123900833
admission_censoring_control,m9c_baseline,40,0.33478271416627303,0.027080656068118533,0.37214746588478437,0.02459165572416555,0.37214746588478437,0.02459165572416555,0.9864062499999999,0.015044692533830657,0.0,0.0,0.013593749999999998,0.01504469253383066,0.0,0.0,1.6979506219145428,0.17432617516099702,4.985409426935246,0.556591992680003,0.9712500000000001,0.013462912017836262,0.019081060999404317,0.004698665763752082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09125000000000001,0.08538515678969033,0.9591172781761189,0.15264970196606797,0.0,0.0,0.0,0.0,22.314556717703816,0.778347200418458
