scenario,seed,arm,decision_loss,position_rmse,best_hypothesis_rmse,selection_rate,mixture_rate,abstention_rate,wrong_mode_action_rate,mean_nees,p95_nees,coverage95_rate,mean_residual_mass,cross_diagnostic_rate,strong_floor_rate,ramp_diagnostic_rate,influence_cap_rate,trust_alert_rate,mean_raw_trust,minimum_raw_trust,mean_raw_only_precision_fraction,mean_trust_residual_mass,strategic_alert_rate,nonstrategic_alert_rate,quarantine_rate,mean_sensor_speed,shadow_max_decision_loss_difference,shadow_action_difference_rate,runtime_seconds,trace_fingerprint
stable_control,20012,m9c_baseline,0.2536061041763328,0.2819402099200254,0.2819402099200254,1.0,0.0,0.0,0.0,1.4591028651962885,4.220406086971337,0.99375,0.011428128159749357,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01875,0.7619713609472466,0.0,0.0,30.13344308291562,836729f1ceafa61a8e121bf08fedd7c837f967bcd5d73f10947ae9d373f9bc92
stable_control,20013,m9c_baseline,0.29436078617361755,0.32866128065437683,0.32866128065437683,1.0,0.0,0.0,0.0,1.9944652272834678,5.9824324302928,0.95625,0.012800353567499062,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01875,0.8471072038601861,0.0,0.0,30.31057183397934,e3920a01d2aaf2448519d358b143fc0e21e3b340dd6149ff3da22f6a7caa4f25
stable_control,20014,m9c_baseline,0.2839239260795686,0.31214056696221765,0.31214056696221765,1.0,0.0,0.0,0.0,1.8051300498927945,4.851984207858456,0.98125,0.011626643275107576,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8184352394591583,0.0,0.0,30.81165249994956,9549db86c09743a4f4d462029ef2ef06ee744fe462c9ceb74147f660d9c098e3
stable_control,20015,m9c_baseline,0.2826485190461138,0.3139910398203796,0.3139910398203796,0.99375,0.0,0.00625,0.0,1.8285249116739564,6.101121433469537,0.9375,0.01398805569277431,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00625,0.9119248642611707,0.0,0.0,30.636964208912104,55123d463b2bdd05bf4592baf1f824898d35a3b649a38c88380b2682b2d7172d
stable_control,20016,m9c_baseline,0.28523328054378194,0.31866583257196085,0.31866583257196085,1.0,0.0,0.0,0.0,1.8437343952112921,4.987499491944663,0.98125,0.014571592888185353,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0817098792391058,0.0,0.0,29.91224520886317,39ad4ec9def956be2babc10b41905432e37b107e85d93a911413f401b54b101b
stable_control,20017,m9c_baseline,0.27000897387509,0.3090994716088726,0.3090994716088726,1.0,0.0,0.0,0.0,1.6821973221163433,4.615535627061273,0.96875,0.011767275102190689,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9942665472291765,0.0,0.0,29.94187487498857,d040a7fcb11c0a8d0b4a2eafc986565f95b0987d7e39fa7e61c1b2103ba30132
stable_control,20018,m9c_baseline,0.2674865315363551,0.30314970202505603,0.30314970202505603,1.0,0.0,0.0,0.0,1.643134572682761,4.369564998091326,0.98125,0.016855688557485433,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0778705921903449,0.0,0.0,29.8655247092247,a9a7995cf822fa4519b8636b47f4933a78458a7aee55e0222fa7011cbab01223
stable_control,20019,m9c_baseline,0.2841543266093064,0.3231894913057375,0.3231894913057375,1.0,0.0,0.0,0.0,1.9071543866920186,6.186294314418467,0.94375,0.012550552381246768,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0125,1.0175787450122207,0.0,0.0,29.958337417105213,ac661382c0546fa31959ff75bc0085cff3d2e18cd84b4d8d96b8201ba9d62949
stable_control,20020,m9c_baseline,0.24768518854865706,0.2846197085280038,0.2846197085280038,1.0,0.0,0.0,0.0,1.4749948692166979,4.543690892144375,0.975,0.013044257841656517,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0473339579103036,0.0,0.0,30.244326333049685,0fc588737ea534c06995e0a67c633b4ecf0f6b4f6d36ac84102cd835cb678bea
stable_control,20021,m9c_baseline,0.2519071659030205,0.2949027524415933,0.2949027524415933,1.0,0.0,0.0,0.0,1.474638572577963,5.196797696836777,0.9625,0.010489369859445919,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6857012817424505,0.0,0.0,30.3710199999623,647a09ab98da04e68535691514e5617c1f9b144bb02383bf16234f69b547e2fd
stable_control,20022,m9c_baseline,0.2766179956011019,0.3073220580460141,0.3073220580460141,1.0,0.0,0.0,0.0,1.7085043575339978,4.112453972451628,0.975,0.013929701622686136,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8198143010031433,0.0,0.0,31.00276912515983,bdfbff98a9e639391f1474aa523b3f8b0890e4d81008802c3bb5383dcceb898d
stable_control,20023,m9c_baseline,0.2752073537905235,0.309138912517693,0.309138912517693,1.0,0.0,0.0,0.0,1.773779385585034,5.1008327955819945,0.9625,0.012558544391826913,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01875,1.1106450075771632,0.0,0.0,31.079013040987775,a5f2b5e15a7ec4cb005fad3b9a2bc88f2cef02de10483c4d3240fd0bc2cd326b
stable_control,20024,m9c_baseline,0.2784754513520652,0.3147558326083805,0.3147558326083805,1.0,0.0,0.0,0.0,1.805815111799853,5.868515211453206,0.95,0.011988939234814155,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01875,1.0145495631418797,0.0,0.0,29.753294040914625,d3153614d8968eb645ea6eb77a71ec9c273373bbbac3b5b8f069511b9b1053cb
