scenario,candidate,baseline,metric,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper
stable_control,combined,m9c_baseline,decision_loss,40,0.2735866904498062,0.2735866904498062,0.0,0.0,0.0
stable_control,combined,cross_channel,decision_loss,40,0.2735866904498062,0.2735866904498062,0.0,0.0,0.0
stable_control,combined,ramp_rate,decision_loss,40,0.2735866904498062,0.2735866904498062,0.0,0.0,0.0
stable_control,combined,influence_budget,decision_loss,40,0.2736853836487056,0.2735866904498062,9.869319889940637e-05,2.8596033488804685e-05,0.00018087841871713468
failure_partition,combined,m9c_baseline,decision_loss,40,0.3662880854702098,0.3662880854702098,0.0,0.0,0.0
failure_partition,combined,cross_channel,decision_loss,40,0.3662880854702098,0.3662880854702098,0.0,0.0,0.0
failure_partition,combined,ramp_rate,decision_loss,40,0.3662880854702098,0.3662880854702098,0.0,0.0,0.0
failure_partition,combined,influence_budget,decision_loss,40,0.3655802589975295,0.3662880854702098,-0.0007078264726802563,-0.003773760658428265,0.002232846250778808
flapping_reconnect,combined,m9c_baseline,decision_loss,40,0.3047162807547449,0.3047162807547449,0.0,0.0,0.0
flapping_reconnect,combined,cross_channel,decision_loss,40,0.3047162807547449,0.3047162807547449,0.0,0.0,0.0
flapping_reconnect,combined,ramp_rate,decision_loss,40,0.3047162807547449,0.3047162807547449,0.0,0.0,0.0
flapping_reconnect,combined,influence_budget,decision_loss,40,0.3047244594704696,0.3047162807547449,8.178715724699304e-06,-0.0003010239701220898,0.00022413242171850667
admission_censoring_control,combined,m9c_baseline,decision_loss,40,0.33478271416627303,0.33478271416627303,0.0,0.0,0.0
admission_censoring_control,combined,cross_channel,decision_loss,40,0.33478271416627303,0.33478271416627303,0.0,0.0,0.0
admission_censoring_control,combined,ramp_rate,decision_loss,40,0.33478271416627303,0.33478271416627303,0.0,0.0,0.0
admission_censoring_control,combined,influence_budget,decision_loss,40,0.3358155524472957,0.33478271416627303,0.0010328382810226799,-0.001418066561235938,0.003414465997430156
source_assignment_competition,combined,m9c_baseline,decision_loss,40,1.0446518065812995,1.0446518065812995,0.0,0.0,0.0
source_assignment_competition,combined,cross_channel,decision_loss,40,1.0446518065812995,1.0446518065812995,0.0,0.0,0.0
source_assignment_competition,combined,ramp_rate,decision_loss,40,1.0446518065812995,1.0446518065812995,0.0,0.0,0.0
source_assignment_competition,combined,influence_budget,decision_loss,40,1.0699191136845285,1.0446518065812995,0.025267307103229074,0.01606288937927853,0.03434426839066092
genuine_target_maneuver,combined,m9c_baseline,decision_loss,40,0.2774885541044736,0.2774885541044736,0.0,0.0,0.0
