scenario,algorithm,runs,position_rmse_mean,position_rmse_std,best_hypothesis_rmse_mean,best_hypothesis_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_truth_consistent_flock_weight_mean,mean_truth_consistent_flock_weight_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std,mean_momentum_change_score_mean,mean_momentum_change_score_std,mean_momentum_corroborating_agents_mean,mean_momentum_corroborating_agents_std,mean_momentum_biased_agents_mean,mean_momentum_biased_agents_std,momentum_fallback_rate_mean,momentum_fallback_rate_std,momentum_change_events_mean,momentum_change_events_std,mean_hypothesis_flocks_mean,mean_hypothesis_flocks_std,multiflock_rate_mean,multiflock_rate_std,mean_primary_flock_size_mean,mean_primary_flock_size_std,mean_primary_flock_weight_mean,mean_primary_flock_weight_std,mean_alternative_flock_weight_mean,mean_alternative_flock_weight_std,mean_quarantined_agents_mean,mean_quarantined_agents_std,quarantine_rate_mean,quarantine_rate_std,mean_suspected_bias_agents_mean,mean_suspected_bias_agents_std,mean_bias_estimate_norm_mean,mean_bias_estimate_norm_std
no_change,flocking_fixed_momentum,30,0.650145339886312,0.03883371125338413,0.650145339886312,0.03883371125338413,0.6595709602018147,0.029305141548582908,,,3.724285020050593,0.01027520701068667,0.34373794208981384,0.14218106301514513,0.022291666666666703,0.009788480199604823,0.35938653978431306,0.03917357097150952,0.9523383709369228,0.007839160103042987,737280.0,0.0,1.0,0.0,1.657459938194077,0.14504321276864826,0.9721875000000001,0.010022354570949545,1.6915508062741116,0.06278217842788854,4.774712070593399,0.02658958223667969,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_change,flocking_robust_multiflock,30,0.6429044175311767,0.03400360062406802,0.6428539186859086,0.03394387077004894,0.6540209541832721,0.027194490269538157,,,3.7271225538379813,0.009652160840544068,0.37132539054075814,0.1410540615668319,0.023519345238095287,0.011376410235181574,0.36708170623651815,0.026063970270771297,1.1810701235507925,0.01810330360321131,737280.0,0.0,0.9998177083333334,0.0007461744157236682,1.6300367544216394,0.1445890413062892,0.9729613095238094,0.0124643722352821,1.6755731326540884,0.06587568005169964,4.735828200952102,0.029927844506503733,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0004166666666667,0.001559023911155831,0.0004166666666666667,0.0015590239111558089,7.929374999999999,0.0324819661504657,0.9998697916666667,0.0004975253430870509,0.00013020833333333333,0.0004975253430870521,0.0029166666666666664,0.006601241465731192,0.0029166666666666664,0.006601241465731192,0.06895833333333333,0.032853975110411764,0.2952643761582849,0.010685699422821155
abrupt_change,flocking_fixed_momentum,30,0.6789377924864527,0.038586040705813375,0.6789377924864527,0.038586040705813375,0.6898852235788822,0.029006527139846135,1.5666666666666667,2.2757172251597715,3.695842095022753,0.012997292916648506,0.2380840662722143,0.13723275975683621,0.014427083333333335,0.008128337989541455,0.43241541779440124,0.03816697107926755,0.9772053833119572,0.01320148895234367,737280.0,0.0,1.0,0.0,1.769680839329108,0.14989975714138215,0.9599479166666666,0.01323818590186065,1.7772795897765796,0.07073545269815844,4.773196152139525,0.02634247321939773,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt_change,flocking_robust_multiflock,30,0.6675502090850088,0.03421146626674655,0.6674985568781143,0.03421103382498242,0.6807832724926519,0.02539795047281636,1.1333333333333333,1.3349989596333858,3.6986121825815315,0.012357655775036112,0.28860056682604024,0.10751827625597173,0.01785714285714289,0.008963102867322463,0.4396968636669692,0.03386648805868111,1.221661523512254,0.012224028227496606,737280.0,0.0,0.9998697916666667,0.0007011933342623051,1.720010856761533,0.12828307203195816,0.9660119047619048,0.011951304109857777,1.7413225334024645,0.06805050102302442,4.729225156999069,0.030416353544896798,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002083333333334,0.0011219093348197042,0.00020833333333333335,0.0011219093348196884,7.916041666666667,0.03821142299394538,0.999921875,0.00042071600055737914,7.8125e-05,0.00042071600055738315,0.0027083333333333334,0.005747130926722384,0.0027083333333333334,0.005747130926722384,0.08291666666666668,0.03808342450754951,0.2996649322154225,0.011530803450192372
mixed_dropout,flocking_fixed_momentum,30,0.6830846612377255,0.03511388809112961,0.6830846612377255,0.03511388809112961,0.7011768970409225,0.029101928238511605,1.6666666666666667,1.8499249234015476,3.70532262525638,0.01434263818850895,0.25567135127422763,0.12649973512889975,0.015989583333333366,0.010486872787826508,0.49896219485140086,0.028516589335113206,0.8903342028226082,0.00777791345463788,626611.2,5121.903646106592,1.0,0.0,1.7557786846727645,0.14739732694288013,0.9650520833333333,0.01179305148670418,1.7638894813388133,0.05820274086846589,4.547300771251556,0.024168931885735982,3263.6,26.6765814901385,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed_dropout,flocking_robust_multiflock,30,0.6719666239482266,0.03486829361730368,0.6719666239482266,0.03486829361730368,0.6928869006827886,0.029618799820976885,1.9,2.1501937897160186,3.706881680056077,0.014153364061679267,0.2944051244528454,0.13213813527547727,0.017579365079365115,0.011603766859548961,0.49372351922049246,0.02679642161258471,1.1397703445050866,0.01215191315941921,627033.6,5285.036143679625,1.0,0.0,1.7123346848682777,0.14623108619012118,0.9670188492063492,0.012411295404425517,1.7478065838208356,0.05928569146791797,4.5231573468246244,0.03193491684806367,3265.8,27.526229914998048,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.942083333333334,0.029709239116626478,1.0,0.0,0.0,0.0,0.00020833333333333335,0.0011219093348196884,0.00020833333333333335,0.0011219093348196884,0.05791666666666668,0.02970923911662648,0.2950455366472241,0.011388685370601958
communication_delay,flocking_fixed_momentum,30,2.4864947455267097,0.3639765907739984,2.4864947455267097,0.3639765907739984,2.9917039167101787,0.35607926271202484,16.8,4.585484343738038,3.6140914571940272,0.04622754266347765,27.38263094471771,6.062486127698499,0.6802604166666666,0.05006666020826355,1.2403835700778387,0.1373436486607827,1.0167063736201574,0.012963300943661943,737280.0,0.0,1.0,0.0,29.38263094471771,6.062486127698499,0.2697395833333333,0.050066660208263565,5.694131848873904,0.8019161816736253,4.05461943788736,0.37192432450175744,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication_delay,flocking_robust_multiflock,30,0.6986954682486815,0.03483237972883121,0.6986954682486815,0.03483237972883121,0.7451844233188549,0.019187802115292026,1.3333333333333333,1.577621275493231,3.6900270234297285,0.0376541936063828,0.29466942783768163,0.0657005222906287,0.019714781746031824,0.005925339534981274,0.904718453578888,0.020202979700208564,1.269443573585401,0.013064518315963737,737280.0,0.0,1.0,0.0,1.7053305721623186,0.06570052229062871,0.9697147817460318,0.005925339534981274,1.7426248600735375,0.044623097081100654,3.898379176756338,0.43285873298311417,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.907916666666665,0.04971097017314752,1.0,0.0,0.0,0.0,0.005625000000000001,0.011896909612724361,0.005625000000000001,0.011896909612724361,0.09020833333333332,0.04648261697189129,0.3017987882237818,0.011963729656202161
biased_agents,flocking_fixed_momentum,30,1.3144338143591234,0.4995425520023947,1.3144338143591234,0.4995425520023947,1.3204009566199728,0.45943917068211043,11.366666666666667,20.590423879938836,3.6789044185842577,0.021058212850609284,5.2125110409269775,4.752164867901648,0.21226562499999999,0.1709504191777759,0.7040355553742204,0.19132077926835964,1.0343917153620472,0.0070534723664445005,737280.0,0.0,1.0,0.0,7.17220010545272,4.796007543015252,0.7402864583333332,0.17407174329948324,4.474566639709388,0.6772060904050404,4.833478151977472,0.0798483532510264,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biased_agents,flocking_robust_multiflock,30,0.6692201980535185,0.045290895508724345,0.6632793535282162,0.04590689365598902,0.7035081552801538,0.03858003725993305,1.8333333333333333,1.7527755766846544,3.738827394598866,0.022375264032187776,0.30089581945456484,0.12703113302624006,0.017698164682539718,0.010590850664428306,0.7011754575374929,0.03054849543164718,0.563350573554635,0.02211510671558532,737280.0,0.0,0.9866319444444446,0.009385192504619439,1.7250845757038138,0.1763425995249373,0.9643568948412699,0.014807792591849587,1.6040466199214771,0.052300807166014054,3.123554722847934,0.06431235883257173,3840.0,0.0,0.7199999999999996,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0277083333333334,0.01967730115019728,0.02770833333333333,0.019677301150197286,5.061041666666667,0.1398165030097981,0.9868819444444445,0.00916500668892416,0.013118055555555555,0.009165006688924164,2.2266666666666666,0.1135475915885298,0.9695833333333334,0.003118047822311607,2.7454166666666664,0.09010892328485319,1.0533913056561952,0.013558156103003979
