algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_fixed_momentum,0,0.6993007345667533,0.6993007345667533,1.0,0.6838790924785637,1.7916919194979173,0.97109375,1.704352092005496,3.7258602533018808,4.789297105926861,0.2911338169545254,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.961600957904011,no_change,0.20830808050208272,0.021093750000000022
flocking_fixed_momentum,1,0.6774596007882536,0.6774596007882536,1.0,0.6711185051533021,1.7353972399896107,0.9609375,1.7094169163927226,3.7327816767695623,4.771387633862068,0.33174666863242963,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9603022078517824,no_change,0.2646027600103893,0.010937500000000044
flocking_fixed_momentum,2,0.6351277604286305,0.6351277604286305,1.0,0.6405735896628758,1.5410006585545308,0.97421875,1.6113662318955204,3.7131341014050547,4.8088568892499985,0.3203908669085548,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9609002908691764,no_change,0.45899934144546917,0.024218750000000067
flocking_fixed_momentum,3,0.6673727244582242,0.6673727244582242,1.0,0.6864742437036538,1.7581607013050284,0.9734375,1.7772616550779206,3.720511705632174,4.769367847609101,0.4012023655084162,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9444000420626253,no_change,0.24183929869497156,0.0234375
flocking_fixed_momentum,4,0.5659333582257999,0.5659333582257999,1.0,0.5952877210452822,1.326825023925149,0.98515625,1.5567922319498106,3.720428942368384,4.772492075145683,0.35483889579217226,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9560462499503046,no_change,0.6731749760748511,0.03515625
flocking_fixed_momentum,5,0.6120801865096182,0.6120801865096182,1.0,0.6357675702661375,1.5716886423944054,0.97109375,1.715965594633412,3.7332203960743042,4.778746881136719,0.3352191739389224,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.939646374899894,no_change,0.4283113576055946,0.021093750000000022
flocking_fixed_momentum,6,0.6506037865786659,0.6506037865786659,1.0,0.668456207936043,1.7329696092590368,0.95546875,1.7125965367145894,3.726111975592063,4.773030314367906,0.3535124384640014,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9526987089775503,no_change,0.26703039074096324,0.005468750000000022
flocking_fixed_momentum,7,0.6190609291601201,0.6190609291601201,1.0,0.6310083965557174,1.5573657105118737,0.9796875,1.6498495106592768,3.7420531956447647,4.737662806345896,0.35166780110450574,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9516967500094324,no_change,0.44263428948812633,0.02968750000000009
flocking_fixed_momentum,8,0.649356316787782,0.649356316787782,1.0,0.6606044408047039,1.684877028796341,0.97265625,1.7326562665845784,3.729254689593516,4.793644154052105,0.37156336801259565,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9467354998923838,no_change,0.31512297120365895,0.022656250000000044
flocking_fixed_momentum,9,0.6666427278064997,0.6666427278064997,1.0,0.6804355162263659,1.7339109483114492,0.97421875,1.758004497008431,3.7250191443173732,4.774333755959442,0.3810904943203754,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9482502092141658,no_change,0.2660890516885508,0.024218750000000067
flocking_fixed_momentum,10,0.6461355717651676,0.6461355717651676,1.0,0.6527991946109737,1.6463348007140133,0.96171875,1.6676449081179272,3.737697399653206,4.757626150017441,0.3365799980493103,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.943148042075336,no_change,0.3536651992859867,0.01171875
flocking_fixed_momentum,11,0.6831755180283691,0.6831755180283691,1.0,0.6608766021337305,1.6355814221590397,0.97890625,1.6873502713223754,3.7157636844794446,4.772478188722803,0.35980617481635063,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.954711833037436,no_change,0.3644185778409603,0.028906250000000022
flocking_fixed_momentum,12,0.636383702140631,0.636383702140631,1.0,0.6469586146626145,1.570680688170587,0.97734375,1.6061657033908976,3.716991564176977,4.772486199555764,0.3451622869899976,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9543029589112848,no_change,0.42931931182941296,0.02734375
flocking_fixed_momentum,13,0.6723425337402378,0.6723425337402378,1.0,0.6765673788931771,1.6988651485520356,0.96015625,1.7533241513567261,3.711827939006409,4.773878317300783,0.4161842722568482,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.950524999992922,no_change,0.30113485144796437,0.010156250000000089
flocking_fixed_momentum,14,0.6564989567755298,0.6564989567755298,1.0,0.6726440270040387,1.6872432095612762,0.97421875,1.7197047367040068,3.719786526274883,4.760835991833149,0.39836009924405424,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9580500419251621,no_change,0.31275679043872384,0.024218750000000067
flocking_fixed_momentum,15,0.6479934823744865,0.6479934823744865,1.0,0.6604964353116788,1.6103917628389368,0.97734375,1.719412528751659,3.705553109382337,4.762200197546727,0.4630407286299919,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.947676041861996,no_change,0.3896082371610632,0.02734375
flocking_fixed_momentum,16,0.6973023704989963,0.6973023704989963,1.0,0.6998919490622878,1.87042776948837,0.95859375,1.7671029333976151,3.72168356220118,4.7779620959615965,0.37635226631320506,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9553123340010643,no_change,0.12957223051163003,0.008593750000000067
flocking_fixed_momentum,17,0.6813316509434346,0.6813316509434346,1.0,0.6719175129109383,1.7618824009904461,0.965625,1.7020749568599975,3.7391275533204875,4.778354270578729,0.3361695767385699,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9641338749788702,no_change,0.23811759900955387,0.015625
flocking_fixed_momentum,18,0.6184004679663458,0.6184004679663458,1.0,0.6260214232888144,1.4864780708656573,0.98671875,1.740018015830892,3.723044072461569,4.766974341421843,0.35167032152528266,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9557153747882694,no_change,0.5135219291343427,0.03671875000000002
flocking_fixed_momentum,19,0.7110938001585795,0.7110938001585795,1.0,0.698102406682508,1.8685386905487893,0.96640625,1.7609167576271951,3.7301132464855407,4.7605749209120365,0.3473376595291865,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9527537920512259,no_change,0.1314613094512107,0.016406250000000067
flocking_fixed_momentum,20,0.6073850269329595,0.6073850269329595,1.0,0.6309472199015755,1.5619484106414863,0.978125,1.6241825086548798,3.7362499356449077,4.783066136411586,0.3451090393181553,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9491202919743955,no_change,0.43805158935851374,0.028125000000000067
flocking_fixed_momentum,21,0.6131573411695522,0.6131573411695522,1.0,0.6333833736724934,1.5614302494089363,0.9796875,1.6864540031025599,3.737994914632157,4.761068489120023,0.3519632319034637,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9482402079738677,no_change,0.43856975059106373,0.02968750000000009
flocking_fixed_momentum,22,0.6689619687217329,0.6689619687217329,1.0,0.6896710140071914,1.7704206589674514,0.9703125,1.7158716813877533,3.7148385674981355,4.765226956220479,0.3812011078503946,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9547740840353072,no_change,0.22957934103254862,0.020312500000000067
flocking_fixed_momentum,23,0.6087576956944115,0.6087576956944115,1.0,0.6301859099778029,1.5277773673666524,0.98828125,1.611546194677814,3.7265688026174337,4.767043977044915,0.34993112518611963,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9676625831052661,no_change,0.4722226326333476,0.038281250000000044
flocking_fixed_momentum,24,0.6980274819833421,0.6980274819833421,1.0,0.6967729471939978,1.8847233614369352,0.95546875,1.6519936218112552,3.73806464066775,4.791829638478676,0.34453523922734625,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9457371251191944,no_change,0.1152766385630648,0.005468750000000022
flocking_fixed_momentum,25,0.7474010843484511,0.7474010843484511,1.0,0.7358776477374208,2.0179682042583633,0.9484375,1.780854001200656,3.702954758545701,4.896607814807069,0.26449702522238383,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9495904168579727,no_change,0.01796820425836332,0.0015624999999999112
