algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,scenario,rho,rho_label,tau,scenario_timescale,runtime_seconds,tau_to_timescale
flocking_fixed_momentum,8000,0.7025342371514884,0.7025342371514884,1.0,0.6204537080184258,0.6204537080184258,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7207358421504964,1.734004885778679,0.96328125,1.718066092494039,3.5257417389851,4.824400628846551,0.5860551699855355,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,144.996938395137,no_change,0.0,rho_0_00,0.0,160.0,6.809673249954358,0.0
flocking_fixed_momentum,8001,0.6261846145600167,0.6261846145600167,1.0,0.5609080416109165,0.5609080416109165,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6864751000349233,1.4988115439738532,0.98984375,1.622676697187987,3.476085816336358,4.907918952677416,0.5987656336474694,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,161.11585500831364,no_change,0.0,rho_0_00,0.0,160.0,6.798727916087955,0.0
flocking_fixed_momentum,8002,0.6232124398937768,0.6232124398937768,1.0,0.5493199431781545,0.5493199431781545,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6816381341852573,1.405404108429215,0.9828125,1.682277552510956,3.422048860903294,4.86670669511325,0.5817252926177456,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,171.2704899720408,no_change,0.0,rho_0_00,0.0,160.0,6.567223625024781,0.0
flocking_fixed_momentum,8003,0.6808714821377732,0.6808714821377732,1.0,0.5941863107537344,0.5941863107537344,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6927711752504829,1.5616356347667961,0.97109375,1.6789805098518027,3.5040051936917798,4.880438716734072,0.5330961205355926,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,150.93636479884412,no_change,0.0,rho_0_00,0.0,160.0,6.102538541890681,0.0
flocking_fixed_momentum,8004,0.6496674747951858,0.6496674747951858,1.0,0.5635183541218032,0.5635183541218032,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6807057131685248,1.5504057743257862,0.9828125,1.6481473188155948,3.529048887146986,4.861179560942524,0.5447945078822123,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,150.1114559097777,no_change,0.0,rho_0_00,0.0,160.0,6.1186229169834405,0.0
flocking_fixed_momentum,8005,0.6396553698761244,0.6396553698761244,1.0,0.5687280573449326,0.5687280573449326,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.685036663399755,1.397207071474427,0.984375,1.644493626009016,3.420261798370914,4.835006834834799,0.6002681406801532,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,178.8040507493931,no_change,0.0,rho_0_00,0.0,160.0,6.31528520793654,0.0
flocking_fixed_momentum,8006,0.6980356711890287,0.6980356711890287,1.0,0.6239967120671398,0.6239967120671398,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7214546961637845,1.6777524710880811,0.97265625,1.6635899037346973,3.5119723426630607,4.875886939671537,0.53697024409937,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,153.3909540736202,no_change,0.0,rho_0_00,0.0,160.0,6.065153707982972,0.0
flocking_fixed_momentum,8007,0.658230785910285,0.658230785910285,1.0,0.5790036617100383,0.5790036617100383,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6999968076702963,1.5163674027516816,0.97265625,1.6347848175588908,3.471436040034572,4.898987281740199,0.5480876749854093,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,171.8627033442256,no_change,0.0,rho_0_00,0.0,160.0,6.775694958167151,0.0
flocking_fixed_momentum,8008,0.6782316240835612,0.6782316240835612,1.0,0.60816208151578,0.60816208151578,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6866971259092087,1.592368201046002,0.98359375,1.6821288872681965,3.529695395444228,4.882605161296597,0.5484442316548443,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,156.29287451844522,no_change,0.0,rho_0_00,0.0,160.0,7.0017096668016165,0.0
flocking_fixed_momentum,8009,0.5956446166486009,0.5956446166486009,1.0,0.5257962041880623,0.5257962041880623,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6513474162013408,1.3481544823661948,0.98125,1.6489561034730769,3.4748069139154554,4.8618850292481355,0.5555800618960351,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,158.94984744269325,no_change,0.0,rho_0_00,0.0,160.0,6.327998749911785,0.0
