scenario,rho,rho_label,tau,scenario_timescale,tau_to_timescale,runs,position_rmse_mean,position_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,information_gain_mean,information_gain_std,spatial_diversity_mean,spatial_diversity_std,estimate_disagreement_mean,estimate_disagreement_std,movement_distance_mean,movement_distance_std,coverage95_rate_mean,coverage95_rate_std,mean_nees_mean,mean_nees_std,runtime_seconds_mean,runtime_seconds_std
no_change,0.0,rho_0_00,0.0,160.0,0.0,30,0.6815995685839096,0.04015779869412324,0.7037158071177897,0.027231122293677933,3.501804612215511,0.0717188994624229,4.8769062888771435,0.02488743114831945,0.5545832527159401,0.03800960168969204,157.81510823943063,18.39088171163528,0.9739843750000002,0.009952176498499802,1.6071812545416828,0.11714755795527594,6.501898163898537,0.28004002155203966
no_change,0.25,rho_0_25,0.7213475204444817,160.0,0.00450842200277801,30,0.6484251254396671,0.04217569545185443,0.6729694113814905,0.028390619101184816,3.5978395190732275,0.04997160077373177,4.808631700716334,0.022133531652225227,0.5446650713703654,0.037750187542268325,138.39476057556158,24.166641803402115,0.9753385416666667,0.01137818202784085,1.600217356176902,0.1377581119986183,6.562104856905838,0.2689901016197718
no_change,0.5,rho_0_50,1.4426950408889634,160.0,0.00901684400555602,30,0.6418550964945847,0.037562659618697786,0.6619644149083472,0.025716402358604198,3.675243664759788,0.026183693655068358,4.777042284079764,0.026541995249040395,0.4925214462509034,0.0671741903777433,140.59161968951392,24.24131546829385,0.9763802083333333,0.008877153066787836,1.6046434252574966,0.13012165197773187,6.64406502766069,0.25311795926414815
no_change,0.72,rho_0_72,3.04410234313819,160.0,0.019025639644613686,30,0.6462153385573277,0.03800287651126832,0.6558935803712217,0.026529224967059582,3.7212679534260116,0.009852198335596826,4.771036427670596,0.02279769770015637,0.37223676242531284,0.04576068667862041,144.62510601501015,24.182571054383853,0.9743229166666667,0.008792061602503834,1.629403866214784,0.14978398876885907,6.729279013847312,0.276824057945733
no_change,0.85,rho_0_85,6.153129380622034,160.0,0.038457058628887715,30,0.634144012480347,0.03353975449171326,0.6419084820814532,0.026367814891411847,3.735890194983222,0.003762857545977697,4.768153408844996,0.012184452274124173,0.3261376109693276,0.022892324000040768,149.3964269781807,23.724699581847045,0.9767968749999999,0.008159357446042657,1.6048473959128275,0.13775098472709024,6.932163579187667,0.3087903832479617
no_change,0.93,rho_0_93,13.779667258736438,160.0,0.08612292036710274,30,0.6374006250856031,0.026027076841040993,0.6461041641327522,0.01936776579460802,3.7329619180910343,0.004692250980903401,4.7683940775623,0.016948908200421484,0.32996022802382874,0.029568828171033838,156.10229906760486,22.668149203295304,0.9747395833333332,0.007862686029419103,1.6176423091691319,0.09449808197581568,6.7599635722038025,0.3627298730330642
abrupt_change,0.0,rho_0_00,0.0,80.0,0.0,30,0.7315411938967463,0.053968717997229,0.760013895825735,0.037196834541953994,3.382349180704202,0.06981528678341054,4.865842986009083,0.020672427486061,0.5929712841609024,0.02615912089721118,188.83827798694387,18.95748362816777,0.9680989583333334,0.010162424672144623,1.6810053505363123,0.13356125235578226,6.693240755532558,0.29369706796144934
abrupt_change,0.25,rho_0_25,0.7213475204444817,80.0,0.00901684400555602,30,0.6950110899092121,0.053491563659745965,0.718200761170409,0.037509786471843415,3.504235933830401,0.05248283685647923,4.8079010262627095,0.024857893471641374,0.5697764957535009,0.019749188390191904,178.81584864416754,22.55924550512741,0.9690624999999999,0.012643383377449512,1.6848305252557092,0.15589901774148845,6.755372825024339,0.27526453633854003
abrupt_change,0.5,rho_0_50,1.4426950408889634,80.0,0.01803368801111204,30,0.6589180874966357,0.03556960663357305,0.687697646191289,0.023905670209575635,3.6186106828102993,0.031104091518385977,4.775731508514563,0.02860344364231376,0.5253641252021956,0.03524825705960882,182.8443150840416,22.614066832024683,0.969140625,0.009020534119845219,1.6784826861193798,0.11645011871008625,6.744043262481379,0.34860828493596924
abrupt_change,0.72,rho_0_72,3.04410234313819,80.0,0.03805127928922737,30,0.6588180078952646,0.027110239987383152,0.6732279576464849,0.0197128674464196,3.6975902149325592,0.01171629104105037,4.769040464239405,0.023211774781210393,0.4324825087340093,0.03554188496974196,188.2677133193072,22.431591557895167,0.9691927083333333,0.009889697933557616,1.6833324863032664,0.10630093249175754,6.747734240240728,0.2890770568623643
