scenario,rho,rho_label,seed,rmse_improvement,diversity_change,disagreement_change,information_change,movement_change
abrupt_change,0.25,rho_0_25,8000,0.0033458497985039415,-0.008336496880137823,-0.05969786011442235,0.12357249385022184,-9.178289235658497
abrupt_change,0.25,rho_0_25,8001,0.009972086732852992,-0.08457768197177451,-0.02405835393193212,0.10534520026687488,-14.588029754776727
abrupt_change,0.25,rho_0_25,8002,0.05422370279781419,-0.053454907328286616,-0.04721770630873856,0.14696351054971224,-0.8450433602984333
abrupt_change,0.25,rho_0_25,8003,0.018166234288894523,-0.06839770486342545,-0.025692244024383193,0.12668741692491148,-5.829063180246209
abrupt_change,0.25,rho_0_25,8004,0.04960119235284255,-0.05780236173715103,-0.005238503593664401,0.05933118231342682,-27.503639143527522
abrupt_change,0.25,rho_0_25,8005,-0.03370863426381476,-0.020930680397892587,-0.07367054622112679,0.1371333399775696,-8.853318954061052
abrupt_change,0.25,rho_0_25,8006,-0.029883341255789175,-0.079087331704768,-0.003703956411122311,0.11817993376776892,-7.791208785631966
abrupt_change,0.25,rho_0_25,8007,0.056528458217795396,-0.0965221791254125,0.004867356781333876,0.12334211602110035,-13.98363888728781
abrupt_change,0.25,rho_0_25,8008,0.020313310040943944,-0.02550760694866039,-0.010666194009158803,0.11940805995649129,-7.01924825680581
abrupt_change,0.25,rho_0_25,8009,0.023889234788324498,-0.06597846743255875,-0.03128944896458408,0.12900274757212982,-1.9990177378585656
abrupt_change,0.25,rho_0_25,8010,0.02790698613159781,-0.07750309621052143,-0.01674946958632506,0.10497303394285629,-10.150346862842582
abrupt_change,0.25,rho_0_25,8011,0.029596735949304676,-0.118637592797457,0.0010153822886769248,0.11690513714836559,-17.452406683251553
abrupt_change,0.25,rho_0_25,8012,0.061894092028548786,-0.05781712908885872,0.008644893595548098,0.14024320872792062,-6.347971405657205
abrupt_change,0.25,rho_0_25,8013,0.020812601669276676,-0.05757151903737423,-0.019271806713100692,0.1377970407812108,-10.714439823059678
abrupt_change,0.25,rho_0_25,8014,0.045372222222864744,-0.08107592960201071,-0.060438817547966206,0.1463060853518292,-4.6642811755369
abrupt_change,0.25,rho_0_25,8015,0.03419752072350746,-0.04206431519445886,-0.027529248007116425,0.11310401832184169,-8.519288601890338
