arm,policy,dose,runs,resolved_mean,resolved_std,resolution_steps_mean,resolution_steps_std,wrong_selection_mean,wrong_selection_std,total_decision_loss_mean,total_decision_loss_std,decision_cost_mean,decision_cost_std,movement_cost_mean,movement_cost_std,movement_distance_mean,movement_distance_std,mean_discriminability_mean,mean_discriminability_std,maximum_discriminability_mean,maximum_discriminability_std,final_truth_probability_mean,final_truth_probability_std,final_entropy_mean,final_entropy_std
passive,passive,0.0,100,0.0,0.0,30.0,0.0,0.0,0.0,6.000000000000001,1.7763568394002505e-15,6.000000000000001,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6931471805599453,0.0
round_robin_dose_0_00,round_robin,0.0,100,0.0,0.0,30.0,0.0,0.0,0.0,6.000000000000001,1.7763568394002505e-15,6.000000000000001,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6931471805599453,0.0
round_robin_dose_0_10,round_robin,0.1,100,1.0,0.0,4.73,0.9365361712181757,0.0,0.0,0.7500922505028264,0.18845630238610356,0.7460000000000001,0.18730723424363507,0.004092250502826394,0.0011500090467731015,0.4092250502826394,0.11500090467731015,1.139083527715684,0.5658246316915352,3.1335770742729454,1.730919371210227,0.9863575504644132,0.014703625550245873,0.06383675130114262,0.06119439114252653
round_robin_dose_0_25,round_robin,0.25,100,1.0,0.0,2.98,0.5287721626560914,0.0,0.0,0.40121026195199994,0.10709553155513095,0.396,0.10575443253121831,0.0052102619519999996,0.0013439355118618492,0.5210261951999999,0.1343935511861849,2.1977041868192115,0.9516712022630021,5.046797143746504,2.617751985018311,0.9910379787793099,0.012832952301408499,0.043096949448255095,0.054939963781374355
round_robin_dose_0_50,round_robin,0.5,100,1.0,0.0,2.18,0.4331281565541542,0.0,0.0,0.24257988800000008,0.08860240498192684,0.236,0.08662563131083086,0.006579888000000001,0.001981641890296024,0.6579888000000002,0.19816418902960242,4.239588406921693,2.190457095921392,8.299921960466884,5.522718632240875,0.9941242784841349,0.011443515021136228,0.0285154169086375,0.048807597590652785
round_robin_dose_1_00,round_robin,1.0,100,1.0,0.0,1.53,0.49909918853871116,0.0,0.0,0.11402872,0.10342533024574588,0.10599999999999998,0.09981983770774225,0.00802872,0.0036054925380036486,0.8028719999999998,0.3605492538003649,8.411357191085145,5.046585889569614,13.770393196138563,10.093171779139228,0.9924419961387456,0.013110726271536333,0.035300940037524084,0.05591198461616685
information_oracle,information_oracle,1.0,100,1.0,0.0,1.53,0.49909918853871116,0.0,0.0,0.11402872,0.10342533024574588,0.10599999999999998,0.09981983770774225,0.00802872,0.0036054925380036486,0.8028719999999998,0.3605492538003649,8.411357191085145,5.046585889569614,13.770393196138563,10.093171779139228,0.9924419961387456,0.013110726271536333,0.035300940037524084,0.05591198461616685
value_of_information,value_of_information,1.0,100,1.0,0.0,1.53,0.49909918853871116,0.0,0.0,0.11402872,0.10342533024574588,0.10599999999999998,0.09981983770774225,0.00802872,0.0036054925380036486,0.8028719999999998,0.3605492538003649,8.411357191085145,5.046585889569614,13.770393196138563,10.093171779139228,0.9924419961387456,0.013110726271536333,0.035300940037524084,0.05591198461616685
