scenario,arm,runs,integrated_loss_mean,integrated_loss_std,integrated_loss_max,decision_loss_mean,decision_loss_std,decision_loss_max,movement_per_step_mean,movement_per_step_std,movement_per_step_max,position_rmse_mean,position_rmse_std,position_rmse_max,abstention_rate_mean,abstention_rate_std,abstention_rate_max,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,wrong_mode_action_rate_max,mean_nees_mean,mean_nees_std,mean_nees_max,p95_nees_mean,p95_nees_std,p95_nees_max,coverage95_rate_mean,coverage95_rate_std,coverage95_rate_max,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_delivery_ratio_max,mean_topology_components_mean,mean_topology_components_std,mean_topology_components_max,quarantine_rate_mean,quarantine_rate_std,quarantine_rate_max,strategic_alert_rate_mean,strategic_alert_rate_std,strategic_alert_rate_max,nonstrategic_alert_rate_mean,nonstrategic_alert_rate_std,nonstrategic_alert_rate_max,mean_raw_trust_mean,mean_raw_trust_std,mean_raw_trust_max,minimum_raw_trust_mean,minimum_raw_trust_std,minimum_raw_trust_max,trust_recovery_cycles_mean,trust_recovery_cycles_std,trust_recovery_cycles_max,post_stop_false_alert_rate_mean,post_stop_false_alert_rate_std,post_stop_false_alert_rate_max,post_stop_decision_loss_mean,post_stop_decision_loss_std,post_stop_decision_loss_max,trust_verification_rate_mean,trust_verification_rate_std,trust_verification_rate_max,action_difference_rate_mean,action_difference_rate_std,action_difference_rate_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_max
stable_control,m9c_receding,2,1.0688920987719928,0.08593694917033701,1.1548290479423298,0.26512666347392,0.006687922297790416,0.2718145857717104,1.004706794122591,0.1157810893351594,1.1204878834577503,0.3006323661634447,0.0008071074781736132,0.3014394736416183,0.0,0.0,0.0,0.0,0.0,0.0,1.6256283522615234,0.06041306893146725,1.6860414211929906,5.184901851903734,0.26362320121678096,5.448525053120515,0.975,0.0,0.975,1.0,0.0,1.0,1.0125,0.012499999999999956,1.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0320926250424236,0.021472249878570437,1.053564874920994
stable_control,closed_loop_trust,2,1.0688920987719928,0.08593694917033701,1.1548290479423298,0.26512666347392,0.006687922297790416,0.2718145857717104,1.004706794122591,0.1157810893351594,1.1204878834577503,0.3006323661634447,0.0008071074781736132,0.3014394736416183,0.0,0.0,0.0,0.0,0.0,0.0,1.6256283522615234,0.06041306893146725,1.6860414211929906,5.184901851903734,0.26362320121678096,5.448525053120515,0.975,0.0,0.975,1.0,0.0,1.0,1.0125,0.012499999999999956,1.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973340194316801,0.0008072422592828588,0.998141261690963,0.807077663713302,0.024476599290374934,0.831554263003677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0751482291379943,0.031443646061234176,1.1065918751992285
failure_partition,m9c_receding,2,1.1188016382703558,0.07724628670836786,1.1960479249787237,0.3323027245873547,0.0010042433506525228,0.33330696793800724,0.9831236421037514,0.09530255419714428,1.0784261963008956,0.3721526849508089,0.019096809655549968,0.3912494946063588,0.015625,0.015625,0.03125,0.0,0.0,0.0,1.55594092509977,0.15186421029785468,1.7078051353976247,4.469639455122692,0.6414195918792156,5.111059047001908,0.96875,0.012499999999999956,0.98125,1.0,0.0,1.0,1.678125,0.028125000000000067,1.70625,0.17812499999999998,0.034375,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7788210836006328,0.024128208518959582,0.8029492921195924
failure_partition,closed_loop_trust,2,1.1188016382703558,0.07724628670836786,1.1960479249787237,0.3323027245873547,0.0010042433506525228,0.33330696793800724,0.9831236421037514,0.09530255419714428,1.0784261963008956,0.3721526849508089,0.019096809655549968,0.3912494946063588,0.015625,0.015625,0.03125,0.0,0.0,0.0,1.55594092509977,0.15186421029785468,1.7078051353976247,4.469639455122692,0.6414195918792156,5.111059047001908,0.96875,0.012499999999999956,0.98125,1.0,0.0,1.0,1.678125,0.028125000000000067,1.70625,0.17812499999999998,0.034375,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.9953086246964938,0.001375441886849238,0.9966840665833431,0.8172282941228626,0.03462722969993548,0.851855523822798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958167919423431,0.008055875077843666,0.8038726670201868
flapping_reconnect,m9c_receding,2,1.1134422223009686,0.11490254344711942,1.228344765748088,0.3052958676700267,0.017424562938836763,0.32272043060886346,1.0101829432886773,0.12184747563535336,1.1320304189240307,0.33481233731839166,0.006379154947308757,0.3411914922657004,0.01875,0.01875,0.0375,0.0,0.0,0.0,1.6313564766639068,0.01205436759789924,1.643410844261806,5.189043640091272,0.27148440585229716,5.460528045943569,0.96875,0.006249999999999978,0.975,1.0,0.0,1.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0027056875405833,0.016793812508694828,1.0194995000492781
flapping_reconnect,closed_loop_trust,2,1.1134422223009686,0.11490254344711942,1.228344765748088,0.3052958676700267,0.017424562938836763,0.32272043060886346,1.0101829432886773,0.12184747563535336,1.1320304189240307,0.33481233731839166,0.006379154947308757,0.3411914922657004,0.01875,0.01875,0.0375,0.0,0.0,0.0,1.6313564766639068,0.01205436759789924,1.643410844261806,5.189043640091272,0.27148440585229716,5.460528045943569,0.96875,0.006249999999999978,0.975,1.0,0.0,1.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956285937917515,0.00034495434180764617,0.9959735481335592,0.8045502691108894,0.02194920468796241,0.8264994737988519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053990166517906,0.0042565836338326335,1.0582467501517385
admission_censoring_control,m9c_receding,2,1.1283631742877176,0.09491370595167004,1.2232768802393876,0.3100372599201964,0.01219347311079777,0.32223073303099414,1.0229073929594015,0.10340029105109033,1.1263076840104917,0.35346851156481435,0.013661201892199715,0.36712971345701406,0.003125,0.003125,0.00625,0.0,0.0,0.0,1.6104703702836956,0.01902440442724751,1.6294947747109432,5.1972536248191386,0.2603163657600187,5.457569990579158,0.978125,0.015625,0.99375,1.0,0.0,1.0,1.609375,0.0031250000000000444,1.6125,0.024999999999999998,0.018749999999999996,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6295192084508017,0.007073458400554955,0.6365926668513566
admission_censoring_control,closed_loop_trust,2,1.1283631742877176,0.09491370595167004,1.2232768802393876,0.3100372599201964,0.01219347311079777,0.32223073303099414,1.0229073929594015,0.10340029105109033,1.1263076840104917,0.35346851156481435,0.013661201892199715,0.36712971345701406,0.003125,0.003125,0.00625,0.0,0.0,0.0,1.6104703702836956,0.01902440442724751,1.6294947747109432,5.1972536248191386,0.2603163657600187,5.457569990579158,0.978125,0.015625,0.99375,1.0,0.0,1.0,1.609375,0.0031250000000000444,1.6125,0.024999999999999998,0.018749999999999996,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.9965864361387923,0.0018291436152982898,0.9984155797540906,0.8401240884902417,0.057523024067314577,0.8976471125575562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6465004375204444,0.01036335458047688,0.6568637921009213
source_assignment_competition,m9c_receding,2,1.8934916974954668,0.07560346066227686,1.9690951581577436,1.0774093986923727,0.008440204319426159,1.085849603011799,1.0201028735038675,0.10505458122712874,1.1251574547309962,1.196092101948584,0.006169246857649968,1.202261348806234,0.0,0.0,0.0,0.0,0.0,0.0,1.6236051988261915,0.09159279980226354,1.7151979986284551,4.672079960349375,0.05303137740338304,4.725111337752758,0.975,0.0,0.975,1.0,0.0,1.0,1.0,0.0,1.0,0.95625,0.006250000000000033,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36095672962255776,0.03479868755675852,0.3957554171793163
source_assignment_competition,closed_loop_trust,2,1.8934916974954668,0.07560346066227686,1.9690951581577436,1.0774093986923727,0.008440204319426159,1.085849603011799,1.0201028735038675,0.10505458122712874,1.1251574547309962,1.196092101948584,0.006169246857649968,1.202261348806234,0.0,0.0,0.0,0.0,0.0,0.0,1.6236051988261915,0.09159279980226354,1.7151979986284551,4.672079960349375,0.05303137740338304,4.725111337752758,0.975,0.0,0.975,1.0,0.0,1.0,1.0,0.0,1.0,0.95625,0.006250000000000033,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.9979552198620686,0.0007393997497482374,0.9986946196118168,0.7895043589306749,0.0069032945077476815,0.7964076534384227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38491024950053543,0.03413008351344615,0.4190403330139816
