robot,arm,window,start_time,end_time,position_rmse,mean_nees,p95_nees,coverage95_rate,update_rate,maximum_landmarks_used,outage_fraction,outage_rmse,mean_topology_components,mean_topology_edges,minimum_topology_components,maximum_topology_components,mean_clock_alignment_error,runtime_seconds,finite
1,bounded_constant_velocity,0,1248272275.518,1248272335.018,0.1952182941367781,0.933638942832571,1.8041263991806111,1.0,0.39166666666666666,2.0,0.0,0.0,2.125,3.9916666666666667,1,4,0.16001242895921072,0.022138045120906707,True
1,bounded_constant_velocity,1,1248272335.518,1248272395.018,0.14380850332310394,0.8540769436803745,1.8742070658168009,1.0,0.675,2.0,0.0,0.0,3.033333333333333,2.3,2,5,0.15334575374921164,0.022138045120906707,True
1,bounded_constant_velocity,2,1248272395.518,1248272455.018,0.2940469714149907,0.9024832440589444,2.4731635095192863,1.0,0.175,2.0,0.525,0.2330565995471148,2.175,3.95,1,5,0.11637078921000163,0.022138045120906707,True
1,bounded_constant_velocity,3,1248272455.518,1248272515.018,0.20821766229010033,1.952249122601026,6.125967130846521,0.9416666666666667,0.6916666666666667,2.0,0.0,0.0,2.05,3.841666666666667,1,4,0.24046656787395476,0.022138045120906707,True
1,bounded_constant_velocity,4,1248272515.518,1248272575.018,0.3202108076334276,3.7591517206307,11.452086249817835,0.7333333333333333,0.925,2.0,0.0,0.0,2.65,2.9166666666666665,1,5,0.23940822780132293,0.022138045120906707,True
1,bounded_constant_velocity,5,1248272575.518,1248272635.018,0.40392930258779114,3.877334965725662,14.099330643355312,0.75,0.6,2.0,0.03333333333333333,0.20111244052023206,2.65,2.6,1,5,0.2144374112288157,0.022138045120906707,True
1,bounded_constant_velocity,6,1248272635.518,1248272695.018,0.22138054237130017,0.6094191361851103,2.048563666012742,1.0,0.44166666666666665,2.0,0.05,0.3226027982822567,2.9916666666666667,2.1666666666666665,1,5,0.2046499212582906,0.022138045120906707,True
1,bounded_constant_velocity,7,1248272695.518,1248272755.018,0.3707955684545545,1.3485542810905382,7.327944348419374,0.9083333333333333,0.35833333333333334,2.0,0.475,0.33306266174984483,2.7,2.8833333333333333,1,5,0.08584995766480764,0.022138045120906707,True
1,bounded_constant_velocity,8,1248272755.518,1248272815.018,0.20533004295478494,0.6949205563722216,2.853641054365775,1.0,0.35833333333333334,2.0,0.31666666666666665,0.23392363665752094,2.066666666666667,3.8916666666666666,1,3,0.09082495470841725,0.022138045120906707,True
1,bounded_constant_velocity,9,1248272815.518,1248272875.018,0.3824059763881556,1.8832511285529976,5.087360496994458,0.9833333333333333,0.4583333333333333,2.0,0.18333333333333332,0.37906480863611863,2.683333333333333,3.058333333333333,1,5,0.15643326540788013,0.022138045120906707,True
1,bounded_constant_velocity,10,1248272875.518,1248272935.018,0.32963993092960253,2.2515806817776673,14.11682742421345,0.8583333333333333,0.2833333333333333,2.0,0.3,0.1785739426830171,2.9,2.566666666666667,2,4,0.13857077757517497,0.022138045120906707,True
1,bounded_constant_velocity,11,1248272935.518,1248272995.018,0.4247492768587564,3.751934938026018,10.14066516451334,0.7416666666666667,0.7,2.0,0.0,0.0,2.525,3.191666666666667,1,5,0.24822073082129162,0.022138045120906707,True
1,bounded_constant_velocity,12,1248272995.518,1248273055.018,0.3189608895795992,4.019549148884587,7.708413489441134,0.7083333333333334,0.8833333333333333,2.0,0.0,0.0,2.6166666666666667,2.975,1,5,0.23594573239485422,0.022138045120906707,True
1,bounded_constant_velocity,13,1248273055.518,1248273115.018,0.14467120817994975,0.6814539547129361,1.6809734445843165,1.0,0.6333333333333333,2.0,0.1,0.06364435636194034,2.875,2.925,1,5,0.1674582690000534,0.022138045120906707,True
1,bounded_constant_velocity,14,1248273115.518,1248273175.018,0.21826255635479888,0.5472138545036231,1.2917857277961917,1.0,0.5416666666666666,2.0,0.1,0.35609937733951647,2.1666666666666665,3.3333333333333335,1,4,0.2024249146382014,0.022138045120906707,True
1,bounded_constant_velocity,15,1248273175.518,1248273235.018,0.3604446332864211,1.001965095936596,2.204838088582288,1.0,0.5,2.0,0.3333333333333333,0.5245722429115145,3.275,1.7333333333333334,1,5,0.1322124401728312,0.022138045120906707,True
1,bounded_constant_velocity,16,1248273235.518,1248273295.018,0.3599486135321703,3.398995398015455,17.716272992394227,0.7833333333333333,0.4166666666666667,2.0,0.49166666666666664,0.24861724512163713,2.4916666666666667,3.058333333333333,1,5,0.11718328297138214,0.022138045120906707,True
1,bounded_constant_velocity,17,1248273295.518,1248273355.018,0.21037699608836222,1.4633985327157235,3.1815665075788355,0.975,0.75,2.0,0.041666666666666664,0.23553400599099258,2.1166666666666667,4.658333333333333,1,3,0.1966082563002904,0.022138045120906707,True
1,bounded_constant_velocity,18,1248273355.518,1248273415.018,0.19902008284894876,1.8766313949887925,6.411653062472357,0.9416666666666667,0.8916666666666667,2.0,0.0,0.0,2.033333333333333,4.258333333333334,1,5,0.23324156403541565,0.022138045120906707,True
1,bounded_constant_velocity,19,1248273415.518,1248273475.018,0.38239550474094863,3.8867526300611965,14.230305246174213,0.8083333333333333,0.5166666666666667,2.0,0.30833333333333335,0.4401389084155677,2.375,3.058333333333333,1,5,0.13264995018641154,0.022138045120906707,True
1,bounded_constant_velocity,20,1248273475.518,1248273535.018,0.3030863345159019,1.4040962143811797,6.677772151460223,0.9416666666666667,0.44166666666666665,2.0,0.125,0.6522639608835336,2.1166666666666667,3.3583333333333334,1,4,0.20056657095750172,0.022138045120906707,True
1,bounded_constant_velocity,21,1248273535.518,1248273595.018,0.36467594142368004,0.9605210743625785,2.5976702863080723,1.0,0.23333333333333334,2.0,0.35,0.5379586536901879,2.841666666666667,2.6083333333333334,1,5,0.11249162157376608,0.022138045120906707,True
1,bounded_constant_velocity,22,1248273595.518,1248273655.018,0.247475020273223,0.9170327078002837,2.177342573711759,1.0,0.5166666666666667,2.0,0.3,0.40571083787190054,3.2,1.8,1,5,0.13089993397394817,0.022138045120906707,True
1,bounded_constant_velocity,23,1248273655.518,1248273715.018,0.19939876928129413,3.0493809773244633,13.074512751852545,0.8833333333333333,0.7833333333333333,2.0,0.075,0.2786313728366315,2.1166666666666667,3.55,1,4,0.2207999070485433,0.022138045120906707,True
2,bounded_constant_velocity,0,1248272275.518,1248272335.018,0.20797334841860762,1.8734493474391665,6.518279082579204,0.9416666666666667,0.7916666666666666,2.0,0.0,0.0,2.125,3.9916666666666667,1,4,0.2315624048312505,0.025267934038614232,True
2,bounded_constant_velocity,1,1248272335.518,1248272395.018,0.1717114099117001,1.0351278526586427,3.5501732381339277,0.9916666666666667,0.725,2.0,0.0,0.0,3.033333333333333,2.3,2,5,0.19574992060661317,0.025267934038614232,True
2,bounded_constant_velocity,2,1248272395.518,1248272455.018,0.5212197722232886,3.745841088734545,8.40794783423807,0.825,0.30833333333333335,2.0,0.4166666666666667,0.5908641524065505,2.175,3.95,1,5,0.0948041170835495,0.025267934038614232,True
2,bounded_constant_velocity,3,1248272455.518,1248272515.018,0.38900827821885053,3.742839820300038,8.981341356249683,0.825,0.6833333333333333,2.0,0.0,0.0,2.05,3.841666666666667,1,4,0.20950408577919005,0.025267934038614232,True
2,bounded_constant_velocity,4,1248272515.518,1248272575.018,0.28136166456668477,2.803266015095125,7.56225367239656,0.8583333333333333,0.5833333333333334,2.0,0.0,0.0,2.65,2.9166666666666665,1,5,0.22617074052492778,0.025267934038614232,True
