robot,mean_absolute_acceleration,p95_absolute_acceleration,mean_absolute_angular_acceleration,acceleration_exercised_rate
1,0.05455663865546218,0.156,0.15918789915966386,0.4752941176470588
2,0.05255596638655462,0.172,0.21002218487394958,0.46991596638655464
3,0.03771159663865546,0.142,0.1475489075630252,0.3563025210084034
4,0.04405176470588237,0.15,0.17227697478991597,0.4289075630252101
5,0.03231193277310924,0.136,0.20930689075630252,0.38252100840336134
